time,open,high,low,close,vol
2018/09/18 23:45,14460,14470,14460,14465,1602
2018/09/18 23:30,14445,14470,14445,14465,2168
2018/09/18 23:15,14455,14455,14440,14445,3116
2018/09/18 23:00,14465,14465,14450,14455,2744
2018/09/18 22:45,14455,14475,14455,14460,4404
2018/09/18 22:30,14435,14470,14435,14460,5320
2018/09/18 22:15,14455,14465,14435,14435,6738
2018/09/18 22:00,14485,14485,14435,14455,12820
2018/09/18 21:45,14485,14490,14475,14480,4138
2018/09/18 21:30,14490,14495,14485,14485,2690
2018/09/18 21:15,14485,14500,14475,14490,5652
2018/09/18 21:00,14520,14525,14480,14485,21508
2018/09/18 14:45,14470,14485,14465,14485,6534
2018/09/18 14:30,14475,14480,14465,14470,4326
2018/09/18 14:15,14480,14490,14475,14480,4432
2018/09/18 14:00,14470,14490,14465,14480,6080
2018/09/18 13:45,14460,14470,14455,14470,1888
2018/09/18 13:30,14465,14475,14455,14465,4904
2018/09/18 11:15,14465,14470,14450,14460,4480
2018/09/18 11:00,14455,14470,14450,14470,6090
2018/09/18 10:45,14445,14455,14435,14455,4950
2018/09/18 10:30,14455,14455,14440,14440,5190
2018/09/18 10:00,14425,14470,14425,14455,7556
2018/09/18 09:45,14430,14435,14420,14425,4266
2018/09/18 09:30,14425,14445,14425,14430,5028
2018/09/18 09:15,14435,14435,14400,14430,10798
2018/09/18 09:00,14470,14475,14415,14430,13784
2018/09/18 00:45,14480,14490,14470,14470,2478
2018/09/18 00:30,14480,14490,14475,14480,2144
2018/09/18 00:15,14470,14485,14470,14480,622
2018/09/18 00:00,14475,14485,14470,14470,1216
2018/09/17 23:45,14490,14495,14475,14480,4354
2018/09/17 23:30,14505,14505,14485,14490,6516
2018/09/17 23:15,14475,14505,14465,14505,4884
2018/09/17 23:00,14465,14480,14455,14475,3970
2018/09/17 22:45,14495,14495,14465,14470,3646
2018/09/17 22:30,14490,14495,14480,14490,3290
2018/09/17 22:15,14490,14500,14480,14490,4392
2018/09/17 22:00,14470,14505,14470,14490,7334
2018/09/17 21:45,14470,14480,14460,14470,4480
2018/09/17 21:30,14480,14490,14465,14470,4746
2018/09/17 21:15,14475,14480,14465,14480,2946
2018/09/17 21:00,14480,14495,14460,14480,14642
2018/09/17 14:45,14470,14475,14430,14445,14384
2018/09/17 14:30,14470,14480,14460,14475,6118
2018/09/17 14:15,14480,14485,14465,14475,6340
2018/09/17 14:00,14465,14485,14460,14480,7502
2018/09/17 13:45,14465,14475,14450,14460,7478
2018/09/17 13:30,14515,14515,14450,14470,25030
2018/09/17 11:15,14515,14525,14510,14525,4538
2018/09/17 11:00,14525,14525,14510,14510,2210
2018/09/17 10:45,14510,14530,14505,14525,4604
2018/09/17 10:30,14525,14535,14510,14515,7472
2018/09/17 10:00,14540,14545,14525,14525,5778
2018/09/17 09:45,14525,14545,14515,14540,6248
2018/09/17 09:30,14545,14555,14525,14530,8322
2018/09/17 09:15,14545,14550,14530,14545,6294
2018/09/17 09:00,14530,14560,14495,14540,24212
2018/09/15 00:45,14550,14565,14550,14555,2888
2018/09/15 00:30,14555,14560,14545,14555,2998
2018/09/15 00:15,14565,14570,14545,14555,4006
2018/09/15 00:00,14575,14580,14545,14565,5636
2018/09/14 23:45,14580,14580,14570,14575,1782
2018/09/14 23:30,14580,14590,14570,14580,6052
2018/09/14 23:15,14565,14585,14560,14580,5462
2018/09/14 23:00,14565,14580,14560,14565,4638
2018/09/14 22:45,14565,14575,14560,14565,4176
2018/09/14 22:30,14560,14565,14550,14560,7472
2018/09/14 22:15,14585,14600,14555,14560,12014
2018/09/14 22:00,14610,14620,14580,14585,5554
2018/09/14 21:45,14620,14635,14610,14610,6576
2018/09/14 21:30,14605,14620,14595,14620,5926
2018/09/14 21:15,14595,14620,14590,14610,10190
2018/09/14 21:00,14610,14625,14590,14595,12672
2018/09/14 14:45,14580,14600,14575,14585,10590
2018/09/14 14:30,14585,14590,14575,14580,6700
2018/09/14 14:15,14590,14600,14570,14580,7454
2018/09/14 14:00,14590,14595,14580,14595,6130
2018/09/14 13:45,14610,14610,14585,14585,5442
2018/09/14 13:30,14615,14625,14600,14605,5284
2018/09/14 11:15,14610,14615,14600,14615,3676
2018/09/14 11:00,14620,14625,14605,14605,7282
2018/09/14 10:45,14605,14640,14600,14620,17426
2018/09/14 10:30,14585,14620,14585,14605,10486
2018/09/14 10:00,14580,14605,14580,14580,5126
2018/09/14 09:45,14580,14580,14565,14575,3636
2018/09/14 09:30,14565,14585,14565,14580,2664
2018/09/14 09:15,14580,14585,14565,14565,4788
2018/09/14 09:00,14570,14600,14570,14580,7714
2018/09/14 00:45,14570,14580,14560,14570,2960
2018/09/14 00:30,14580,14585,14565,14570,1056
2018/09/14 00:15,14580,14585,14575,14575,452
