time,open,high,low,close,vol
2018/09/18 14:45,1884,1886,1883,1885,19654
2018/09/18 14:30,1882,1885,1882,1884,16806
2018/09/18 14:15,1881,1883,1881,1883,9242
2018/09/18 14:00,1882,1883,1881,1881,28774
2018/09/18 13:45,1885,1886,1882,1882,20086
2018/09/18 13:30,1888,1888,1884,1885,17846
2018/09/18 11:15,1889,1889,1886,1888,10406
2018/09/18 11:00,1889,1890,1888,1888,7982
2018/09/18 10:45,1892,1892,1888,1889,21274
2018/09/18 10:30,1892,1893,1891,1891,14514
2018/09/18 10:00,1892,1893,1891,1891,8102
2018/09/18 09:45,1891,1892,1891,1891,7052
2018/09/18 09:30,1892,1895,1891,1891,35472
2018/09/18 09:15,1887,1893,1887,1891,52530
2018/09/18 09:00,1886,1889,1884,1888,58854
2018/09/17 14:45,1883,1884,1882,1884,14298
2018/09/17 14:30,1881,1883,1880,1883,14996
2018/09/17 14:15,1881,1882,1881,1881,2122
2018/09/17 14:00,1882,1883,1881,1882,3674
2018/09/17 13:45,1883,1884,1881,1883,15034
2018/09/17 13:30,1884,1884,1882,1884,8520
2018/09/17 11:15,1885,1885,1883,1884,4112
2018/09/17 11:00,1884,1885,1883,1885,5186
2018/09/17 10:45,1885,1885,1883,1884,5014
2018/09/17 10:30,1884,1885,1883,1885,5392
2018/09/17 10:00,1885,1885,1883,1884,13838
2018/09/17 09:45,1883,1885,1883,1885,9938
2018/09/17 09:30,1885,1885,1882,1883,9420
2018/09/17 09:15,1884,1886,1883,1885,40900
2018/09/17 09:00,1883,1886,1879,1885,59050
2018/09/14 14:45,1880,1882,1878,1880,26366
2018/09/14 14:30,1882,1883,1879,1881,11756
2018/09/14 14:15,1882,1883,1881,1883,10374
2018/09/14 14:00,1881,1883,1881,1882,12190
2018/09/14 13:45,1878,1882,1877,1881,18486
2018/09/14 13:30,1880,1880,1877,1878,25210
2018/09/14 11:15,1881,1882,1879,1880,15056
2018/09/14 11:00,1881,1882,1881,1881,4908
2018/09/14 10:45,1882,1883,1881,1882,5226
2018/09/14 10:30,1883,1883,1881,1882,5524
2018/09/14 10:00,1881,1883,1881,1882,11478
2018/09/14 09:45,1881,1882,1880,1882,10310
2018/09/14 09:30,1883,1884,1881,1882,12676
2018/09/14 09:15,1883,1885,1881,1882,27786
2018/09/14 09:00,1883,1885,1877,1884,99282
2018/09/13 14:45,1883,1885,1881,1882,65050
2018/09/13 14:30,1885,1886,1883,1883,16406
2018/09/13 14:15,1886,1887,1884,1885,12634
2018/09/13 14:00,1886,1888,1885,1887,14200
2018/09/13 13:45,1886,1887,1885,1886,6152
2018/09/13 13:30,1886,1887,1885,1887,10926
2018/09/13 11:15,1885,1888,1884,1886,20974
2018/09/13 11:00,1886,1888,1882,1885,51236
2018/09/13 10:45,1888,1889,1886,1886,12402
2018/09/13 10:30,1887,1890,1887,1888,14612
2018/09/13 10:00,1887,1889,1887,1888,12596
2018/09/13 09:45,1887,1888,1886,1887,20504
2018/09/13 09:30,1889,1890,1885,1887,68552
2018/09/13 09:15,1892,1893,1887,1888,86948
2018/09/13 09:00,1898,1899,1885,1893,176624
2018/09/12 14:45,1906,1907,1904,1904,50876
2018/09/12 14:30,1907,1908,1906,1906,11242
2018/09/12 14:15,1907,1908,1906,1908,10518
2018/09/12 14:00,1906,1908,1906,1907,6960
2018/09/12 13:45,1906,1908,1906,1907,16420
2018/09/12 13:30,1906,1907,1905,1906,19870
2018/09/12 11:15,1908,1909,1906,1906,12932
2018/09/12 11:00,1909,1910,1907,1908,15744
2018/09/12 10:45,1907,1909,1906,1909,17508
2018/09/12 10:30,1906,1909,1906,1907,16276
2018/09/12 10:00,1908,1910,1906,1907,34014
2018/09/12 09:45,1907,1912,1906,1908,73064
2018/09/12 09:30,1915,1915,1902,1907,157790
2018/09/12 09:15,1914,1916,1910,1915,77064
2018/09/12 09:00,1920,1921,1913,1915,57274
2018/09/11 14:45,1916,1919,1914,1918,29236
2018/09/11 14:30,1914,1917,1914,1916,16078
2018/09/11 14:15,1916,1917,1914,1915,15920
2018/09/11 14:00,1914,1918,1914,1917,22950
2018/09/11 13:45,1916,1917,1913,1914,28670
2018/09/11 13:30,1917,1919,1915,1916,24116
2018/09/11 11:15,1917,1920,1917,1918,19016
2018/09/11 11:00,1921,1922,1913,1918,68308
2018/09/11 10:45,1922,1923,1921,1921,6258
2018/09/11 10:30,1922,1923,1921,1923,10110
2018/09/11 10:00,1922,1922,1919,1922,10646
2018/09/11 09:45,1920,1922,1920,1921,6978
2018/09/11 09:30,1920,1922,1919,1920,28172
2018/09/11 09:15,1924,1927,1918,1921,51188
2018/09/11 09:00,1923,1929,1922,1925,71046
2018/09/10 14:45,1923,1926,1922,1924,48522
2018/09/10 14:30,1921,1924,1920,1923,9940
2018/09/10 14:15,1922,1924,1918,1921,32890
2018/09/10 14:00,1925,1926,1920,1923,49664
2018/09/10 13:45,1928,1928,1924,1926,28632
2018/09/10 13:30,1928,1929,1923,1928,58746
2018/09/10 11:15,1927,1929,1926,1929,14168
2018/09/10 11:00,1927,1927,1925,1927,6954
2018/09/10 10:45,1926,1928,1925,1927,20056
2018/09/10 10:30,1925,1927,1924,1926,21168
2018/09/10 10:00,1926,1927,1924,1925,28900
2018/09/10 09:45,1926,1929,1924,1925,72914
2018/09/10 09:30,1918,1926,1917,1926,56796
2018/09/10 09:15,1918,1920,1917,1918,24720
2018/09/10 09:00,1916,1922,1916,1919,99868
2018/09/07 14:45,1912,1914,1912,1914,23730
2018/09/07 14:30,1912,1913,1911,1912,12954
2018/09/07 14:15,1915,1916,1912,1913,12820
2018/09/07 14:00,1912,1916,1912,1914,21320
2018/09/07 13:45,1913,1914,1912,1913,10766
2018/09/07 13:30,1913,1914,1911,1912,19328
2018/09/07 11:15,1915,1916,1913,1913,16486
2018/09/07 11:00,1913,1915,1912,1914,19936
2018/09/07 10:45,1916,1917,1913,1914,15912
2018/09/07 10:30,1918,1918,1916,1916,12796
2018/09/07 10:00,1917,1918,1915,1918,11868
2018/09/07 09:45,1916,1917,1914,1917,20518
2018/09/07 09:30,1914,1917,1914,1916,14144
2018/09/07 09:15,1911,1918,1911,1915,38660
2018/09/07 09:00,1919,1920,1911,1912,88546
2018/09/06 14:45,1916,1917,1913,1914,24872
2018/09/06 14:30,1917,1917,1915,1916,6782
2018/09/06 14:15,1916,1918,1915,1916,10136
2018/09/06 14:00,1915,1917,1914,1916,9120
2018/09/06 13:45,1915,1916,1914,1915,12712
2018/09/06 13:30,1915,1917,1914,1916,14264
2018/09/06 11:15,1916,1917,1914,1915,11096
2018/09/06 11:00,1917,1918,1915,1915,13638
2018/09/06 10:45,1916,1918,1915,1917,12210
2018/09/06 10:30,1917,1919,1916,1917,13058
2018/09/06 10:00,1914,1918,1912,1917,40480
2018/09/06 09:45,1927,1929,1907,1913,143562
2018/09/06 09:30,1928,1928,1923,1927,37302
2018/09/06 09:15,1929,1931,1926,1928,54822
2018/09/06 09:00,1918,1931,1916,1928,199276
2018/09/05 14:45,1915,1917,1913,1916,31730
2018/09/05 14:30,1915,1917,1914,1915,12314
2018/09/05 14:15,1916,1917,1915,1916,8462
2018/09/05 14:00,1916,1916,1915,1916,3316
2018/09/05 13:45,1915,1916,1913,1916,13400
2018/09/05 13:30,1917,1918,1914,1914,23004
2018/09/05 11:15,1917,1919,1916,1917,14386
2018/09/05 11:00,1919,1920,1916,1917,15180
2018/09/05 10:45,1917,1920,1916,1919,13936
2018/09/05 10:30,1917,1918,1916,1917,10762
2018/09/05 10:00,1916,1918,1916,1918,5388
2018/09/05 09:45,1917,1918,1916,1916,9152
2018/09/05 09:30,1919,1920,1916,1916,17356
2018/09/05 09:15,1914,1920,1914,1920,44140
2018/09/05 09:00,1916,1922,1909,1915,162928
2018/09/04 14:45,1915,1917,1914,1915,45896
2018/09/04 14:30,1918,1918,1912,1915,69316
2018/09/04 14:15,1918,1919,1915,1918,40530
2018/09/04 14:00,1921,1922,1917,1918,35388
2018/09/04 13:45,1915,1921,1914,1921,77318
2018/09/04 13:30,1926,1927,1915,1916,112744
2018/09/04 11:15,1933,1935,1926,1926,61958
2018/09/04 11:00,1932,1934,1931,1933,17948
2018/09/04 10:45,1933,1935,1932,1932,45358
2018/09/04 10:30,1925,1939,1924,1934,186624
2018/09/04 10:00,1923,1925,1923,1924,15218
2018/09/04 09:45,1925,1925,1922,1923,20290
2018/09/04 09:30,1923,1925,1922,1925,25736
2018/09/04 09:15,1922,1924,1919,1923,40328
2018/09/04 09:00,1922,1928,1919,1922,142146
2018/09/03 14:45,1918,1925,1917,1924,60150
2018/09/03 14:30,1919,1921,1916,1918,32618
2018/09/03 14:15,1919,1919,1917,1919,8312
2018/09/03 14:00,1918,1920,1918,1919,12790
2018/09/03 13:45,1919,1920,1917,1919,16528
2018/09/03 13:30,1918,1920,1917,1919,18654
2018/09/03 11:15,1917,1918,1915,1918,16296
2018/09/03 11:00,1916,1920,1914,1916,39914
2018/09/03 10:45,1916,1920,1916,1917,21878
2018/09/03 10:30,1920,1921,1914,1916,32368
2018/09/03 10:00,1917,1924,1916,1920,52364
2018/09/03 09:45,1919,1921,1917,1918,53216
2018/09/03 09:30,1915,1920,1913,1919,70178
2018/09/03 09:15,1913,1919,1912,1916,114660
2018/09/03 09:00,1904,1914,1898,1913,176768
2018/08/31 14:45,1903,1905,1898,1904,65594
2018/08/31 14:30,1902,1904,1900,1903,19820
2018/08/31 14:15,1904,1904,1901,1902,11130
2018/08/31 14:00,1903,1904,1902,1903,14706
2018/08/31 13:45,1903,1904,1900,1903,17904
2018/08/31 13:30,1902,1905,1901,1904,35216
2018/08/31 11:15,1900,1904,1900,1902,26012
2018/08/31 11:00,1901,1902,1899,1900,24206
2018/08/31 10:45,1901,1903,1899,1902,21758
2018/08/31 10:30,1898,1903,1897,1901,36114
2018/08/31 10:00,1899,1902,1897,1897,32974
2018/08/31 09:45,1902,1903,1898,1899,44816
2018/08/31 09:30,1904,1906,1900,1901,92038
2018/08/31 09:15,1894,1908,1894,1903,226206
2018/08/31 09:00,1885,1896,1882,1895,122122
2018/08/30 14:45,1883,1886,1883,1884,45376
2018/08/30 14:30,1878,1884,1878,1883,22924
2018/08/30 14:15,1878,1880,1878,1879,21004
2018/08/30 14:00,1878,1879,1877,1878,9384
2018/08/30 13:45,1878,1879,1877,1879,8684
2018/08/30 13:30,1880,1881,1877,1879,10650
2018/08/30 11:15,1878,1881,1878,1881,6912
2018/08/30 11:00,1880,1881,1878,1879,8426
2018/08/30 10:45,1879,1881,1878,1880,9748
2018/08/30 10:30,1877,1879,1877,1879,19654
2018/08/30 10:00,1881,1881,1877,1877,15168
2018/08/30 09:45,1880,1882,1879,1881,7716
2018/08/30 09:30,1879,1881,1879,1880,7728
2018/08/30 09:15,1880,1881,1878,1879,13380
2018/08/30 09:00,1878,1883,1877,1880,55126
2018/08/29 14:45,1877,1880,1876,1877,28998
2018/08/29 14:30,1881,1882,1877,1877,31136
2018/08/29 14:15,1880,1881,1879,1881,11068
2018/08/29 14:00,1881,1883,1879,1880,17314
2018/08/29 13:45,1882,1883,1880,1881,8628
2018/08/29 13:30,1882,1883,1881,1882,6902
2018/08/29 11:15,1882,1883,1881,1881,3734
2018/08/29 11:00,1881,1883,1881,1882,7440
2018/08/29 10:45,1882,1882,1880,1882,8578
2018/08/29 10:30,1882,1883,1881,1881,6554
2018/08/29 10:00,1883,1883,1881,1882,7696
2018/08/29 09:45,1884,1884,1882,1882,3510
2018/08/29 09:30,1881,1884,1881,1883,16078
2018/08/29 09:15,1883,1885,1879,1882,45094
2018/08/29 09:00,1890,1890,1882,1882,59760
2018/08/28 14:45,1886,1888,1885,1887,21960
2018/08/28 14:30,1885,1887,1885,1885,10150
2018/08/28 14:15,1888,1888,1883,1885,25804
2018/08/28 14:00,1887,1888,1886,1888,7856
2018/08/28 13:45,1889,1890,1886,1887,22304
2018/08/28 13:30,1888,1890,1886,1889,33370
2018/08/28 11:15,1888,1889,1886,1889,15182
2018/08/28 11:00,1885,1888,1885,1888,12834
2018/08/28 10:45,1886,1887,1884,1885,10738
2018/08/28 10:30,1887,1888,1885,1886,14752
2018/08/28 10:00,1887,1888,1886,1887,10916
2018/08/28 09:45,1884,1888,1883,1887,52584
2018/08/28 09:30,1880,1884,1879,1883,28474
2018/08/28 09:15,1881,1881,1878,1880,33236
2018/08/28 09:00,1882,1887,1880,1880,51380
2018/08/27 14:45,1882,1883,1880,1882,15602
2018/08/27 14:30,1881,1882,1880,1881,6344
2018/08/27 14:15,1881,1882,1880,1880,3618
2018/08/27 14:00,1880,1883,1879,1881,21570
2018/08/27 13:45,1883,1883,1880,1880,8970
2018/08/27 13:30,1882,1884,1881,1882,15454
2018/08/27 11:15,1881,1883,1881,1882,6228
2018/08/27 11:00,1883,1883,1881,1881,9560
2018/08/27 10:45,1880,1883,1879,1882,17180
2018/08/27 10:30,1880,1881,1879,1880,13978
2018/08/27 10:00,1879,1880,1877,1880,14428
2018/08/27 09:45,1884,1886,1875,1878,58268
2018/08/27 09:30,1887,1888,1884,1885,21958
2018/08/27 09:15,1888,1889,1886,1887,31108
2018/08/27 09:00,1880,1892,1880,1889,132968
2018/08/24 14:45,1875,1877,1874,1876,26166
2018/08/24 14:30,1875,1876,1873,1875,17968
2018/08/24 14:15,1876,1877,1874,1875,11492
2018/08/24 14:00,1876,1877,1875,1876,18200
2018/08/24 13:45,1878,1878,1876,1876,6740
2018/08/24 13:30,1879,1881,1877,1877,25080
2018/08/24 11:15,1880,1880,1878,1880,7646
2018/08/24 11:00,1878,1880,1877,1880,11228
2018/08/24 10:45,1880,1881,1877,1879,14704
2018/08/24 10:30,1880,1881,1879,1881,5198
2018/08/24 10:00,1880,1881,1879,1880,8456
2018/08/24 09:45,1879,1881,1878,1881,14178
2018/08/24 09:30,1880,1881,1878,1879,17856
2018/08/24 09:15,1882,1882,1880,1880,15714
2018/08/24 09:00,1878,1882,1876,1882,68300
2018/08/23 14:45,1881,1882,1878,1878,47270
2018/08/23 14:30,1881,1883,1881,1881,15446
2018/08/23 14:15,1884,1884,1880,1881,24652
2018/08/23 14:00,1882,1885,1880,1884,38314
2018/08/23 13:45,1884,1885,1881,1882,36878
2018/08/23 13:30,1891,1892,1880,1884,112518
2018/08/23 11:15,1900,1900,1889,1892,91734
2018/08/23 11:00,1896,1899,1894,1899,69652
2018/08/23 10:45,1894,1898,1893,1896,63772
2018/08/23 10:30,1893,1894,1891,1894,18246
2018/08/23 10:00,1891,1893,1891,1893,12622
2018/08/23 09:45,1891,1892,1890,1892,13222
2018/08/23 09:30,1891,1893,1889,1891,35472
2018/08/23 09:15,1893,1896,1890,1891,54320
2018/08/23 09:00,1884,1896,1884,1893,155416
2018/08/22 14:45,1883,1885,1882,1884,32570
2018/08/22 14:30,1883,1884,1880,1882,36172
2018/08/22 14:15,1882,1885,1882,1883,30472
2018/08/22 14:00,1878,1885,1877,1883,71988
2018/08/22 13:45,1877,1878,1875,1877,20636
2018/08/22 13:30,1871,1877,1871,1877,37318
2018/08/22 11:15,1871,1872,1871,1872,3114
2018/08/22 11:00,1869,1873,1869,1872,11210
2018/08/22 10:45,1870,1871,1869,1869,9306
