time,open,high,low,close,vol
2018/09/18 22:45,4034,4039,4027,4030,21540
2018/09/18 22:30,4028,4037,4025,4033,17958
2018/09/18 22:15,4032,4036,4027,4028,14834
2018/09/18 22:00,4050,4050,4027,4032,39314
2018/09/18 21:45,4044,4052,4041,4050,25160
2018/09/18 21:30,4040,4045,4035,4044,19030
2018/09/18 21:15,4043,4048,4034,4040,35738
2018/09/18 21:00,4057,4060,4036,4044,98868
2018/09/18 14:45,4019,4023,4004,4021,49006
2018/09/18 14:30,4015,4028,4012,4020,51056
2018/09/18 14:15,4010,4016,4006,4015,15670
2018/09/18 14:00,4006,4019,4006,4010,29850
2018/09/18 13:45,4007,4011,4003,4007,17476
2018/09/18 13:30,3998,4011,3998,4007,25870
2018/09/18 11:15,4010,4011,3992,3996,30552
2018/09/18 11:00,4006,4013,4005,4010,14670
2018/09/18 10:45,4009,4013,4001,4005,14874
2018/09/18 10:30,4014,4015,3999,4009,32282
2018/09/18 10:00,3992,4035,3988,4014,130610
2018/09/18 09:45,3988,3993,3977,3992,32716
2018/09/18 09:30,3963,3992,3962,3988,67930
2018/09/18 09:15,3976,3976,3947,3962,86060
2018/09/18 09:00,3989,3989,3969,3975,59718
2018/09/17 22:45,3995,4000,3993,3996,24326
2018/09/17 22:30,3985,3999,3984,3995,24104
2018/09/17 22:15,3994,3997,3982,3985,20954
2018/09/17 22:00,3995,3997,3991,3994,15688
2018/09/17 21:45,3996,3997,3988,3995,22218
2018/09/17 21:30,3983,4002,3981,3996,48220
2018/09/17 21:15,3985,3986,3975,3983,20588
2018/09/17 21:00,3974,3989,3966,3986,58150
2018/09/17 14:45,3968,3970,3962,3969,18536
2018/09/17 14:30,3967,3972,3958,3968,20534
2018/09/17 14:15,3966,3973,3965,3967,14960
2018/09/17 14:00,3967,3974,3963,3966,25538
2018/09/17 13:45,3965,3968,3952,3966,27778
2018/09/17 13:30,3966,3968,3958,3966,23164
2018/09/17 11:15,3952,3980,3951,3967,57762
2018/09/17 11:00,3968,3972,3951,3952,51738
2018/09/17 10:45,3968,3977,3962,3968,46110
2018/09/17 10:30,3994,3994,3958,3967,96682
2018/09/17 10:00,4017,4020,3993,3995,32098
2018/09/17 09:45,4014,4020,4012,4016,13694
2018/09/17 09:30,4007,4018,4007,4014,17084
2018/09/17 09:15,4004,4015,4001,4007,24182
2018/09/17 09:00,4008,4015,3988,4004,75566
2018/09/14 22:45,4000,4038,3998,4035,58752
2018/09/14 22:30,3996,4002,3993,4001,9224
2018/09/14 22:15,3996,4000,3993,3996,9276
2018/09/14 22:00,3999,4004,3992,3996,14040
2018/09/14 21:45,4005,4006,3995,4000,12176
2018/09/14 21:30,3989,4010,3986,4005,25980
2018/09/14 21:15,3997,3998,3985,3989,17420
2018/09/14 21:00,3993,4008,3989,3996,36118
2018/09/14 14:45,3986,3995,3979,3992,44580
2018/09/14 14:30,4000,4004,3977,3986,43040
2018/09/14 14:15,4018,4024,3996,4000,43744
2018/09/14 14:00,4015,4022,4008,4017,25680
2018/09/14 13:45,4013,4017,4010,4014,17670
2018/09/14 13:30,4016,4018,4002,4013,17990
2018/09/14 11:15,4007,4015,3994,4015,29436
2018/09/14 11:00,4012,4018,4006,4007,21248
2018/09/14 10:45,4019,4022,4007,4013,16982
2018/09/14 10:30,4004,4020,4002,4019,31856
2018/09/14 10:00,3998,4013,3997,4003,25494
2018/09/14 09:45,3997,4002,3994,3998,9350
2018/09/14 09:30,3998,4005,3995,3997,21400
2018/09/14 09:15,3981,3998,3980,3997,26878
2018/09/14 09:00,3981,3988,3975,3982,28170
2018/09/13 22:45,3982,3986,3971,3981,30150
2018/09/13 22:30,3989,3991,3980,3983,16836
2018/09/13 22:15,3997,3999,3985,3989,14824
2018/09/13 22:00,3994,4000,3990,3996,15368
2018/09/13 21:45,3988,3995,3986,3994,15202
2018/09/13 21:30,3996,3997,3981,3989,44464
2018/09/13 21:15,4000,4008,3993,3997,21516
2018/09/13 21:00,4010,4018,3994,4001,47788
2018/09/13 14:45,4000,4016,3999,4013,27242
2018/09/13 14:30,4004,4010,3998,4002,22850
2018/09/13 14:15,3998,4009,3997,4004,16710
2018/09/13 14:00,3995,4009,3995,3998,12272
2018/09/13 13:45,4012,4012,3993,3995,25386
2018/09/13 13:30,4000,4012,3992,4011,39804
2018/09/13 11:15,3987,3998,3978,3997,21936
2018/09/13 11:00,3987,3992,3977,3987,17904
2018/09/13 10:45,3984,3989,3976,3987,23950
2018/09/13 10:30,4006,4013,3981,3984,37694
2018/09/13 10:00,4011,4014,4003,4005,10772
2018/09/13 09:45,4013,4014,4003,4010,22546
2018/09/13 09:30,4021,4025,4010,4012,22602
2018/09/13 09:15,4018,4028,4007,4022,37250
2018/09/13 09:00,4001,4028,3999,4018,68274
2018/09/12 22:45,4001,4007,3995,3996,15038
2018/09/12 22:30,4005,4013,3997,4000,21522
2018/09/12 22:15,4001,4007,3997,4005,7734
2018/09/12 22:00,3996,4009,3995,4001,15262
2018/09/12 21:45,4003,4004,3991,3997,15978
2018/09/12 21:30,3998,4010,3995,4003,35646
2018/09/12 21:15,4023,4023,3988,3998,58184
2018/09/12 21:00,3971,4030,3958,4024,107090
2018/09/12 14:45,3985,3989,3975,3980,29760
2018/09/12 14:30,3980,3993,3979,3985,31108
2018/09/12 14:15,3975,3983,3971,3981,13164
2018/09/12 14:00,3978,3983,3972,3975,17500
2018/09/12 13:45,3984,3988,3972,3978,29948
2018/09/12 13:30,3967,3995,3967,3984,69168
2018/09/12 11:15,3952,3965,3946,3963,19228
2018/09/12 11:00,3945,3961,3942,3951,16336
2018/09/12 10:45,3960,3961,3944,3945,24110
2018/09/12 10:30,3944,3960,3938,3960,42146
2018/09/12 10:00,3929,3950,3921,3942,38726
2018/09/12 09:45,3920,3936,3916,3930,40158
2018/09/12 09:30,3936,3941,3913,3920,54808
2018/09/12 09:15,3962,3965,3917,3936,109000
2018/09/12 09:00,3990,3998,3961,3963,54194
2018/09/11 22:45,4004,4006,3986,3990,22964
2018/09/11 22:30,4015,4016,3994,4003,37214
2018/09/11 22:15,4016,4022,4012,4015,20514
2018/09/11 22:00,3997,4021,3997,4016,33608
2018/09/11 21:45,3999,4001,3996,3997,7708
2018/09/11 21:30,3991,4004,3990,3999,25164
2018/09/11 21:15,3981,3999,3976,3991,29588
2018/09/11 21:00,3988,4005,3974,3981,81038
2018/09/11 14:45,3991,3993,3957,3969,73670
2018/09/11 14:30,4017,4019,3982,3990,82100
2018/09/11 14:15,4036,4038,4012,4017,51722
2018/09/11 14:00,4045,4047,4028,4035,22514
2018/09/11 13:45,4053,4053,4041,4044,14806
2018/09/11 13:30,4045,4054,4037,4054,40680
2018/09/11 11:15,4046,4067,4046,4051,46546
2018/09/11 11:00,4049,4049,4036,4047,21186
2018/09/11 10:45,4049,4052,4039,4049,22802
2018/09/11 10:30,4038,4052,4029,4050,32332
2018/09/11 10:00,4030,4042,4025,4037,21092
2018/09/11 09:45,4037,4037,4020,4031,36216
2018/09/11 09:30,4042,4044,4028,4038,35398
2018/09/11 09:15,4048,4056,4041,4043,28696
2018/09/11 09:00,4043,4056,4033,4049,67664
2018/09/10 22:45,4062,4062,4026,4045,70488
2018/09/10 22:30,4072,4072,4054,4061,41776
2018/09/10 22:15,4077,4085,4072,4073,17004
2018/09/10 22:00,4080,4081,4062,4077,58630
2018/09/10 21:45,4094,4096,4080,4081,34782
2018/09/10 21:30,4103,4103,4090,4094,28406
2018/09/10 21:15,4087,4106,4083,4102,46916
2018/09/10 21:00,4154,4154,4065,4086,168432
2018/09/10 14:45,4184,4187,4158,4164,50448
2018/09/10 14:30,4186,4187,4167,4184,24398
2018/09/10 14:15,4181,4187,4178,4187,13044
2018/09/10 14:00,4161,4187,4160,4181,38200
2018/09/10 13:45,4158,4162,4156,4161,10274
2018/09/10 13:30,4159,4165,4155,4158,18032
2018/09/10 11:15,4169,4173,4153,4159,16632
2018/09/10 11:00,4159,4169,4153,4168,16214
2018/09/10 10:45,4163,4168,4152,4159,19474
2018/09/10 10:30,4175,4176,4162,4164,18444
2018/09/10 10:00,4181,4186,4172,4175,14840
2018/09/10 09:45,4166,4182,4166,4182,13142
2018/09/10 09:30,4179,4183,4165,4166,23840
2018/09/10 09:15,4177,4187,4174,4179,30474
2018/09/10 09:00,4176,4199,4157,4178,113334
2018/09/07 22:45,4152,4154,4144,4148,20660
2018/09/07 22:30,4147,4153,4143,4152,16760
2018/09/07 22:15,4144,4148,4141,4146,15696
2018/09/07 22:00,4135,4147,4135,4144,17228
2018/09/07 21:45,4140,4142,4129,4136,15922
2018/09/07 21:30,4130,4146,4126,4140,33818
2018/09/07 21:15,4126,4131,4110,4129,34454
2018/09/07 21:00,4114,4138,4114,4125,68636
2018/09/07 14:45,4117,4130,4110,4114,39494
2018/09/07 14:30,4134,4134,4101,4116,92460
2018/09/07 14:15,4150,4157,4130,4134,58106
2018/09/07 14:00,4164,4168,4146,4150,43408
2018/09/07 13:45,4163,4175,4161,4164,30814
2018/09/07 13:30,4185,4191,4155,4163,48312
2018/09/07 11:15,4201,4202,4180,4185,45018
2018/09/07 11:00,4198,4211,4196,4201,32970
2018/09/07 10:45,4208,4209,4196,4198,20758
2018/09/07 10:30,4216,4218,4196,4207,31392
2018/09/07 10:00,4231,4234,4214,4216,22412
2018/09/07 09:45,4223,4234,4221,4232,14486
2018/09/07 09:30,4226,4229,4217,4222,20384
2018/09/07 09:15,4226,4228,4218,4226,23598
2018/09/07 09:00,4208,4232,4208,4226,48796
2018/09/06 22:45,4198,4210,4196,4208,20060
2018/09/06 22:30,4194,4198,4190,4198,8452
2018/09/06 22:15,4197,4205,4193,4193,20166
2018/09/06 22:00,4198,4198,4186,4195,24336
2018/09/06 21:45,4197,4200,4193,4198,22932
2018/09/06 21:30,4183,4207,4180,4196,43986
2018/09/06 21:15,4170,4188,4166,4183,29516
2018/09/06 21:00,4150,4177,4149,4170,75394
2018/09/06 14:45,4133,4140,4127,4140,27434
2018/09/06 14:30,4123,4134,4123,4133,15282
2018/09/06 14:15,4124,4129,4118,4124,14624
2018/09/06 14:00,4121,4128,4118,4123,13390
2018/09/06 13:45,4121,4127,4118,4121,15290
2018/09/06 13:30,4135,4143,4118,4121,40010
2018/09/06 11:15,4132,4138,4128,4135,12752
2018/09/06 11:00,4128,4134,4124,4132,14042
2018/09/06 10:45,4127,4133,4118,4128,31454
2018/09/06 10:30,4115,4140,4115,4127,44002
2018/09/06 10:00,4115,4123,4108,4115,17360
2018/09/06 09:45,4105,4121,4104,4116,28562
2018/09/06 09:30,4108,4111,4102,4104,11712
2018/09/06 09:15,4106,4112,4103,4108,10754
2018/09/06 09:00,4105,4113,4096,4108,23764
2018/09/05 22:45,4102,4109,4101,4105,9418
2018/09/05 22:30,4102,4105,4097,4103,5634
2018/09/05 22:15,4108,4109,4093,4101,18338
2018/09/05 22:00,4114,4119,4106,4108,18502
2018/09/05 21:45,4108,4114,4105,4114,9880
2018/09/05 21:30,4113,4114,4104,4108,13334
2018/09/05 21:15,4111,4119,4110,4113,14396
2018/09/05 21:00,4101,4125,4101,4113,37362
2018/09/05 14:45,4091,4102,4089,4094,30930
2018/09/05 14:30,4080,4092,4068,4092,30894
2018/09/05 14:15,4085,4088,4073,4080,17984
2018/09/05 14:00,4080,4093,4080,4087,11900
2018/09/05 13:45,4081,4090,4077,4085,16524
2018/09/05 13:30,4100,4102,4072,4081,45760
2018/09/05 11:15,4097,4103,4094,4099,11654
2018/09/05 11:00,4101,4107,4094,4097,18034
2018/09/05 10:45,4108,4110,4096,4102,11010
2018/09/05 10:30,4108,4111,4101,4108,8182
2018/09/05 10:00,4096,4112,4096,4106,15654
2018/09/05 09:45,4103,4104,4094,4096,11690
2018/09/05 09:30,4105,4105,4086,4102,32242
2018/09/05 09:15,4119,4120,4098,4105,22060
2018/09/05 09:00,4119,4128,4109,4119,26154
2018/09/04 22:45,4118,4121,4115,4118,8260
2018/09/04 22:30,4125,4127,4114,4119,16448
2018/09/04 22:15,4097,4127,4094,4127,30040
2018/09/04 22:00,4102,4104,4097,4098,11924
2018/09/04 21:45,4102,4105,4085,4101,31830
2018/09/04 21:30,4122,4123,4096,4104,47442
2018/09/04 21:15,4128,4129,4119,4122,18454
2018/09/04 21:00,4139,4139,4122,4129,25296
2018/09/04 14:45,4128,4138,4127,4136,18594
2018/09/04 14:30,4137,4148,4127,4127,19994
2018/09/04 14:15,4133,4144,4132,4137,17086
2018/09/04 14:00,4134,4139,4125,4133,17036
2018/09/04 13:45,4134,4146,4131,4135,31684
2018/09/04 13:30,4131,4139,4124,4134,23324
2018/09/04 11:15,4128,4132,4118,4128,16832
2018/09/04 11:00,4127,4132,4124,4127,8932
2018/09/04 10:45,4123,4129,4120,4127,10230
2018/09/04 10:30,4130,4134,4116,4123,16602
