time,open,high,low,close,vol
2018/09/18 14:45,3944,3944,3933,3933,8410
2018/09/18 14:30,3936,3944,3931,3943,5630
2018/09/18 14:15,3941,3944,3935,3935,5792
2018/09/18 14:00,3934,3941,3929,3940,4850
2018/09/18 13:45,3934,3937,3932,3934,2830
2018/09/18 13:30,3933,3941,3932,3935,4108
2018/09/18 11:15,3933,3934,3927,3932,2918
2018/09/18 11:00,3931,3935,3931,3933,1232
2018/09/18 10:45,3934,3935,3931,3932,1650
2018/09/18 10:30,3931,3935,3931,3934,2258
2018/09/18 10:00,3929,3935,3925,3931,6314
2018/09/18 09:45,3934,3934,3927,3930,7700
2018/09/18 09:30,3938,3941,3934,3934,4022
2018/09/18 09:15,3938,3941,3929,3938,7118
2018/09/18 09:00,3955,3960,3930,3938,21284
2018/09/17 14:45,3936,3953,3934,3949,13988
2018/09/17 14:30,3935,3942,3933,3936,3614
2018/09/17 14:15,3938,3940,3927,3935,8026
2018/09/17 14:00,3949,3952,3936,3937,9316
2018/09/17 13:45,3939,3950,3935,3949,5928
2018/09/17 13:30,3933,3940,3931,3939,4880
2018/09/17 11:15,3940,3943,3930,3934,5362
2018/09/17 11:00,3930,3940,3930,3939,4944
2018/09/17 10:45,3932,3936,3925,3932,4004
2018/09/17 10:30,3932,3940,3921,3933,11608
2018/09/17 10:00,3938,3941,3927,3932,13104
2018/09/17 09:45,3941,3948,3934,3938,11160
2018/09/17 09:30,3967,3976,3937,3942,33044
2018/09/17 09:15,3950,3970,3948,3967,24374
2018/09/17 09:00,3940,3969,3924,3949,58554
2018/09/14 14:45,3887,3918,3884,3913,25478
2018/09/14 14:30,3882,3890,3881,3888,5062
2018/09/14 14:15,3890,3890,3878,3882,8774
2018/09/14 14:00,3887,3891,3886,3890,3016
2018/09/14 13:45,3892,3893,3885,3887,4988
2018/09/14 13:30,3896,3897,3888,3892,3876
2018/09/14 11:15,3895,3897,3886,3895,6898
2018/09/14 11:00,3891,3895,3889,3895,3964
2018/09/14 10:45,3894,3895,3885,3891,7588
2018/09/14 10:30,3900,3902,3886,3894,14362
2018/09/14 10:00,3893,3906,3888,3898,30108
2018/09/14 09:45,3884,3895,3877,3893,15516
2018/09/14 09:30,3876,3890,3875,3883,25686
2018/09/14 09:15,3868,3878,3862,3876,14236
2018/09/14 09:00,3862,3875,3855,3866,25074
2018/09/13 14:45,3848,3854,3846,3854,5144
2018/09/13 14:30,3854,3854,3844,3848,6484
2018/09/13 14:15,3853,3856,3850,3854,2590
2018/09/13 14:00,3855,3857,3851,3853,1660
2018/09/13 13:45,3858,3860,3851,3855,2846
2018/09/13 13:30,3855,3864,3854,3859,4554
2018/09/13 11:15,3849,3856,3848,3855,3058
2018/09/13 11:00,3856,3857,3846,3850,6050
2018/09/13 10:45,3855,3861,3854,3855,4306
2018/09/13 10:30,3865,3868,3850,3856,7698
2018/09/13 10:00,3858,3875,3858,3866,14782
2018/09/13 09:45,3859,3859,3853,3857,3900
2018/09/13 09:30,3854,3868,3851,3859,14940
2018/09/13 09:15,3849,3859,3847,3854,10706
2018/09/13 09:00,3830,3861,3829,3850,29564
2018/09/12 14:45,3837,3842,3835,3841,6596
2018/09/12 14:30,3839,3839,3835,3836,2368
2018/09/12 14:15,3837,3843,3833,3838,5876
2018/09/12 14:00,3835,3838,3834,3836,3240
2018/09/12 13:45,3829,3843,3828,3835,12634
2018/09/12 13:30,3824,3831,3824,3829,5582
2018/09/12 11:15,3822,3825,3820,3823,1846
2018/09/12 11:00,3824,3826,3819,3823,2728
2018/09/12 10:45,3817,3824,3817,3822,2158
2018/09/12 10:30,3816,3823,3815,3817,3034
2018/09/12 10:00,3821,3821,3813,3817,4420
2018/09/12 09:45,3818,3824,3816,3821,3048
2018/09/12 09:30,3823,3823,3812,3819,7460
2018/09/12 09:15,3822,3833,3821,3823,7446
2018/09/12 09:00,3815,3828,3815,3821,10872
2018/09/11 14:45,3824,3828,3821,3821,8352
2018/09/11 14:30,3819,3825,3819,3823,3300
2018/09/11 14:15,3818,3825,3815,3821,4118
2018/09/11 14:00,3818,3820,3812,3817,3572
2018/09/11 13:45,3822,3828,3816,3819,5550
2018/09/11 13:30,3816,3825,3813,3822,6168
2018/09/11 11:15,3819,3819,3812,3816,4410
2018/09/11 11:00,3827,3828,3806,3819,23396
2018/09/11 10:45,3838,3838,3827,3828,5980
2018/09/11 10:30,3832,3838,3830,3837,7458
2018/09/11 10:00,3852,3853,3831,3832,22202
2018/09/11 09:45,3857,3858,3850,3853,5372
2018/09/11 09:30,3860,3860,3855,3857,4030
2018/09/11 09:15,3856,3865,3855,3860,6130
2018/09/11 09:00,3858,3864,3852,3858,15312
2018/09/10 14:45,3862,3868,3859,3865,9464
2018/09/10 14:30,3867,3870,3858,3862,6040
2018/09/10 14:15,3868,3874,3866,3867,3962
2018/09/10 14:00,3866,3871,3865,3867,2700
2018/09/10 13:45,3871,3873,3865,3866,3944
2018/09/10 13:30,3859,3876,3859,3872,8906
2018/09/10 11:15,3859,3862,3853,3859,4594
2018/09/10 11:00,3859,3862,3859,3859,2670
2018/09/10 10:45,3863,3863,3852,3859,7010
2018/09/10 10:30,3876,3877,3857,3862,12694
2018/09/10 10:00,3882,3882,3873,3875,5002
2018/09/10 09:45,3877,3884,3875,3882,7090
2018/09/10 09:30,3881,3886,3872,3877,14692
2018/09/10 09:15,3860,3885,3856,3880,31296
2018/09/10 09:00,3850,3865,3845,3859,27218
2018/09/07 14:45,3830,3838,3829,3835,7028
2018/09/07 14:30,3827,3832,3827,3830,4866
2018/09/07 14:15,3838,3839,3826,3828,11854
2018/09/07 14:00,3841,3841,3837,3838,2244
2018/09/07 13:45,3839,3843,3838,3842,1914
2018/09/07 13:30,3842,3843,3834,3840,9124
