time,open,high,low,close,vol
2018/09/18 23:45,102130,102340,102130,102340,18240
2018/09/18 23:30,102050,102270,102040,102140,17970
2018/09/18 23:15,102100,102110,101930,102040,12492
2018/09/18 23:00,102240,102290,101900,102110,20284
2018/09/18 22:45,102180,102350,102050,102210,16850
2018/09/18 22:30,101980,102250,101970,102170,14004
2018/09/18 22:15,102030,102140,101980,101980,10670
2018/09/18 22:00,102420,102430,101800,102050,35516
2018/09/18 21:45,102310,102450,102180,102440,16500
2018/09/18 21:30,102470,102530,102200,102320,23230
2018/09/18 21:15,102510,102540,102330,102490,21524
2018/09/18 21:00,102500,102900,102450,102510,53466
2018/09/18 14:45,102000,102090,101910,102040,18534
2018/09/18 14:30,102210,102280,101920,102000,21680
2018/09/18 14:15,102210,102380,102160,102210,19212
2018/09/18 14:00,101920,102360,101880,102210,30144
2018/09/18 13:45,101880,101990,101720,101930,12540
2018/09/18 13:30,101650,101930,101650,101870,13928
2018/09/18 11:15,101950,101950,101570,101630,12366
2018/09/18 11:00,101720,101950,101690,101940,16598
2018/09/18 10:45,101690,101750,101540,101730,7526
2018/09/18 10:30,101650,101840,101570,101680,15636
2018/09/18 10:00,101330,101770,101240,101660,26140
2018/09/18 09:45,101340,101550,101230,101330,15634
2018/09/18 09:30,101150,101520,101110,101340,26700
2018/09/18 09:15,101300,101310,100850,101130,34642
2018/09/18 09:00,101510,101560,101130,101310,43412
2018/09/18 00:45,101970,102010,101570,101680,18012
2018/09/18 00:30,101930,102050,101810,101980,11476
2018/09/18 00:15,101890,101990,101880,101930,9168
2018/09/18 00:00,101890,102040,101760,101890,24442
2018/09/17 23:45,102400,102450,101860,101890,18058
2018/09/17 23:30,102390,102590,102320,102390,26252
2018/09/17 23:15,101910,102400,101820,102370,26040
2018/09/17 23:00,102230,102250,101400,101920,40364
2018/09/17 22:45,102380,102380,102120,102250,16188
2018/09/17 22:30,102400,102470,102230,102370,11430
2018/09/17 22:15,102590,102600,102350,102400,10286
2018/09/17 22:00,102400,102640,102400,102590,21574
2018/09/17 21:45,102280,102450,102250,102400,8976
2018/09/17 21:30,102330,102420,102200,102300,11000
2018/09/17 21:15,102420,102460,102220,102330,13314
2018/09/17 21:00,102040,102490,102010,102410,29934
2018/09/17 14:45,102080,102180,101810,102090,22462
2018/09/17 14:30,102190,102240,102010,102070,10298
2018/09/17 14:15,102190,102370,102140,102190,12504
2018/09/17 14:00,101980,102370,101960,102190,18464
2018/09/17 13:45,101870,102030,101660,101970,23752
2018/09/17 13:30,102210,102450,101820,101870,39910
2018/09/17 11:15,102350,102430,102220,102290,7568
2018/09/17 11:00,102400,102470,102200,102350,9590
2018/09/17 10:45,102390,102470,102300,102410,6432
2018/09/17 10:30,102340,102550,102320,102390,14188
2018/09/17 10:00,102370,102480,102080,102310,19556
2018/09/17 09:45,102540,102650,102350,102350,12014
2018/09/17 09:30,102400,102550,102240,102540,15406
2018/09/17 09:15,102580,102630,102310,102410,16524
2018/09/17 09:00,102160,102840,102090,102590,53984
2018/09/15 00:45,102690,102740,102540,102560,22736
2018/09/15 00:30,102660,102920,102500,102710,38820
2018/09/15 00:15,103790,103790,102650,102660,49136
2018/09/15 00:00,104320,104340,103600,103780,41826
2018/09/14 23:45,104420,104430,104270,104330,10064
2018/09/14 23:30,104510,104590,104250,104420,28016
2018/09/14 23:15,104250,104800,104250,104510,42572
2018/09/14 23:00,103870,104570,103830,104250,42784
2018/09/14 22:45,103360,104100,103320,103870,25048
2018/09/14 22:30,103300,103480,103250,103350,11904
2018/09/14 22:15,103340,103440,103210,103300,13398
2018/09/14 22:00,103520,103550,103270,103340,12780
2018/09/14 21:45,103540,103580,103380,103520,11408
2018/09/14 21:30,103350,103570,103300,103530,14792
2018/09/14 21:15,103750,103800,103120,103350,31944
2018/09/14 21:00,103630,103820,103520,103740,21272
2018/09/14 14:45,103610,103940,103590,103820,17258
2018/09/14 14:30,103700,103760,103510,103610,14266
2018/09/14 14:15,103770,103840,103560,103700,13556
2018/09/14 14:00,103900,103970,103600,103770,20878
2018/09/14 13:45,104170,104170,103820,103900,14838
2018/09/14 13:30,103950,104220,103860,104160,19442
2018/09/14 11:15,103850,103960,103720,103950,9494
2018/09/14 11:00,103850,103990,103830,103870,6162
2018/09/14 10:45,103960,104080,103780,103850,10106
2018/09/14 10:30,103950,104020,103900,103960,6848
2018/09/14 10:00,103680,104050,103680,103940,13012
2018/09/14 09:45,103810,103840,103600,103670,14912
2018/09/14 09:30,103900,104090,103810,103820,12774
2018/09/14 09:15,103920,103970,103800,103900,10386
2018/09/14 09:00,103710,104050,103710,103920,26156
2018/09/14 00:45,103640,103710,103600,103700,9890
2018/09/14 00:30,103710,103730,103610,103660,3238
2018/09/14 00:15,103620,103780,103590,103700,4526
2018/09/14 00:00,103610,103720,103560,103620,5546
2018/09/13 23:45,103720,103740,103590,103620,7226
2018/09/13 23:30,103690,103790,103530,103740,16076
2018/09/13 23:15,103730,103790,103670,103690,5898
