time,open,high,low,close,vol
2018/09/18 23:45,18205,18250,18205,18220,884
2018/09/18 23:30,18190,18225,18190,18205,914
2018/09/18 23:15,18215,18215,18175,18190,1168
2018/09/18 23:00,18220,18230,18200,18215,538
2018/09/18 22:45,18225,18245,18220,18220,786
2018/09/18 22:30,18210,18235,18210,18230,468
2018/09/18 22:15,18215,18230,18200,18205,620
2018/09/18 22:00,18270,18270,18190,18210,2124
2018/09/18 21:45,18280,18290,18260,18270,744
2018/09/18 21:30,18280,18290,18265,18280,796
2018/09/18 21:15,18305,18310,18250,18280,1670
2018/09/18 21:00,18320,18375,18290,18305,3622
2018/09/18 14:45,18635,18720,18630,18715,2054
2018/09/18 14:30,18650,18675,18635,18640,1198
2018/09/18 14:15,18670,18680,18655,18655,934
2018/09/18 14:00,18615,18690,18615,18680,1180
2018/09/18 13:45,18615,18630,18610,18615,466
2018/09/18 13:30,18640,18640,18605,18615,1112
2018/09/18 11:15,18650,18650,18605,18635,1192
2018/09/18 11:00,18615,18650,18615,18645,1198
2018/09/18 10:45,18565,18625,18560,18615,3016
2018/09/18 10:30,18660,18665,18495,18565,7232
2018/09/18 10:00,18645,18665,18635,18655,6052
2018/09/18 09:45,18715,18735,18630,18650,6418
2018/09/18 09:30,18690,18740,18685,18715,2636
2018/09/18 09:15,18705,18720,18650,18690,1848
2018/09/18 09:00,18790,18795,18700,18705,2296
2018/09/18 00:45,18800,18835,18760,18830,546
2018/09/18 00:30,18805,18830,18790,18800,560
2018/09/18 00:15,18800,18810,18790,18800,302
2018/09/18 00:00,18800,18815,18790,18800,540
2018/09/17 23:45,18790,18825,18780,18800,1530
2018/09/17 23:30,18810,18810,18785,18785,798
2018/09/17 23:15,18770,18810,18755,18810,876
2018/09/17 23:00,18765,18775,18740,18770,790
2018/09/17 22:45,18780,18780,18750,18770,788
2018/09/17 22:30,18795,18800,18775,18780,896
2018/09/17 22:15,18785,18805,18775,18795,1162
2018/09/17 22:00,18820,18845,18765,18785,3958
2018/09/17 21:45,18750,18825,18745,18820,1676
2018/09/17 21:30,18700,18775,18690,18750,2558
2018/09/17 21:15,18745,18750,18695,18705,1960
2018/09/17 21:00,18705,18765,18690,18745,2702
2018/09/17 14:45,18695,18700,18665,18665,1728
2018/09/17 14:30,18695,18705,18675,18695,1500
2018/09/17 14:15,18680,18700,18665,18695,2786
2018/09/17 14:00,18675,18690,18650,18680,1394
2018/09/17 13:45,18640,18680,18620,18675,4406
2018/09/17 13:30,18650,18675,18610,18635,2284
2018/09/17 11:15,18670,18685,18630,18655,872
2018/09/17 11:00,18650,18680,18635,18675,906
2018/09/17 10:45,18655,18665,18640,18650,526
2018/09/17 10:30,18645,18665,18645,18655,994
2018/09/17 10:00,18625,18650,18595,18650,3412
2018/09/17 09:45,18715,18715,18620,18625,2954
2018/09/17 09:30,18695,18720,18685,18720,994
2018/09/17 09:15,18760,18760,18680,18695,2476
2018/09/17 09:00,18880,18895,18705,18760,4286
2018/09/15 00:45,18860,18910,18850,18880,1086
2018/09/15 00:30,18855,18865,18840,18860,808
2018/09/15 00:15,18880,18900,18855,18860,780
2018/09/15 00:00,18910,18910,18865,18880,1108
2018/09/14 23:45,18920,18925,18875,18910,1194
2018/09/14 23:30,18950,18960,18890,18920,1524
2018/09/14 23:15,18965,18980,18920,18950,1294
2018/09/14 23:00,18935,18970,18920,18965,1098
2018/09/14 22:45,18940,18950,18910,18935,1032
2018/09/14 22:30,18930,18960,18930,18940,696
2018/09/14 22:15,18920,18940,18905,18930,876
2018/09/14 22:00,18970,18980,18915,18925,1144
2018/09/14 21:45,18990,18990,18965,18970,488
2018/09/14 21:30,18965,18985,18955,18985,788
2018/09/14 21:15,19005,19015,18940,18965,1488
2018/09/14 21:00,19035,19050,18990,19000,2562
2018/09/14 14:45,19000,19030,18995,19020,1762
2018/09/14 14:30,18995,19025,18975,18995,2034
