time,open,high,low,close,vol
2018/09/18 22:45,12115,12135,12080,12095,16908
2018/09/18 22:30,12105,12125,12095,12120,12514
2018/09/18 22:15,12105,12120,12100,12105,5196
2018/09/18 22:00,12150,12150,12090,12105,17726
2018/09/18 21:45,12140,12155,12135,12145,8912
2018/09/18 21:30,12165,12165,12125,12140,11908
2018/09/18 21:15,12165,12170,12155,12160,6350
2018/09/18 21:00,12180,12210,12150,12165,36206
2018/09/18 14:45,12125,12140,12105,12135,13372
2018/09/18 14:30,12130,12140,12120,12125,6218
2018/09/18 14:15,12140,12140,12120,12130,7862
2018/09/18 14:00,12140,12145,12125,12135,13456
2018/09/18 13:45,12125,12165,12125,12140,14622
2018/09/18 13:30,12110,12140,12105,12130,10556
2018/09/18 11:15,12120,12120,12090,12100,5470
2018/09/18 11:00,12100,12120,12095,12115,7750
2018/09/18 10:45,12105,12110,12085,12100,7246
2018/09/18 10:30,12120,12125,12100,12100,4976
2018/09/18 10:00,12085,12145,12085,12120,16892
2018/09/18 09:45,12085,12095,12075,12090,5636
2018/09/18 09:30,12035,12110,12030,12085,22500
2018/09/18 09:15,12085,12085,12000,12035,37352
2018/09/18 09:00,12080,12120,12050,12085,36862
2018/09/17 22:45,12145,12145,12120,12130,12358
2018/09/17 22:30,12145,12155,12140,12145,5254
2018/09/17 22:15,12155,12160,12135,12145,3562
2018/09/17 22:00,12140,12160,12135,12160,5406
2018/09/17 21:45,12150,12155,12115,12140,11522
2018/09/17 21:30,12165,12175,12150,12150,8056
2018/09/17 21:15,12160,12165,12150,12165,5560
2018/09/17 21:00,12110,12175,12110,12165,24340
2018/09/17 14:45,12130,12145,12125,12125,13852
2018/09/17 14:30,12135,12135,12110,12130,7034
2018/09/17 14:15,12150,12155,12125,12135,6818
2018/09/17 14:00,12135,12155,12130,12150,7686
2018/09/17 13:45,12120,12160,12110,12135,11896
2018/09/17 13:30,12110,12130,12100,12120,9402
2018/09/17 11:15,12100,12125,12075,12110,14216
2018/09/17 11:00,12100,12110,12085,12095,11152
2018/09/17 10:45,12100,12135,12090,12105,11746
2018/09/17 10:30,12075,12135,12050,12100,37940
2018/09/17 10:00,12265,12265,12035,12075,61954
2018/09/17 09:45,12270,12280,12255,12260,8440
2018/09/17 09:30,12310,12315,12210,12270,46998
2018/09/17 09:15,12410,12420,12290,12310,40126
2018/09/17 09:00,12365,12490,12340,12410,64510
2018/09/14 22:45,12370,12400,12370,12385,14876
2018/09/14 22:30,12365,12390,12355,12370,8982
2018/09/14 22:15,12350,12385,12350,12365,16038
2018/09/14 22:00,12350,12355,12330,12350,5690
2018/09/14 21:45,12340,12350,12340,12350,2142
2018/09/14 21:30,12330,12355,12320,12345,8728
2018/09/14 21:15,12345,12360,12325,12330,9512
2018/09/14 21:00,12310,12365,12305,12345,21304
2018/09/14 14:45,12315,12330,12310,12330,12900
2018/09/14 14:30,12320,12330,12280,12310,12014
2018/09/14 14:15,12300,12335,12285,12315,17090
2018/09/14 14:00,12325,12335,12290,12300,13952
2018/09/14 13:45,12340,12345,12320,12325,7052
2018/09/14 13:30,12335,12350,12320,12345,5676
2018/09/14 11:15,12310,12340,12290,12340,13480
2018/09/14 11:00,12340,12345,12300,12305,9926
2018/09/14 10:45,12360,12360,12325,12340,10158
2018/09/14 10:30,12360,12370,12350,12355,5556
2018/09/14 10:00,12370,12400,12355,12355,10248
2018/09/14 09:45,12365,12375,12360,12370,4326
2018/09/14 09:30,12365,12390,12350,12370,12572
2018/09/14 09:15,12340,12370,12335,12365,12436
2018/09/14 09:00,12310,12345,12305,12340,12648
2018/09/13 22:45,12315,12335,12300,12305,11034
2018/09/13 22:30,12330,12335,12305,12315,8418
2018/09/13 22:15,12365,12365,12310,12325,12080
2018/09/13 22:00,12350,12365,12330,12360,6036
2018/09/13 21:45,12330,12350,12320,12345,7678
2018/09/13 21:30,12360,12365,12275,12335,26410
2018/09/13 21:15,12365,12370,12325,12355,16514
2018/09/13 21:00,12425,12430,12355,12370,26250
2018/09/13 14:45,12385,12425,12380,12420,23568
2018/09/13 14:30,12380,12410,12375,12390,12730
2018/09/13 14:15,12365,12390,12360,12380,7240
2018/09/13 14:00,12365,12380,12360,12360,11658
2018/09/13 13:45,12385,12390,12345,12360,12204
2018/09/13 13:30,12335,12395,12330,12385,18066
2018/09/13 11:15,12370,12375,12335,12370,8182
2018/09/13 11:00,12360,12375,12355,12365,7070
2018/09/13 10:45,12345,12370,12330,12360,12554
2018/09/13 10:30,12410,12415,12320,12350,30960
