time,open,high,low,close,vol
2018/09/18 23:45,21060,21080,21055,21065,7064
2018/09/18 23:30,21035,21070,21030,21060,15356
2018/09/18 23:15,21065,21075,21010,21030,22004
2018/09/18 23:00,21095,21100,21040,21065,16744
2018/09/18 22:45,21080,21125,21055,21100,23874
2018/09/18 22:30,21030,21085,21025,21085,21240
2018/09/18 22:15,21010,21055,21010,21030,20136
2018/09/18 22:00,21100,21100,20970,21010,44128
2018/09/18 21:45,21140,21145,21105,21105,17364
2018/09/18 21:30,21145,21160,21125,21140,20516
2018/09/18 21:15,21115,21160,21095,21145,28406
2018/09/18 21:00,21080,21235,21045,21110,81358
2018/09/18 14:45,20910,21055,20905,21045,50488
2018/09/18 14:30,20930,20960,20900,20910,25204
2018/09/18 14:15,20905,20940,20895,20930,17566
2018/09/18 14:00,20860,20920,20860,20905,19590
2018/09/18 13:45,20840,20880,20840,20855,13960
2018/09/18 13:30,20865,20885,20830,20835,23254
2018/09/18 11:15,20925,20930,20845,20865,23854
2018/09/18 11:00,20890,20975,20880,20925,46250
2018/09/18 10:45,20830,20925,20820,20890,26476
2018/09/18 10:30,20810,20865,20790,20830,36732
2018/09/18 10:00,20710,20845,20710,20810,40722
2018/09/18 09:45,20670,20730,20670,20710,26804
2018/09/18 09:30,20545,20715,20540,20670,46944
2018/09/18 09:15,20540,20570,20480,20545,20524
2018/09/18 09:00,20510,20550,20490,20535,29662
2018/09/18 00:45,20610,20615,20570,20585,7790
2018/09/18 00:30,20620,20630,20605,20610,4668
2018/09/18 00:15,20615,20620,20605,20615,3004
2018/09/18 00:00,20610,20615,20595,20615,4498
2018/09/17 23:45,20620,20625,20595,20605,10022
2018/09/17 23:30,20645,20650,20615,20620,16060
2018/09/17 23:15,20510,20655,20490,20645,28268
2018/09/17 23:00,20515,20525,20480,20510,12730
2018/09/17 22:45,20555,20560,20500,20520,14390
2018/09/17 22:30,20555,20580,20540,20555,9372
2018/09/17 22:15,20560,20570,20535,20555,10594
2018/09/17 22:00,20520,20580,20515,20560,28010
2018/09/17 21:45,20490,20525,20485,20520,10670
2018/09/17 21:30,20495,20530,20485,20490,15426
2018/09/17 21:15,20525,20540,20470,20495,17628
2018/09/17 21:00,20495,20545,20485,20530,28946
2018/09/17 14:45,20490,20505,20435,20440,25412
2018/09/17 14:30,20505,20515,20475,20495,14444
2018/09/17 14:15,20475,20525,20475,20505,17894
2018/09/17 14:00,20450,20490,20425,20480,21124
2018/09/17 13:45,20385,20460,20370,20450,17110
2018/09/17 13:30,20405,20430,20370,20385,20314
2018/09/17 11:15,20435,20455,20400,20425,15430
2018/09/17 11:00,20430,20445,20405,20435,10688
2018/09/17 10:45,20425,20445,20420,20435,10440
2018/09/17 10:30,20420,20440,20410,20425,16712
2018/09/17 10:00,20440,20445,20410,20420,16712
2018/09/17 09:45,20460,20475,20430,20440,10434
2018/09/17 09:30,20420,20465,20395,20455,18152
2018/09/17 09:15,20415,20445,20395,20425,22612
2018/09/17 09:00,20440,20510,20330,20415,61798
2018/09/15 00:45,20515,20525,20460,20470,10156
2018/09/15 00:30,20530,20545,20490,20515,14350
2018/09/15 00:15,20585,20595,20535,20535,14826
2018/09/15 00:00,20755,20760,20550,20585,36806
2018/09/14 23:45,20755,20760,20730,20755,9384
2018/09/14 23:30,20770,20775,20745,20755,13214
2018/09/14 23:15,20790,20800,20730,20770,21824
2018/09/14 23:00,20705,20810,20705,20790,25534
2018/09/14 22:45,20680,20715,20675,20710,13420
2018/09/14 22:30,20660,20690,20655,20680,11632
2018/09/14 22:15,20675,20700,20655,20660,20354
2018/09/14 22:00,20740,20755,20675,20680,15050
2018/09/14 21:45,20770,20775,20725,20740,10896
2018/09/14 21:30,20710,20780,20700,20770,14432
2018/09/14 21:15,20730,20755,20690,20710,20896
2018/09/14 21:00,20710,20750,20675,20730,26342
2018/09/14 14:45,20635,20740,20625,20735,21978
2018/09/14 14:30,20645,20645,20585,20635,20676
2018/09/14 14:15,20635,20670,20625,20650,17516
2018/09/14 14:00,20730,20740,20630,20640,31808
2018/09/14 13:45,20740,20745,20720,20725,10718
2018/09/14 13:30,20780,20790,20720,20735,13422
2018/09/14 11:15,20760,20790,20745,20785,15018
2018/09/14 11:00,20760,20780,20740,20760,17566
2018/09/14 10:45,20730,20760,20710,20760,15528
2018/09/14 10:30,20745,20745,20715,20735,15508
2018/09/14 10:00,20730,20770,20725,20740,11874
2018/09/14 09:45,20740,20755,20710,20735,14994
2018/09/14 09:30,20730,20780,20710,20745,19024
2018/09/14 09:15,20745,20750,20690,20725,21918
