Time,Open,High,Low,close,Vol
2018/09/18 22:00,4203,4204,4177,4186,556226
2018/09/18 21:00,4180,4205,4176,4203,843266
2018/09/18 14:00,4139,4167,4134,4166,889120
2018/09/18 13:00,4125,4145,4125,4140,287546
2018/09/18 11:00,4132,4137,4116,4122,204092
2018/09/18 10:00,4125,4153,4120,4132,509578
2018/09/18 09:00,4134,4137,4092,4125,1121694
2018/09/17 22:00,4135,4148,4130,4142,457562
2018/09/17 21:00,4100,4138,4097,4136,733798
2018/09/17 14:00,4097,4107,4087,4100,454946
2018/09/17 13:00,4096,4098,4080,4097,287564
2018/09/17 11:00,4110,4113,4085,4097,419808
2018/09/17 10:00,4139,4143,4098,4110,634556
2018/09/17 09:00,4135,4142,4114,4138,836824
2018/09/14 22:00,4105,4156,4092,4156,706928
2018/09/14 21:00,4096,4110,4089,4105,560748
2018/09/14 14:00,4096,4111,4070,4090,977928
2018/09/14 13:00,4096,4098,4080,4096,315358
2018/09/14 11:00,4087,4097,4076,4096,331126
2018/09/14 10:00,4067,4093,4064,4087,552418
2018/09/14 09:00,4054,4075,4048,4068,505082
2018/09/13 22:00,4061,4068,4046,4053,423330
2018/09/13 21:00,4068,4080,4041,4060,764294
2018/09/13 14:00,4049,4073,4048,4071,612216
2018/09/13 13:00,4052,4064,4044,4049,399718
2018/09/13 11:00,4048,4051,4030,4049,384690
2018/09/13 10:00,4070,4074,4036,4047,499918
2018/09/13 09:00,4050,4087,4045,4070,864848
2018/09/12 22:00,4042,4054,4037,4041,365458
2018/09/12 21:00,4034,4078,4015,4042,1252290
2018/09/12 14:00,4047,4059,4038,4050,661440
2018/09/12 13:00,4048,4064,4037,4047,653024
2018/09/12 11:00,4010,4043,4010,4039,385158
2018/09/12 10:00,4008,4026,3998,4010,554376
2018/09/12 09:00,4093,4106,3993,4008,1874898
2018/09/11 22:00,4108,4143,4090,4093,1038888
2018/09/11 21:00,4099,4117,4083,4107,1044318
2018/09/11 14:00,4156,4161,4063,4071,1609952
2018/09/11 13:00,4158,4168,4149,4156,261644
2018/09/11 11:00,4150,4169,4135,4161,378798
2018/09/11 10:00,4155,4161,4141,4150,382972
2018/09/11 09:00,4176,4187,4147,4155,1018658
2018/09/10 22:00,4200,4207,4162,4176,756410
2018/09/10 21:00,4270,4270,4182,4199,1726162
2018/09/10 14:00,4264,4294,4263,4284,684768
2018/09/10 13:00,4262,4273,4259,4263,161060
2018/09/10 11:00,4258,4275,4257,4262,180738
2018/09/10 10:00,4277,4279,4252,4258,337708
2018/09/10 09:00,4275,4299,4258,4277,1062534
2018/09/07 22:00,4217,4244,4215,4240,496386
2018/09/07 21:00,4185,4222,4184,4217,664872
2018/09/07 14:00,4215,4221,4170,4186,1222352
2018/09/07 13:00,4231,4240,4210,4215,482408
2018/09/07 11:00,4227,4249,4227,4232,336134
2018/09/07 10:00,4244,4246,4223,4227,328992
2018/09/07 09:00,4231,4253,4227,4245,741050
2018/09/06 22:00,4217,4235,4208,4234,740418
2018/09/06 21:00,4158,4219,4158,4218,1502958
2018/09/06 14:00,4127,4150,4121,4148,678756
2018/09/06 13:00,4142,4148,4122,4126,513370
2018/09/06 11:00,4127,4140,4123,4137,285850
2018/09/06 10:00,4122,4147,4118,4127,739368
2018/09/06 09:00,4104,4131,4096,4122,670208
2018/09/05 22:00,4117,4123,4092,4103,551584
2018/09/05 21:00,4101,4120,4100,4117,651332
2018/09/05 14:00,4068,4100,4050,4093,1129238
2018/09/05 13:00,4083,4085,4056,4067,490724
2018/09/05 11:00,4085,4092,4072,4077,372022
2018/09/05 10:00,4081,4097,4078,4085,327276
2018/09/05 09:00,4114,4116,4066,4081,923724
2018/09/04 22:00,4093,4127,4087,4115,708816
2018/09/04 21:00,4115,4119,4074,4093,764748
2018/09/04 14:00,4119,4136,4108,4115,746048
2018/09/04 13:00,4119,4133,4116,4119,460106
2018/09/04 11:00,4112,4119,4107,4115,172014
2018/09/04 10:00,4130,4130,4098,4111,541874
2018/09/04 09:00,4084,4131,4079,4129,994318
2018/09/03 22:00,4071,4091,4071,4083,266854
2018/09/03 21:00,4094,4094,4072,4073,435656
2018/09/03 14:00,4072,4091,4065,4087,556632
2018/09/03 13:00,4098,4108,4065,4071,482722
2018/09/03 11:00,4057,4102,4055,4096,481336
2018/09/03 10:00,4088,4090,4050,4056,711150
2018/09/03 09:00,4100,4110,4078,4088,810530
2018/08/31 22:00,4108,4118,4097,4104,451588
2018/08/31 21:00,4080,4116,4080,4107,640926
2018/08/31 14:00,4088,4103,4078,4086,610346
2018/08/31 13:00,4084,4110,4084,4088,558900
2018/08/31 11:00,4060,4086,4058,4083,442762
2018/08/31 10:00,4106,4108,4057,4060,862010
2018/08/31 09:00,4115,4142,4089,4106,968366
2018/08/30 22:00,4112,4124,4104,4117,295032
2018/08/30 21:00,4103,4125,4103,4113,506478
2018/08/30 14:00,4111,4126,4098,4118,777382
2018/08/30 13:00,4129,4135,4086,4112,905992
2018/08/30 11:00,4149,4156,4130,4131,299858
2018/08/30 10:00,4140,4152,4110,4149,696308
2018/08/30 09:00,4128,4141,4124,4140,442692
2018/08/29 22:00,4147,4149,4116,4128,840436
2018/08/29 21:00,4167,4171,4141,4147,926108
2018/08/29 14:00,4258,4260,4157,4160,1933246
2018/08/29 13:00,4276,4278,4255,4258,531108
2018/08/29 11:00,4218,4275,4216,4274,662948
2018/08/29 10:00,4223,4227,4203,4218,408058
2018/08/29 09:00,4216,4229,4213,4224,425156
2018/08/28 22:00,4249,4256,4209,4212,563580
2018/08/28 21:00,4237,4258,4228,4249,739180
2018/08/28 14:00,4234,4244,4216,4232,470628
2018/08/28 13:00,4237,4250,4227,4234,309756
2018/08/28 11:00,4228,4245,4220,4237,276740
2018/08/28 10:00,4228,4239,4217,4228,415136
2018/08/28 09:00,4212,4233,4199,4228,666872
2018/08/27 22:00,4210,4225,4209,4213,289728
2018/08/27 21:00,4205,4227,4190,4209,717004
2018/08/27 14:00,4234,4235,4196,4204,1099206
2018/08/27 13:00,4251,4259,4233,4234,283274
2018/08/27 11:00,4236,4259,4233,4249,254752
2018/08/27 10:00,4249,4255,4224,4237,561842
2018/08/27 09:00,4326,4331,4233,4248,1623216
2018/08/24 22:00,4316,4325,4311,4316,228982
2018/08/24 21:00,4332,4341,4310,4315,592246
2018/08/24 14:00,4282,4345,4281,4334,990162
2018/08/24 13:00,4291,4306,4279,4282,322078
2018/08/24 11:00,4284,4296,4281,4287,169716
2018/08/24 10:00,4294,4307,4281,4285,398566
2018/08/24 09:00,4280,4317,4280,4294,644286
2018/08/23 22:00,4267,4294,4266,4280,461794
2018/08/23 21:00,4276,4283,4258,4267,710154
2018/08/23 14:00,4328,4334,4275,4280,841724
2018/08/23 13:00,4298,4338,4297,4329,616158
2018/08/23 11:00,4286,4297,4274,4293,252432
2018/08/23 10:00,4323,4334,4266,4285,1072630
2018/08/23 09:00,4321,4349,4307,4324,603890
2018/08/22 22:00,4343,4343,4311,4325,558368
2018/08/22 21:00,4333,4355,4318,4343,821988
2018/08/22 14:00,4371,4380,4333,4334,777074
2018/08/22 13:00,4391,4398,4352,4371,444584
2018/08/22 11:00,4377,4395,4377,4392,203712
2018/08/22 10:00,4388,4418,4373,4378,649202
2018/08/22 09:00,4348,4393,4343,4389,739844
2018/08/21 22:00,4316,4351,4315,4343,567948
2018/08/21 21:00,4337,4343,4303,4316,927710
2018/08/21 14:00,4355,4361,4333,4337,671606
2018/08/21 13:00,4373,4378,4326,4356,655498
2018/08/21 11:00,4385,4385,4364,4369,245026
2018/08/21 10:00,4392,4395,4378,4385,263886
2018/08/21 09:00,4378,4395,4357,4393,794124
2018/08/20 22:00,4393,4409,4379,4388,451846
2018/08/20 21:00,4392,4400,4383,4392,452472
2018/08/20 14:00,4389,4413,4380,4396,795446
2018/08/20 13:00,4344,4392,4344,4390,478250
2018/08/20 11:00,4340,4353,4323,4344,260352
2018/08/20 10:00,4350,4364,4333,4340,364692
2018/08/20 09:00,4360,4363,4318,4350,765434
2018/08/17 22:00,4327,4359,4306,4347,920966
2018/08/17 21:00,4282,4328,4282,4327,743710
2018/08/17 14:00,4429,4478,4424,4473,468398
2018/08/17 13:00,4385,4435,4384,4430,252076
2018/08/17 11:00,4353,4383,4348,4382,181354
2018/08/17 10:00,4339,4354,4338,4353,77576
2018/08/17 09:00,4337,4348,4335,4340,124688
2018/08/16 22:00,4344,4347,4330,4336,111244
2018/08/16 21:00,4332,4365,4330,4345,255392
2018/08/16 14:00,4323,4333,4317,4329,153900
2018/08/16 13:00,4321,4339,4320,4323,131944
