time,open,high,low,close,vol
2018/09/18 23:30,49390,49470,49390,49450,5914
2018/09/18 23:00,49450,49490,49350,49380,11394
2018/09/18 22:30,49300,49540,49280,49450,18706
2018/09/18 22:00,49410,49430,49210,49300,21708
2018/09/18 21:30,49440,49490,49330,49420,19430
2018/09/18 21:00,49290,49590,49290,49440,61780
2018/09/18 14:30,48720,48740,48640,48680,17458
2018/09/18 14:00,48610,48790,48610,48720,28120
2018/09/18 13:30,48450,48630,48420,48610,26516
2018/09/18 11:00,48410,48560,48410,48460,22280
2018/09/18 10:30,48400,48440,48360,48410,10588
2018/09/18 10:00,48300,48460,48280,48410,13210
2018/09/18 09:30,48250,48360,48250,48300,20512
2018/09/18 09:00,48180,48340,48180,48250,30650
2018/09/18 00:30,48450,48500,48410,48460,6128
2018/09/18 00:00,48460,48480,48440,48450,2372
2018/09/17 23:30,48460,48500,48440,48450,6022
2018/09/17 23:00,48360,48480,48340,48460,14900
2018/09/17 22:30,48340,48450,48340,48360,18358
2018/09/17 22:00,48150,48410,48140,48340,29714
2018/09/17 21:30,48070,48150,48050,48140,13046
2018/09/17 21:00,48010,48110,47980,48070,17002
2018/09/17 14:30,48070,48070,47900,47930,14444
2018/09/17 14:00,47940,48100,47940,48070,20150
2018/09/17 13:30,47860,47950,47840,47940,14142
2018/09/17 11:00,48010,48030,47910,47910,7670
2018/09/17 10:30,47920,48030,47910,48010,8890
2018/09/17 10:00,47900,47930,47880,47920,4466
2018/09/17 09:30,47950,47960,47900,47910,7952
2018/09/17 09:00,47820,47990,47820,47950,30456
2018/09/15 00:30,48210,48220,48070,48190,15680
2018/09/15 00:00,48450,48450,48200,48210,20586
2018/09/14 23:30,48480,48530,48420,48450,13150
2018/09/14 23:00,48370,48490,48340,48480,10462
2018/09/14 22:30,48240,48390,48240,48370,10978
2018/09/14 22:00,48420,48440,48240,48240,15066
2018/09/14 21:30,48420,48470,48380,48420,8036
2018/09/14 21:00,48360,48450,48330,48430,20488
2018/09/14 14:30,48510,48520,48420,48420,14846
2018/09/14 14:00,48580,48620,48460,48520,16036
2018/09/14 13:30,48660,48680,48570,48580,9400
2018/09/14 11:00,48570,48650,48570,48640,6492
2018/09/14 10:30,48570,48620,48550,48570,5624
2018/09/14 10:00,48560,48590,48550,48560,4062
2018/09/14 09:30,48530,48560,48480,48550,8060
2018/09/14 09:00,48460,48600,48460,48520,12648
2018/09/14 00:30,48610,48620,48430,48440,8220
2018/09/14 00:00,48620,48630,48570,48610,2640
2018/09/13 23:30,48610,48650,48590,48620,6826
2018/09/13 23:00,48640,48680,48590,48620,10952
2018/09/13 22:30,48580,48650,48450,48640,20076
2018/09/13 22:00,48790,48820,48520,48570,30022
2018/09/13 21:30,48750,48830,48750,48800,13606
2018/09/13 21:00,48660,48820,48610,48750,31516
2018/09/13 14:30,48640,48660,48560,48620,16492
2018/09/13 14:00,48450,48660,48440,48640,20492
2018/09/13 13:30,48470,48480,48290,48450,17606
2018/09/13 11:00,48380,48500,48380,48490,11454
2018/09/13 10:30,48420,48430,48350,48380,7732
2018/09/13 10:00,48440,48450,48380,48410,4164
2018/09/13 09:30,48500,48530,48360,48440,12732
2018/09/13 09:00,48340,48560,48340,48500,29644
2018/09/13 00:30,48310,48350,48270,48300,8276
2018/09/13 00:00,48310,48390,48280,48310,11314
2018/09/12 23:30,48260,48370,48250,48300,21704
2018/09/12 23:00,47890,48360,47840,48250,54058
2018/09/12 22:30,47860,47910,47820,47890,8946
2018/09/12 22:00,47840,47950,47830,47870,18936
2018/09/12 21:30,47770,47860,47680,47840,15906
2018/09/12 21:00,47810,47910,47720,47780,21064
2018/09/12 14:30,47800,47830,47690,47730,17160
2018/09/12 14:00,47820,47870,47790,47810,10402
2018/09/12 13:30,47800,47870,47710,47820,18846
2018/09/12 11:00,47680,47770,47680,47710,8144
2018/09/12 10:30,47630,47740,47620,47680,12802
2018/09/12 10:00,47570,47650,47550,47620,4384
2018/09/12 09:30,47650,47670,47550,47580,12480
2018/09/12 09:00,47740,47740,47630,47650,14018
