time,open,high,low,close,vol
2018/09/18 23:25,5806,5808,5802,5804,3680
2018/09/18 23:20,5808,5810,5806,5806,1764
2018/09/18 23:15,5810,5810,5806,5808,1174
2018/09/18 23:10,5804,5810,5802,5808,4242
2018/09/18 23:05,5808,5808,5804,5806,1156
2018/09/18 23:00,5806,5810,5806,5806,1796
2018/09/18 22:55,5808,5810,5806,5808,1354
2018/09/18 22:50,5808,5810,5806,5808,586
2018/09/18 22:45,5812,5814,5806,5810,3340
2018/09/18 22:40,5812,5814,5810,5814,1018
2018/09/18 22:35,5814,5814,5810,5812,952
2018/09/18 22:30,5814,5816,5810,5814,2184
2018/09/18 22:25,5816,5816,5814,5814,772
2018/09/18 22:20,5818,5818,5814,5816,2508
2018/09/18 22:15,5814,5818,5812,5816,1354
2018/09/18 22:10,5812,5814,5810,5814,992
2018/09/18 22:05,5812,5814,5812,5812,802
2018/09/18 22:00,5814,5814,5810,5812,1840
2018/09/18 21:55,5818,5818,5812,5816,2202
2018/09/18 21:50,5820,5820,5816,5816,942
2018/09/18 21:45,5820,5820,5814,5818,1422
2018/09/18 21:40,5820,5820,5816,5818,3842
2018/09/18 21:35,5814,5820,5814,5820,1922
2018/09/18 21:30,5820,5822,5814,5816,5322
2018/09/18 21:25,5820,5822,5818,5820,1656
2018/09/18 21:20,5820,5826,5818,5820,7072
2018/09/18 21:15,5812,5820,5810,5820,3018
2018/09/18 21:10,5812,5814,5810,5814,2418
2018/09/18 21:05,5806,5816,5802,5814,9624
2018/09/18 21:00,5820,5828,5800,5810,22262
2018/09/18 14:55,5818,5822,5814,5822,9700
2018/09/18 14:50,5816,5820,5812,5818,9836
2018/09/18 14:45,5826,5828,5816,5818,8438
2018/09/18 14:40,5826,5828,5824,5824,1978
2018/09/18 14:35,5824,5828,5820,5828,2890
2018/09/18 14:30,5822,5826,5818,5824,12858
2018/09/18 14:25,5826,5826,5820,5822,6042
2018/09/18 14:20,5826,5828,5824,5826,1904
2018/09/18 14:15,5830,5830,5826,5826,862
2018/09/18 14:10,5830,5832,5828,5828,1046
2018/09/18 14:05,5830,5832,5828,5830,1996
2018/09/18 14:00,5822,5832,5822,5832,5924
2018/09/18 13:55,5832,5832,5822,5822,10504
2018/09/18 13:50,5832,5834,5830,5830,2436
2018/09/18 13:45,5840,5840,5830,5832,6240
2018/09/18 13:40,5838,5840,5836,5838,1978
2018/09/18 13:35,5836,5840,5836,5840,1340
2018/09/18 13:30,5836,5840,5834,5838,3152
2018/09/18 11:25,5836,5838,5834,5838,2416
2018/09/18 11:20,5836,5838,5836,5836,1042
2018/09/18 11:15,5836,5840,5834,5834,1806
2018/09/18 11:10,5838,5842,5836,5838,4926
2018/09/18 11:05,5834,5838,5830,5836,5612
2018/09/18 11:00,5834,5836,5832,5834,2364
2018/09/18 10:55,5834,5836,5832,5834,1912
2018/09/18 10:50,5832,5834,5828,5834,4956
2018/09/18 10:45,5824,5836,5824,5834,11450
2018/09/18 10:40,5838,5838,5822,5824,18602
2018/09/18 10:35,5844,5846,5836,5840,9120
2018/09/18 10:30,5848,5848,5840,5846,7542
2018/09/18 10:10,5852,5852,5846,5846,3966
2018/09/18 10:05,5850,5854,5850,5852,2906
2018/09/18 10:00,5850,5854,5848,5850,5042
2018/09/18 09:55,5858,5858,5850,5850,4152
2018/09/18 09:50,5856,5860,5850,5858,5304
2018/09/18 09:45,5858,5864,5854,5856,5140
2018/09/18 09:40,5868,5870,5858,5858,7804
2018/09/18 09:35,5856,5872,5854,5868,13468
2018/09/18 09:30,5850,5860,5850,5854,5738
2018/09/18 09:25,5848,5856,5846,5850,5710
