//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/01/18 00:00,13350,13360,13345,13360,1568,253976
2019/01/18 00:05,13355,13370,13355,13370,772,254058
2019/01/18 00:10,13365,13370,13360,13370,532,254152
2019/01/18 00:15,13365,13380,13360,13375,1908,254348
2019/01/18 00:20,13370,13375,13365,13370,980,254330
2019/01/18 00:25,13370,13375,13365,13370,496,254466
2019/01/18 00:30,13370,13375,13365,13370,628,254490
2019/01/18 00:35,13375,13380,13370,13375,732,254638
2019/01/18 00:40,13375,13390,13375,13375,2008,254600
2019/01/18 00:45,13375,13380,13370,13375,726,254604
2019/01/18 00:50,13375,13375,13365,13370,462,254498
2019/01/18 00:55,13370,13375,13365,13370,918,254238
2019/01/18 09:00,13375,13390,13360,13390,5312,254374
2019/01/18 09:05,13390,13400,13380,13395,3810,254018
2019/01/18 09:10,13390,13415,13390,13405,4162,253932
2019/01/18 09:15,13405,13410,13395,13400,2726,253148
2019/01/18 09:20,13400,13410,13400,13410,1436,253094
2019/01/18 09:25,13410,13410,13390,13395,1754,252522
2019/01/18 09:30,13395,13400,13395,13400,644,252388
2019/01/18 09:35,13395,13400,13395,13400,572,252530
2019/01/18 09:40,13395,13400,13390,13395,836,252614
2019/01/18 09:45,13395,13410,13395,13410,1720,252788
2019/01/18 09:50,13410,13410,13405,13405,846,252884
2019/01/18 09:55,13410,13430,13405,13430,3948,253982
2019/01/18 10:00,13430,13430,13425,13430,1490,254126
2019/01/18 10:05,13430,13435,13420,13420,2780,253718
2019/01/18 10:10,13425,13430,13420,13430,2214,253424
2019/01/18 10:30,13430,13440,13430,13440,3422,253678
2019/01/18 10:35,13435,13440,13435,13435,1616,253446
2019/01/18 10:40,13440,13440,13435,13440,1000,253410
2019/01/18 10:45,13440,13440,13430,13435,1760,253670
2019/01/18 10:50,13430,13435,13430,13430,990,253684
2019/01/18 10:55,13435,13440,13430,13435,1524,253918
2019/01/18 11:00,13440,13445,13435,13440,1634,254226
2019/01/18 11:05,13440,13455,13440,13450,3650,254618
2019/01/18 11:10,13450,13460,13445,13455,3132,254374
2019/01/18 11:15,13455,13460,13450,13455,1162,254442
2019/01/18 11:20,13455,13465,13450,13455,3098,254116
2019/01/18 11:25,13455,13460,13445,13460,2704,253514
2019/01/18 13:30,13460,13465,13455,13460,2718,254458
2019/01/18 13:35,13460,13460,13455,13460,786,254396
2019/01/18 13:40,13460,13460,13455,13460,1360,254210
2019/01/18 13:45,13460,13460,13450,13455,1066,254118
2019/01/18 13:50,13455,13460,13445,13455,2038,253408
2019/01/18 13:55,13455,13460,13450,13460,1028,253330
2019/01/18 14:00,13455,13460,13450,13455,1244,252968
2019/01/18 14:05,13455,13460,13450,13450,1202,253050
2019/01/18 14:10,13455,13455,13445,13445,2026,252432
2019/01/18 14:15,13450,13450,13440,13445,412,252412
2019/01/18 14:20,13445,13445,13430,13435,1150,252490
2019/01/18 14:25,13430,13440,13430,13435,1574,252582
2019/01/18 14:30,13430,13445,13430,13445,1634,252802
2019/01/18 14:35,13445,13445,13440,13440,602,252894
2019/01/18 14:40,13445,13445,13440,13445,1498,252790
2019/01/18 14:45,13445,13450,13440,13445,1972,252610
2019/01/18 14:50,13445,13450,13440,13450,1128,252476
2019/01/18 14:55,13445,13475,13445,13475,5574,251106
2019/01/18 21:00,13480,13500,13465,13470,5554,250288
2019/01/18 21:05,13475,13485,13470,13480,1716,250612
2019/01/18 21:10,13485,13485,13470,13475,1356,250682
2019/01/18 21:15,13475,13480,13465,13465,1148,250520
2019/01/18 21:20,13465,13475,13465,13465,1112,250624
2019/01/18 21:25,13465,13465,13455,13465,1230,250584
2019/01/18 21:30,13465,13475,13465,13470,680,250562
2019/01/18 21:35,13470,13475,13460,13465,900,250326
2019/01/18 21:40,13465,13465,13455,13455,594,250154
2019/01/18 21:45,13455,13465,13445,13460,2594,250028
2019/01/18 21:50,13460,13470,13455,13465,552,249988
2019/01/18 21:55,13465,13475,13465,13470,1086,249994
2019/01/18 22:00,13470,13475,13465,13465,702,249890
2019/01/18 22:05,13470,13475,13470,13470,704,249790
2019/01/18 22:10,13475,13475,13470,13475,990,249626
2019/01/18 22:15,13475,13475,13465,13475,554,249582
2019/01/18 22:20,13475,13475,13465,13470,438,249614
2019/01/18 22:25,13470,13490,13470,13485,1640,249222
2019/01/18 22:30,13485,13485,13470,13475,1404,249080
2019/01/18 22:35,13475,13475,13470,13470,318,249054
2019/01/18 22:40,13470,13475,13455,13460,1030,249068
2019/01/18 22:45,13460,13465,13445,13450,2076,248680
2019/01/18 22:50,13450,13465,13445,13460,1482,248600
2019/01/18 22:55,13460,13465,13455,13465,814,248350
2019/01/18 23:00,13465,13480,13455,13475,1648,248820
2019/01/18 23:05,13475,13480,13470,13480,450,248864
2019/01/18 23:10,13480,13490,13480,13485,1494,249332
2019/01/18 23:15,13485,13490,13480,13490,1444,249588
2019/01/18 23:20,13490,13495,13480,13485,2008,250046
2019/01/18 23:25,13485,13505,13480,13505,3172,250240
2019/01/18 23:30,13505,13585,13500,13560,18248,250364
2019/01/18 23:35,13565,13605,13560,13570,7444,251004
2019/01/18 23:40,13570,13590,13565,13585,4320,250210
2019/01/18 23:45,13585,13610,13570,13575,5274,249878
2019/01/18 23:50,13575,13590,13575,13585,1914,249676
2019/01/18 23:55,13590,13590,13560,13570,3014,249804
2019/01/19 00:00,13570,13575,13555,13560,3360,250132
2019/01/19 00:05,13565,13575,13560,13570,2882,250090
2019/01/19 00:10,13570,13575,13560,13570,1516,250102
2019/01/19 00:15,13570,13570,13560,13565,1086,250034
