//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/01/18 09:00,1819,1825,1818,1824,52268,1284896
2019/01/18 09:05,1825,1825,1819,1820,17292,1286034
2019/01/18 09:10,1820,1821,1817,1817,13682,1288418
2019/01/18 09:15,1817,1820,1817,1818,7688,1286918
2019/01/18 09:20,1818,1822,1818,1820,12358,1287338
2019/01/18 09:25,1819,1820,1818,1819,4456,1286812
2019/01/18 09:30,1818,1821,1818,1819,4916,1287060
2019/01/18 09:35,1820,1820,1819,1820,1378,1286678
2019/01/18 09:40,1820,1821,1819,1821,4042,1285944
2019/01/18 09:45,1820,1823,1820,1821,7758,1285640
2019/01/18 09:50,1821,1823,1821,1823,5668,1285188
2019/01/18 09:55,1823,1824,1821,1823,6578,1284574
2019/01/18 10:00,1822,1823,1820,1821,3698,1284888
2019/01/18 10:05,1821,1823,1821,1822,3678,1284484
2019/01/18 10:10,1823,1824,1822,1822,4538,1284486
2019/01/18 10:30,1823,1823,1821,1822,1846,1284550
2019/01/18 10:35,1822,1824,1821,1824,6516,1285176
2019/01/18 10:40,1823,1824,1822,1823,3890,1286556
2019/01/18 10:45,1824,1824,1822,1823,3376,1286656
2019/01/18 10:50,1823,1824,1823,1824,2446,1287880
2019/01/18 10:55,1824,1826,1823,1823,19580,1289538
2019/01/18 11:00,1823,1824,1822,1823,5056,1288300
2019/01/18 11:05,1823,1824,1823,1824,896,1288408
2019/01/18 11:10,1824,1824,1823,1823,488,1288356
2019/01/18 11:15,1824,1825,1823,1824,5708,1287000
2019/01/18 11:20,1824,1825,1824,1825,1774,1287504
2019/01/18 11:25,1824,1826,1824,1825,4868,1286138
2019/01/18 13:30,1825,1825,1823,1823,6142,1286722
2019/01/18 13:35,1823,1825,1823,1825,4198,1285384
2019/01/18 13:40,1824,1825,1823,1823,4372,1284180
2019/01/18 13:45,1823,1825,1823,1824,2474,1283522
2019/01/18 13:50,1825,1825,1824,1825,2688,1283822
2019/01/18 13:55,1824,1827,1824,1824,12124,1281284
2019/01/18 14:00,1824,1826,1824,1824,2514,1281430
2019/01/18 14:05,1824,1825,1822,1822,5786,1280412
2019/01/18 14:10,1823,1824,1821,1823,8842,1281840
2019/01/18 14:15,1823,1824,1822,1823,2314,1281044
2019/01/18 14:20,1822,1823,1822,1823,434,1281006
2019/01/18 14:25,1822,1824,1822,1824,2370,1281796
2019/01/18 14:30,1823,1824,1822,1823,3416,1282194
2019/01/18 14:35,1822,1824,1822,1822,4716,1281816
2019/01/18 14:40,1823,1823,1821,1822,5212,1282380
