//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/07/01 09:00,47320,47410,47220,47400,12198,219400
2019/07/01 09:05,47390,47440,47380,47380,4266,219788
2019/07/01 09:10,47380,47400,47370,47370,2122,219782
2019/07/01 09:15,47380,47380,47320,47350,2962,219312
2019/07/01 09:20,47360,47380,47350,47360,1190,219436
2019/07/01 09:25,47360,47360,47330,47350,2328,219372
2019/07/01 09:30,47350,47350,47290,47310,2212,219130
2019/07/01 09:35,47310,47310,47270,47280,1748,219164
2019/07/01 09:40,47280,47310,47270,47310,3912,218320
2019/07/01 09:45,47300,47340,47280,47330,2612,219042
2019/07/01 09:50,47320,47350,47320,47350,1194,219296
2019/07/01 09:55,47350,47350,47290,47330,1886,219436
2019/07/01 10:00,47330,47350,47330,47350,1044,219716
2019/07/01 10:05,47340,47340,47320,47330,756,219656
2019/07/01 10:10,47330,47360,47330,47350,1138,219718
2019/07/01 10:30,47350,47350,47320,47320,1324,219494
2019/07/01 10:35,47320,47340,47310,47320,708,219544
2019/07/01 10:40,47320,47330,47320,47320,830,219864
2019/07/01 10:45,47320,47330,47310,47310,624,219968
2019/07/01 10:50,47320,47340,47310,47330,1344,219670
2019/07/01 10:55,47330,47340,47320,47330,710,219648
2019/07/01 11:00,47330,47360,47320,47350,1698,220260
2019/07/01 11:05,47350,47360,47340,47340,924,220274
2019/07/01 11:10,47340,47360,47340,47350,1278,219812
2019/07/01 11:15,47350,47360,47330,47330,620,219764
2019/07/01 11:20,47330,47340,47310,47320,772,219898
2019/07/01 11:25,47320,47330,47310,47320,536,219630
2019/07/01 13:30,47340,47400,47340,47400,3030,220266
2019/07/01 13:35,47400,47450,47390,47410,3204,220642
2019/07/01 13:40,47420,47430,47390,47390,1862,220814
2019/07/01 13:45,47390,47400,47370,47370,1924,220984
2019/07/01 13:50,47380,47380,47350,47360,1402,220768
2019/07/01 13:55,47360,47390,47360,47380,668,220848
2019/07/01 14:00,47390,47400,47360,47390,1480,220856
2019/07/01 14:05,47390,47400,47370,47370,2038,221020
2019/07/01 14:10,47380,47390,47370,47380,692,221122
2019/07/01 14:15,47380,47380,47330,47350,2100,221176
2019/07/01 14:20,47350,47360,47310,47350,1462,221140
2019/07/01 14:25,47350,47390,47340,47390,1180,221228
2019/07/01 14:30,47380,47390,47350,47360,1028,221322
2019/07/01 14:35,47360,47360,47340,47360,908,221382
2019/07/01 14:40,47350,47360,47330,47340,1494,221146
2019/07/01 14:45,47340,47380,47330,47350,1466,220888
2019/07/01 14:50,47360,47380,47340,47380,2226,220770
2019/07/01 14:55,47380,47390,47330,47360,3442,219918
2019/07/01 21:00,47110,47120,47020,47070,11634,221082
2019/07/01 21:05,47060,47070,46770,46780,14082,222140
2019/07/01 21:10,46790,46840,46720,46750,8600,223302
2019/07/01 21:15,46740,46790,46680,46770,6994,222852
2019/07/01 21:20,46770,46790,46730,46740,3470,222208
2019/07/01 21:25,46740,46760,46730,46750,2274,222512
2019/07/01 21:30,46760,46810,46740,46790,1960,222102
2019/07/01 21:35,46770,46820,46770,46800,1268,222068
2019/07/01 21:40,46800,46810,46760,46810,964,222154
2019/07/01 21:45,46810,46840,46780,46810,1348,221926
2019/07/01 21:50,46800,46820,46770,46800,1378,221932
2019/07/01 21:55,46790,46820,46780,46800,974,221856
2019/07/01 22:00,46800,46800,46770,46790,1286,221982
2019/07/01 22:05,46780,46790,46760,46770,902,222046
2019/07/01 22:10,46770,46770,46710,46710,2116,222276
2019/07/01 22:15,46710,46720,46640,46710,4462,222738
2019/07/01 22:20,46700,46740,46700,46730,1002,222752
2019/07/01 22:25,46730,46740,46700,46700,1130,222756
2019/07/01 22:30,46700,46730,46700,46710,632,222718
2019/07/01 22:35,46700,46750,46700,46740,618,222668
2019/07/01 22:40,46730,46770,46720,46740,1030,222444
2019/07/01 22:45,46730,46780,46720,46780,1550,222122
2019/07/01 22:50,46780,46810,46770,46780,1106,221838
2019/07/01 22:55,46780,46790,46730,46750,1180,221946
2019/07/01 23:00,46740,46780,46740,46770,662,221914
2019/07/01 23:05,46770,46780,46710,46720,794,221904
2019/07/01 23:10,46710,46720,46610,46640,4794,222020
2019/07/01 23:15,46640,46650,46580,46620,2554,222320
2019/07/01 23:20,46620,46690,46600,46680,1356,222296
2019/07/01 23:25,46670,46700,46670,46680,598,222270
2019/07/01 23:30,46680,46730,46660,46720,1464,222358
2019/07/01 23:35,46710,46710,46660,46660,592,222342
2019/07/01 23:40,46670,46680,46660,46660,390,222358
2019/07/01 23:45,46660,46660,46630,46650,388,222408
2019/07/01 23:50,46650,46660,46630,46640,634,222416
2019/07/01 23:55,46650,46670,46640,46640,578,222302
2019/07/02 00:00,46640,46660,46620,46650,512,222298
2019/07/02 00:05,46650,46680,46650,46680,492,222326
2019/07/02 00:10,46690,46690,46630,46640,194,222358
2019/07/02 00:15,46640,46650,46620,46650,252,222362
2019/07/02 00:20,46650,46650,46630,46640,118,222344
2019/07/02 00:25,46640,46660,46640,46660,192,222308
2019/07/02 00:30,46660,46660,46630,46630,212,222250
2019/07/02 00:35,46630,46650,46620,46650,302,222216
2019/07/02 00:40,46640,46640,46620,46620,144,222250
2019/07/02 00:45,46620,46640,46610,46640,222,222244
2019/07/02 00:50,46640,46640,46610,46630,378,222160
2019/07/02 00:55,46630,46650,46600,46650,858,222014
2019/07/02 09:00,46670,46670,46540,46610,7406,222224
2019/07/02 09:05,46610,46650,46600,46640,2190,221950
2019/07/02 09:10,46640,46660,46620,46660,2172,221780
2019/07/02 09:15,46660,46660,46610,46650,1892,221672
2019/07/02 09:20,46640,46650,46630,46650,712,221632
2019/07/02 09:25,46660,46670,46640,46660,936,221494
2019/07/02 09:30,46650,46650,46610,46620,1202,221164
2019/07/02 09:35,46610,46630,46600,46610,1332,221022
2019/07/02 09:40,46620,46640,46600,46620,1446,221484
2019/07/02 09:45,46610,46630,46610,46610,750,221358
2019/07/02 09:50,46610,46630,46610,46620,484,221338
2019/07/02 09:55,46630,46630,46610,46610,1118,221280
2019/07/02 10:00,46610,46630,46600,46610,1754,221204
2019/07/02 10:05,46620,46620,46600,46610,840,221218
2019/07/02 10:10,46600,46630,46600,46620,754,220898
2019/07/02 10:30,46630,46640,46620,46630,1126,220416
2019/07/02 10:35,46630,46640,46610,46620,1002,220430
2019/07/02 10:40,46620,46630,46610,46620,772,220382
2019/07/02 10:45,46630,46640,46620,46630,786,220310
2019/07/02 10:50,46630,46640,46620,46630,708,220164
2019/07/02 10:55,46620,46640,46610,46640,834,220084
2019/07/02 11:00,46640,46660,46630,46640,1292,220016
2019/07/02 11:05,46640,46670,46640,46660,1014,220186
2019/07/02 11:10,46660,46670,46650,46670,958,220444
2019/07/02 11:15,46670,46690,46660,46690,1566,220404
2019/07/02 11:20,46690,46690,46670,46670,1262,220876
2019/07/02 11:25,46670,46690,46670,46690,952,220866
2019/07/02 13:30,46670,46680,46620,46620,3696,220298
2019/07/02 13:35,46620,46630,46600,46600,2786,220284
2019/07/02 13:40,46600,46650,46600,46640,1574,220072
2019/07/02 13:45,46630,46640,46620,46630,750,219946
2019/07/02 13:50,46630,46660,46620,46620,1066,219926
2019/07/02 13:55,46620,46670,46620,46660,1364,219838
2019/07/02 14:00,46650,46700,46650,46700,1278,219772
2019/07/02 14:05,46700,46730,46680,46730,1718,219286
2019/07/02 14:10,46730,46760,46710,46750,1436,219096
2019/07/02 14:15,46750,46750,46710,46720,944,219220
2019/07/02 14:20,46730,46760,46730,46740,712,219180
2019/07/02 14:25,46750,46750,46730,46730,806,219182
2019/07/02 14:30,46740,46750,46720,46720,746,219050
2019/07/02 14:35,46720,46730,46680,46690,2074,219042
2019/07/02 14:40,46690,46730,46690,46700,1348,218942
2019/07/02 14:45,46700,46700,46650,46660,1848,219402
2019/07/02 14:50,46650,46680,46640,46670,1216,219492
2019/07/02 14:55,46680,46720,46580,46610,4560,218618
2019/07/02 21:00,46520,46520,46300,46330,10634,220406
2019/07/02 21:05,46330,46340,46220,46280,7026,220880
2019/07/02 21:10,46270,46390,46270,46380,3352,220470
2019/07/02 21:15,46380,46420,46350,46390,1518,220610
2019/07/02 21:20,46390,46430,46370,46380,1520,220762
2019/07/02 21:25,46370,46380,46340,46370,1052,220960
2019/07/02 21:30,46370,46380,46330,46340,984,221030
2019/07/02 21:35,46340,46350,46320,46340,756,221248
2019/07/02 21:40,46340,46340,46280,46300,1606,221524
2019/07/02 21:45,46290,46290,46230,46290,2862,221360
2019/07/02 21:50,46290,46320,46280,46290,1250,221330
2019/07/02 21:55,46280,46310,46260,46310,1368,221344
2019/07/02 22:00,46300,46320,46270,46300,1796,221560
2019/07/02 22:05,46300,46300,46230,46240,1958,221758
2019/07/02 22:10,46240,46280,46230,46280,1756,221474
2019/07/02 22:15,46290,46320,46260,46310,1000,221168
2019/07/02 22:20,46320,46320,46280,46290,594,221178
2019/07/02 22:25,46300,46350,46290,46340,688,221022
2019/07/02 22:30,46330,46370,46320,46330,1124,220766
2019/07/02 22:35,46330,46360,46310,46340,1224,221082
2019/07/02 22:40,46330,46330,46290,46310,2036,221642
2019/07/02 22:45,46300,46310,46230,46240,1370,221774
2019/07/02 22:50,46240,46250,46230,46250,652,221876
2019/07/02 22:55,46250,46260,46230,46250,1042,221670
2019/07/02 23:00,46260,46310,46240,46290,1588,221892
2019/07/02 23:05,46290,46340,46280,46330,900,221852
2019/07/02 23:10,46330,46350,46320,46330,798,221832
2019/07/02 23:15,46330,46330,46310,46320,348,221794
2019/07/02 23:20,46320,46340,46320,46330,250,221834
2019/07/02 23:25,46320,46370,46320,46330,888,221652
2019/07/02 23:30,46330,46360,46320,46330,342,221600
2019/07/02 23:35,46340,46350,46320,46330,430,221606
2019/07/02 23:40,46320,46350,46320,46340,244,221596
2019/07/02 23:45,46330,46350,46320,46340,426,221588
2019/07/02 23:50,46340,46340,46310,46310,234,221658
2019/07/02 23:55,46320,46360,46290,46340,998,221850
2019/07/03 00:00,46340,46370,46340,46350,1330,221780
2019/07/03 00:05,46360,46370,46350,46350,338,221794
2019/07/03 00:10,46350,46400,46350,46390,858,221714
2019/07/03 00:15,46380,46390,46380,46380,208,221718
2019/07/03 00:20,46380,46430,46380,46430,1588,221636
2019/07/03 00:25,46420,46430,46350,46360,784,221420
2019/07/03 00:30,46360,46380,46350,46380,308,221364
2019/07/03 00:35,46380,46410,46380,46400,360,221344
2019/07/03 00:40,46400,46410,46400,46410,246,221252
2019/07/03 00:45,46410,46420,46400,46400,266,221078
2019/07/03 00:50,46400,46410,46390,46410,136,221040
2019/07/03 00:55,46400,46420,46390,46420,510,220894
2019/07/03 09:00,46420,46440,46380,46420,2562,220488
2019/07/03 09:05,46420,46440,46410,46440,778,220398
2019/07/03 09:10,46430,46460,46430,46450,1118,219938
2019/07/03 09:15,46450,46450,46410,46410,1240,219572
2019/07/03 09:20,46420,46450,46400,46440,976,219292
2019/07/03 09:25,46440,46460,46380,46390,2132,219522
2019/07/03 09:30,46400,46400,46340,46370,2122,219346
2019/07/03 09:35,46370,46380,46340,46360,1202,219152
2019/07/03 09:40,46360,46390,46360,46360,1300,218924
2019/07/03 09:45,46370,46380,46350,46350,1778,218868
2019/07/03 09:50,46350,46350,46290,46330,2078,218524
2019/07/03 09:55,46340,46360,46330,46330,812,218404
2019/07/03 10:00,46330,46350,46320,46340,1262,218320
2019/07/03 10:05,46340,46350,46340,46340,330,218384
2019/07/03 10:10,46340,46360,46340,46360,622,218176
2019/07/03 10:30,46360,46360,46330,46350,744,218160
2019/07/03 10:35,46350,46380,46350,46360,1046,218080
2019/07/03 10:40,46360,46370,46350,46360,540,217798
2019/07/03 10:45,46360,46370,46360,46370,470,217810
2019/07/03 10:50,46370,46380,46370,46370,204,217820
2019/07/03 10:55,46370,46390,46370,46370,1012,217684
2019/07/03 11:00,46370,46390,46360,46390,1082,217626
2019/07/03 11:05,46390,46390,46380,46390,346,217754
2019/07/03 11:10,46390,46400,46370,46370,802,217492
2019/07/03 11:15,46370,46380,46350,46350,1418,217510
2019/07/03 11:20,46360,46370,46340,46350,350,217554
2019/07/03 11:25,46350,46370,46350,46360,758,217546
