//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/03/22 09:00,3710,3710,3701,3705,13188,504662
2019/03/22 09:05,3705,3711,3704,3707,5698,503554
2019/03/22 09:10,3706,3708,3704,3704,3276,503264
2019/03/22 09:15,3703,3704,3697,3698,5824,503878
2019/03/22 09:20,3698,3700,3695,3697,5012,505300
2019/03/22 09:25,3697,3698,3695,3696,4022,505082
2019/03/22 09:30,3695,3697,3693,3695,5986,506320
2019/03/22 09:35,3694,3696,3691,3691,5686,508132
2019/03/22 09:40,3691,3695,3691,3692,3786,508716
2019/03/22 09:45,3692,3693,3689,3692,5026,508016
2019/03/22 09:50,3692,3696,3691,3692,4238,508254
2019/03/22 09:55,3692,3692,3684,3689,10714,507696
2019/03/22 10:00,3689,3689,3680,3682,14892,508842
2019/03/22 10:05,3681,3686,3680,3685,6606,508924
2019/03/22 10:10,3684,3689,3683,3687,4718,508136
2019/03/22 10:30,3688,3693,3684,3690,8406,506792
2019/03/22 10:35,3691,3694,3689,3691,7256,504454
2019/03/22 10:40,3691,3697,3690,3694,6122,504834
2019/03/22 10:45,3694,3695,3692,3694,2174,505122
2019/03/22 10:50,3693,3695,3691,3692,2870,505706
2019/03/22 10:55,3693,3694,3690,3692,2292,505698
2019/03/22 11:00,3692,3692,3689,3691,2574,505628
2019/03/22 11:05,3692,3692,3689,3689,1296,505796
2019/03/22 11:10,3688,3692,3688,3688,2188,505794
2019/03/22 11:15,3688,3688,3683,3687,4728,505432
2019/03/22 11:20,3687,3691,3686,3691,2352,504788
2019/03/22 11:25,3690,3691,3686,3686,3254,504440
2019/03/22 13:30,3688,3694,3683,3694,6374,504916
2019/03/22 13:35,3694,3695,3691,3692,4682,504844
2019/03/22 13:40,3693,3697,3693,3696,4408,504484
2019/03/22 13:45,3696,3705,3695,3704,9412,502216
2019/03/22 13:50,3704,3710,3704,3707,14816,497250
2019/03/22 13:55,3707,3715,3704,3712,15292,494184
2019/03/22 14:00,3712,3716,3709,3710,16270,490384
2019/03/22 14:05,3710,3711,3703,3703,10002,489582
2019/03/22 14:10,3705,3706,3696,3698,12884,491406
2019/03/22 14:15,3697,3700,3696,3698,4514,490736
2019/03/22 14:20,3698,3712,3697,3711,14764,489432
2019/03/22 14:25,3711,3719,3710,3714,17724,486458
2019/03/22 14:30,3714,3718,3707,3708,8714,487118
2019/03/22 14:35,3707,3715,3706,3706,6032,486166
2019/03/22 14:40,3706,3712,3706,3712,4868,487428
2019/03/22 14:45,3711,3713,3710,3713,4328,487732
2019/03/22 14:50,3712,3715,3707,3708,6760,486978
2019/03/22 14:55,3708,3713,3707,3712,9050,486168
2019/03/22 21:00,3702,3715,3701,3711,12510,487428
2019/03/22 21:05,3710,3711,3702,3705,9282,489948
2019/03/22 21:10,3705,3705,3696,3699,12400,487402
2019/03/22 21:15,3698,3703,3697,3701,4988,486514
2019/03/22 21:20,3700,3704,3698,3703,4080,485776
2019/03/22 21:25,3704,3705,3700,3700,2944,485248
2019/03/22 21:30,3700,3704,3699,3704,3866,485054
2019/03/22 21:35,3703,3712,3703,3707,8374,485026
2019/03/22 21:40,3707,3712,3707,3712,4710,484870
2019/03/22 21:45,3712,3713,3706,3710,4366,484726
2019/03/22 21:50,3710,3710,3705,3706,3794,483878
2019/03/22 21:55,3706,3707,3704,3706,1836,483928
2019/03/22 22:00,3705,3706,3700,3701,3146,483536
2019/03/22 22:05,3701,3704,3699,3704,3010,483584
2019/03/22 22:10,3703,3704,3691,3697,11398,483068
2019/03/22 22:15,3696,3700,3694,3699,4958,482534
2019/03/22 22:20,3698,3699,3695,3697,3232,482634
2019/03/22 22:25,3697,3698,3696,3697,1100,482602
2019/03/22 22:30,3697,3699,3695,3698,1464,482592
2019/03/22 22:35,3699,3700,3697,3697,1620,482328
2019/03/22 22:40,3697,3698,3695,3696,2286,482220
2019/03/22 22:45,3696,3697,3692,3693,2982,481686
2019/03/22 22:50,3693,3696,3691,3692,4242,480236
2019/03/22 22:55,3693,3694,3682,3685,15088,480598
2019/03/25 09:00,3695,3705,3685,3704,36370,486258
2019/03/25 09:05,3705,3705,3698,3702,11318,487204
2019/03/25 09:10,3702,3703,3696,3696,6672,487934
2019/03/25 09:15,3696,3703,3690,3696,15230,486266
2019/03/25 09:20,3696,3702,3693,3701,7368,486010
2019/03/25 09:25,3701,3701,3688,3693,9010,486096
2019/03/25 09:30,3692,3696,3690,3693,6120,485954
2019/03/25 09:35,3693,3694,3681,3686,18440,488094
2019/03/25 09:40,3686,3699,3682,3691,16592,486668
2019/03/25 09:45,3691,3691,3684,3686,6598,487942
2019/03/25 09:50,3685,3695,3683,3692,9660,486526
2019/03/25 09:55,3692,3696,3690,3694,7276,484194
2019/03/25 10:00,3694,3694,3688,3691,3166,484116
2019/03/25 10:05,3692,3696,3690,3692,2436,483910
2019/03/25 10:10,3692,3693,3689,3689,2988,483722
2019/03/25 10:30,3689,3690,3687,3689,2478,483682
2019/03/25 10:35,3689,3692,3688,3691,2152,483686
2019/03/25 10:40,3691,3691,3688,3690,2082,482934
2019/03/25 10:45,3690,3690,3686,3689,2612,483040
2019/03/25 10:50,3688,3689,3685,3687,2522,483794
2019/03/25 10:55,3686,3691,3683,3687,6048,485670
2019/03/25 11:00,3687,3690,3685,3690,2450,485360
2019/03/25 11:05,3690,3690,3683,3687,3918,484900
2019/03/25 11:10,3686,3691,3685,3685,3622,484832
2019/03/25 11:15,3685,3688,3682,3685,3402,485440
2019/03/25 11:20,3685,3691,3684,3688,2650,485236
2019/03/25 11:25,3687,3693,3686,3690,2892,484904
2019/03/25 13:30,3691,3694,3689,3692,4250,485098
2019/03/25 13:35,3692,3692,3688,3690,2738,484968
2019/03/25 13:40,3689,3691,3687,3689,6152,485230
2019/03/25 13:45,3688,3690,3683,3690,6120,484998
2019/03/25 13:50,3690,3690,3685,3685,1424,485060
2019/03/25 13:55,3686,3692,3684,3690,4236,484854
2019/03/25 14:00,3691,3694,3688,3690,4696,484592
2019/03/25 14:05,3690,3691,3686,3688,2632,484950
2019/03/25 14:10,3688,3689,3685,3687,2790,485942
2019/03/25 14:15,3688,3689,3685,3686,1844,485900
2019/03/25 14:20,3686,3687,3676,3679,20838,489142
2019/03/25 14:25,3678,3685,3676,3679,9810,489244
2019/03/25 14:30,3680,3684,3675,3681,9472,489968
2019/03/25 14:35,3681,3683,3674,3675,6244,490748
2019/03/25 14:40,3675,3675,3654,3662,48244,502426
2019/03/25 14:45,3661,3669,3657,3660,19432,505684
2019/03/25 14:50,3660,3668,3659,3664,11492,505514
2019/03/25 14:55,3665,3666,3655,3659,21342,501008
2019/03/25 21:00,3668,3677,3657,3673,30720,495854
2019/03/25 21:05,3673,3675,3668,3669,7606,495856
2019/03/25 21:10,3669,3670,3665,3666,4620,495326
2019/03/25 21:15,3665,3670,3665,3666,6102,496470
2019/03/25 21:20,3667,3670,3665,3669,2984,496050
2019/03/25 21:25,3668,3670,3664,3665,2600,496502
2019/03/25 21:30,3666,3667,3663,3664,2454,496538
2019/03/25 21:35,3664,3667,3663,3664,3140,496564
2019/03/25 21:40,3663,3672,3663,3671,6148,497738
2019/03/25 21:45,3671,3674,3668,3670,4980,498200
2019/03/25 21:50,3669,3673,3669,3671,2254,497746
2019/03/25 21:55,3671,3673,3669,3669,1766,497486
2019/03/25 22:00,3670,3670,3665,3666,2732,497028
2019/03/25 22:05,3666,3668,3663,3667,4580,497220
2019/03/25 22:10,3667,3671,3667,3668,4268,497106
2019/03/25 22:15,3669,3669,3666,3668,1750,496496
2019/03/25 22:20,3669,3669,3665,3666,1404,496154
2019/03/25 22:25,3668,3668,3658,3661,7668,495102
2019/03/25 22:30,3661,3665,3661,3665,2314,495388
2019/03/25 22:35,3664,3665,3658,3661,3116,495620
2019/03/25 22:40,3662,3667,3659,3665,3912,495434
2019/03/25 22:45,3665,3666,3661,3664,1740,495058
2019/03/25 22:50,3664,3669,3663,3668,3190,494360
2019/03/25 22:55,3668,3671,3667,3670,4118,492712
2019/03/26 09:00,3671,3676,3669,3672,9184,491168
2019/03/26 09:05,3671,3678,3669,3675,5706,490422
2019/03/26 09:10,3675,3676,3671,3674,3396,490104
2019/03/26 09:15,3674,3674,3670,3671,2020,490700
2019/03/26 09:20,3671,3675,3670,3675,1508,490792
2019/03/26 09:25,3674,3676,3671,3671,2220,491042
2019/03/26 09:30,3671,3671,3669,3670,1742,491784
2019/03/26 09:35,3669,3670,3666,3669,4332,492744
2019/03/26 09:40,3668,3674,3667,3672,3784,493156
2019/03/26 09:45,3671,3674,3671,3674,1820,493106
2019/03/26 09:50,3673,3674,3670,3670,2034,492962
2019/03/26 09:55,3671,3671,3668,3669,1572,492772
2019/03/26 10:00,3669,3670,3666,3667,2766,492186
2019/03/26 10:05,3668,3668,3664,3665,4032,492318
2019/03/26 10:10,3665,3668,3664,3666,2264,491624
2019/03/26 10:30,3667,3668,3665,3666,2966,492710
2019/03/26 10:35,3665,3666,3662,3663,4390,492994
2019/03/26 10:40,3663,3665,3661,3663,4720,492352
2019/03/26 10:45,3663,3663,3648,3650,32626,495524
2019/03/26 10:50,3649,3657,3647,3654,13718,495102
2019/03/26 10:55,3654,3656,3649,3650,5116,495598
2019/03/26 11:00,3649,3650,3643,3646,11832,495694
2019/03/26 11:05,3645,3653,3644,3648,7246,495584
2019/03/26 11:10,3648,3651,3645,3648,4010,495140
2019/03/26 11:15,3648,3652,3645,3646,7250,496072
2019/03/26 11:20,3646,3649,3641,3642,7944,494824
2019/03/26 11:25,3641,3650,3641,3647,4286,494372
2019/03/26 13:30,3647,3654,3647,3650,6636,495438
2019/03/26 13:35,3650,3651,3647,3649,2816,494994
2019/03/26 13:40,3649,3653,3648,3650,3514,494714
2019/03/26 13:45,3649,3653,3648,3649,3464,495272
2019/03/26 13:50,3649,3651,3647,3647,2584,495812
2019/03/26 13:55,3647,3649,3643,3646,4908,496592
2019/03/26 14:00,3646,3647,3641,3646,6370,497000
2019/03/26 14:05,3645,3649,3644,3645,2594,496660
2019/03/26 14:10,3646,3648,3642,3642,4528,497458
2019/03/26 14:15,3643,3645,3642,3643,2506,497326
2019/03/26 14:20,3643,3646,3641,3642,2916,497820
2019/03/26 14:25,3642,3651,3642,3651,4302,497166
2019/03/26 14:30,3651,3652,3647,3650,4902,497056
2019/03/26 14:35,3648,3651,3644,3649,7780,495278
2019/03/26 14:40,3649,3651,3646,3650,3156,494708
2019/03/26 14:45,3651,3655,3649,3655,5632,492728
2019/03/26 14:50,3654,3656,3651,3653,5512,491982
2019/03/26 14:55,3653,3663,3647,3662,13348,487098
2019/03/26 21:00,3664,3670,3661,3664,16060,488846
2019/03/26 21:05,3664,3666,3661,3666,4932,488836
2019/03/26 21:10,3666,3668,3659,3668,7170,488284
2019/03/26 21:15,3668,3670,3663,3669,6536,487594
2019/03/26 21:20,3669,3674,3667,3672,9452,487746
2019/03/26 21:25,3672,3674,3666,3668,8396,488944
2019/03/26 21:30,3667,3668,3664,3666,4432,489952
2019/03/26 21:35,3666,3670,3665,3668,2998,489772
2019/03/26 21:40,3668,3668,3665,3666,2088,489452
2019/03/26 21:45,3666,3667,3665,3666,1336,489384
2019/03/26 21:50,3665,3666,3664,3664,1284,489266
2019/03/26 21:55,3665,3667,3664,3666,1176,488970
2019/03/26 22:00,3667,3667,3664,3665,1508,488926
2019/03/26 22:05,3665,3666,3662,3663,2084,489056
2019/03/26 22:10,3663,3664,3658,3663,4170,488334
2019/03/26 22:15,3663,3664,3656,3656,2376,488562
2019/03/26 22:20,3656,3659,3652,3652,6788,489522
2019/03/26 22:25,3653,3662,3653,3659,4496,489614
2019/03/26 22:30,3660,3661,3658,3660,1994,489794
2019/03/26 22:35,3659,3660,3658,3658,1350,490102
2019/03/26 22:40,3659,3663,3658,3660,1960,490268
2019/03/26 22:45,3659,3661,3658,3660,1006,490316
2019/03/26 22:50,3660,3661,3658,3660,1088,490054
2019/03/26 22:55,3660,3662,3658,3659,3676,489096
2019/03/27 09:00,3659,3665,3658,3665,8214,488872
2019/03/27 09:05,3665,3670,3663,3669,7100,489346
2019/03/27 09:10,3668,3669,3666,3667,3912,489548
2019/03/27 09:15,3668,3674,3666,3669,9946,488090
2019/03/27 09:20,3669,3671,3668,3669,2688,488154
2019/03/27 09:25,3670,3672,3668,3672,2362,488078
2019/03/27 09:30,3672,3674,3667,3667,4630,487784
2019/03/27 09:35,3668,3669,3667,3668,1510,487732
2019/03/27 09:40,3668,3669,3665,3665,3298,487714
2019/03/27 09:45,3666,3670,3665,3668,2950,486950
2019/03/27 09:50,3668,3669,3665,3667,2340,486300
2019/03/27 09:55,3667,3670,3666,3668,1456,486518
2019/03/27 10:00,3669,3672,3668,3670,3516,486682
2019/03/27 10:05,3670,3672,3669,3671,2746,486426
2019/03/27 10:10,3671,3672,3670,3672,2094,485708
