//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/01/18 09:00,519.5,520.5,519.0,519.5,29002,915158
2019/01/18 09:05,519.0,521.0,519.0,520.5,31114,917330
2019/01/18 09:10,520.0,521.0,519.5,520.5,12424,920234
2019/01/18 09:15,521.0,524.0,520.5,522.5,82474,923896
2019/01/18 09:20,522.5,523.0,522.0,523.0,23774,933570
2019/01/18 09:25,522.5,522.5,522.0,522.5,12724,936398
2019/01/18 09:30,522.5,522.5,521.5,522.5,29100,935458
2019/01/18 09:35,522.0,522.5,521.0,522.0,13000,939730
2019/01/18 09:40,521.5,522.5,521.5,522.0,13928,943002
2019/01/18 09:45,522.0,523.5,522.0,523.5,27642,951682
2019/01/18 09:50,523.0,524.5,523.0,524.0,37644,956510
2019/01/18 09:55,524.0,525.0,523.5,523.5,15082,959560
2019/01/18 10:00,523.5,524.0,523.0,524.0,27812,964028
2019/01/18 10:05,524.0,524.5,523.5,524.0,7002,962624
2019/01/18 10:10,524.0,524.5,524.0,524.0,14834,964722
2019/01/18 10:30,524.5,525.0,524.0,524.5,17010,971880
2019/01/18 10:35,524.5,524.5,524.0,524.0,7168,974044
2019/01/18 10:40,524.0,524.5,524.0,524.5,11746,976484
2019/01/18 10:45,524.5,524.5,523.0,523.0,18094,985956
2019/01/18 10:50,523.0,524.0,523.0,523.0,22042,981900
2019/01/18 10:55,523.0,524.0,523.0,523.5,17810,977610
2019/01/18 11:00,523.5,525.0,523.5,524.5,21864,984712
2019/01/18 11:05,524.5,524.5,524.0,524.5,3470,986102
2019/01/18 11:10,524.5,526.0,524.0,525.0,31772,982920
2019/01/18 11:15,525.5,525.5,524.0,524.5,14952,981956
2019/01/18 11:20,525.0,525.0,524.0,524.5,8664,978218
2019/01/18 11:25,524.5,525.0,524.0,524.5,11318,975706
2019/01/18 13:30,524.5,525.0,524.0,524.0,7098,977158
2019/01/18 13:35,524.5,525.5,524.0,525.5,15266,979964
2019/01/18 13:40,525.5,526.0,524.5,525.0,17944,984636
2019/01/18 13:45,525.0,526.0,525.0,525.0,10282,984240
2019/01/18 13:50,525.0,526.5,525.0,526.5,27698,990882
2019/01/18 13:55,526.0,526.5,525.0,525.0,12586,989342
2019/01/18 14:00,525.0,526.5,524.5,526.0,20120,990620
2019/01/18 14:05,526.0,527.0,525.5,525.5,35830,994340
2019/01/18 14:10,526.0,527.0,525.5,526.5,12184,995204
2019/01/18 14:15,527.0,527.5,526.5,527.5,21426,990124
2019/01/18 14:20,527.0,529.5,527.0,529.0,44946,988788
2019/01/18 14:25,529.0,529.0,527.5,528.0,22692,991780
2019/01/18 14:30,528.5,529.0,528.0,528.0,12376,992324
2019/01/18 14:35,528.0,528.5,527.5,528.0,12588,993526
2019/01/18 14:40,528.5,529.0,527.5,528.5,21562,993710
2019/01/18 14:45,528.0,530.0,528.0,529.0,37912,995092
2019/01/18 14:50,529.0,529.5,528.5,529.5,19834,992328
2019/01/18 14:55,529.0,530.0,528.0,528.0,66146,992292
2019/01/18 21:00,528.5,531.5,527.5,528.5,61308,1000624
2019/01/18 21:05,528.0,529.0,528.0,528.0,16208,997064
2019/01/18 21:10,528.5,529.5,528.0,528.5,13564,995502
2019/01/18 21:15,528.5,529.5,528.5,529.0,9604,995798
2019/01/18 21:20,529.0,530.0,528.5,530.0,10492,998562
2019/01/18 21:25,529.5,531.5,529.5,531.0,30652,1003678
2019/01/18 21:30,531.0,532.0,530.5,530.5,40380,1003888
2019/01/18 21:35,530.5,532.5,530.5,531.0,44900,1010040
2019/01/18 21:40,531.5,532.0,531.0,531.5,23412,1009420
2019/01/18 21:45,531.5,531.5,531.0,531.5,5170,1010144
2019/01/18 21:50,531.0,533.5,531.0,533.5,24758,1006778
2019/01/18 21:55,533.5,534.0,532.0,533.0,31386,1007338
2019/01/18 22:00,533.0,533.5,532.0,533.0,14234,1010422
2019/01/18 22:05,532.5,533.5,532.5,533.5,6426,1010132
2019/01/18 22:10,533.5,533.5,532.0,532.5,7376,1010192
2019/01/18 22:15,532.5,533.0,532.0,532.0,4866,1010138
2019/01/18 22:20,532.5,533.5,532.0,533.5,6890,1009674
2019/01/18 22:25,533.5,536.0,533.0,534.5,66814,1017958
2019/01/18 22:30,534.5,535.5,533.5,534.5,39096,1016142
2019/01/18 22:35,534.5,535.5,534.0,535.0,23518,1013016
2019/01/18 22:40,534.5,535.0,532.5,532.5,25438,1019008
