//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/05/17 09:00,2144.0,2147.0,2139.5,2142.0,11902,273350
2019/05/17 09:05,2142.0,2144.0,2139.5,2142.0,7232,272976
2019/05/17 09:10,2142.0,2143.5,2141.0,2143.0,3564,273194
2019/05/17 09:15,2143.0,2143.5,2137.0,2137.5,9796,272822
2019/05/17 09:20,2137.0,2139.5,2136.0,2138.5,6530,272916
2019/05/17 09:25,2138.5,2141.5,2138.0,2140.0,3658,273202
2019/05/17 09:30,2140.0,2141.5,2139.5,2140.0,2326,273290
2019/05/17 09:35,2139.5,2141.0,2138.5,2141.0,2084,273292
2019/05/17 09:40,2141.0,2143.0,2140.0,2142.0,3258,272532
2019/05/17 09:45,2141.5,2143.5,2140.5,2142.5,2090,272586
2019/05/17 09:50,2142.5,2147.0,2142.5,2145.5,5616,271716
2019/05/17 09:55,2145.5,2145.5,2143.0,2143.5,2594,271916
2019/05/17 10:00,2144.0,2145.0,2140.5,2140.5,3494,271526
2019/05/17 10:05,2141.0,2143.5,2140.5,2142.5,1486,271562
2019/05/17 10:10,2142.5,2144.0,2140.5,2141.0,3358,270526
2019/05/17 10:30,2141.0,2143.5,2140.0,2142.5,3188,269656
2019/05/17 10:35,2143.0,2144.0,2141.0,2142.0,2014,269500
2019/05/17 10:40,2141.5,2143.5,2141.0,2142.0,1216,269492
2019/05/17 10:45,2141.5,2144.5,2141.5,2142.5,1640,269564
2019/05/17 10:50,2142.5,2143.0,2140.5,2141.5,2284,270042
2019/05/17 10:55,2141.5,2142.5,2140.5,2140.5,1304,270152
2019/05/17 11:00,2140.5,2142.5,2139.0,2139.0,2940,270306
2019/05/17 11:05,2139.0,2141.0,2138.0,2140.0,2938,270538
2019/05/17 11:10,2139.5,2141.5,2138.0,2138.0,2384,270750
2019/05/17 11:15,2138.0,2139.5,2135.5,2137.0,8314,271290
2019/05/17 11:20,2137.0,2140.5,2133.0,2139.0,10378,271960
2019/05/17 11:25,2139.0,2160.0,2138.0,2159.5,28940,269182
2019/05/17 13:30,2163.0,2165.5,2157.0,2160.5,38562,276508
2019/05/17 13:35,2160.5,2178.0,2159.0,2176.0,39272,287720
2019/05/17 13:40,2176.0,2176.5,2165.0,2169.5,21006,293174
2019/05/17 13:45,2169.5,2170.0,2166.0,2168.0,6818,296510
2019/05/17 13:50,2168.5,2172.5,2168.0,2169.5,8570,300192
2019/05/17 13:55,2170.0,2170.0,2162.5,2167.0,12194,302750
2019/05/17 14:00,2167.5,2169.5,2164.5,2169.5,5042,304752
2019/05/17 14:05,2169.5,2170.0,2166.5,2166.5,3188,306342
