//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/05/17 09:00,4405,4409,4383,4401,14808,214562
2019/05/17 09:05,4401,4405,4392,4405,6916,214938
2019/05/17 09:10,4405,4415,4403,4405,6854,215530
2019/05/17 09:15,4403,4409,4403,4408,2196,215498
2019/05/17 09:20,4409,4419,4408,4414,6854,217186
2019/05/17 09:25,4414,4417,4410,4415,2550,217444
2019/05/17 09:30,4414,4415,4402,4404,3822,216770
2019/05/17 09:35,4403,4408,4396,4402,4766,216584
2019/05/17 09:40,4402,4410,4400,4410,2228,217088
2019/05/17 09:45,4409,4410,4405,4406,876,217150
2019/05/17 09:50,4406,4408,4399,4401,1562,217780
2019/05/17 09:55,4400,4405,4400,4404,744,217866
2019/05/17 10:00,4405,4410,4404,4408,1484,217876
2019/05/17 10:05,4408,4413,4405,4407,2102,217816
2019/05/17 10:10,4407,4411,4405,4411,1040,218042
2019/05/17 10:30,4411,4412,4404,4408,1410,218266
2019/05/17 10:35,4407,4415,4407,4412,2074,218658
2019/05/17 10:40,4411,4412,4408,4408,794,218656
2019/05/17 10:45,4407,4415,4407,4411,1170,218812
2019/05/17 10:50,4410,4420,4410,4418,4600,219896
2019/05/17 10:55,4418,4423,4415,4416,5768,221518
2019/05/17 11:00,4417,4420,4414,4420,1898,221816
2019/05/17 11:05,4420,4420,4410,4413,2516,221580
2019/05/17 11:10,4413,4417,4412,4414,668,221638
2019/05/17 11:15,4414,4415,4401,4409,4676,220860
2019/05/17 11:20,4409,4409,4403,4407,1780,220220
2019/05/17 11:25,4407,4407,4401,4404,2458,219956
2019/05/17 13:30,4404,4409,4400,4407,4002,220378
2019/05/17 13:35,4407,4408,4404,4408,1526,220404
2019/05/17 13:40,4408,4410,4405,4406,1434,220422
2019/05/17 13:45,4406,4406,4403,4406,1090,220650
2019/05/17 13:50,4406,4409,4403,4408,1066,220708
2019/05/17 13:55,4408,4409,4405,4406,786,220586
2019/05/17 14:00,4406,4408,4402,4404,994,220360
2019/05/17 14:05,4404,4405,4403,4405,640,220290
2019/05/17 14:10,4406,4416,4406,4407,3212,220476
2019/05/17 14:15,4408,4410,4405,4407,1112,220460
2019/05/17 14:20,4408,4410,4407,4408,588,220268
2019/05/17 14:25,4409,4409,4400,4403,2562,220224
2019/05/17 14:30,4403,4404,4394,4395,3956,219560
2019/05/17 14:35,4394,4398,4380,4384,15362,215064
2019/05/17 14:40,4385,4387,4370,4379,12464,212314
2019/05/17 14:45,4380,4382,4374,4381,6908,210552
2019/05/17 14:50,4381,4381,4371,4373,4690,208716
2019/05/17 14:55,4372,4373,4330,4350,27314,202680
2019/05/20 09:00,4345,4360,4331,4353,28584,204360
2019/05/20 09:05,4354,4354,4335,4341,10610,205584
2019/05/20 09:10,4339,4342,4321,4324,16546,205002
2019/05/20 09:15,4326,4339,4323,4335,8128,205754
2019/05/20 09:20,4334,4335,4327,4331,3520,206870
2019/05/20 09:25,4330,4337,4329,4331,3070,207056
2019/05/20 09:30,4331,4342,4331,4338,3950,207000
2019/05/20 09:35,4338,4341,4334,4335,2238,207350
2019/05/20 09:40,4335,4339,4329,4330,2260,207504
2019/05/20 09:45,4329,4334,4327,4332,2418,207526
2019/05/20 09:50,4331,4336,4329,4332,1252,207730
2019/05/20 09:55,4332,4332,4324,4327,3346,207046
2019/05/20 10:00,4327,4335,4325,4332,2634,207042
2019/05/20 10:05,4331,4335,4331,4332,1176,207158
2019/05/20 10:10,4331,4334,4327,4334,2022,206734
2019/05/20 10:30,4334,4338,4331,4336,2008,206966
2019/05/20 10:35,4336,4338,4332,4334,1342,207326
2019/05/20 10:40,4334,4337,4333,4335,1088,207048
2019/05/20 10:45,4335,4335,4330,4332,2320,206580
2019/05/20 10:50,4333,4334,4330,4330,1022,206562
2019/05/20 10:55,4330,4332,4328,4331,1110,206550
2019/05/20 11:00,4331,4333,4328,4328,1248,206432
2019/05/20 11:05,4328,4330,4327,4330,782,206512
2019/05/20 11:10,4330,4330,4322,4324,3326,206898
2019/05/20 11:15,4324,4331,4323,4330,2046,206494
2019/05/20 11:20,4330,4330,4327,4329,552,206640
2019/05/20 11:25,4330,4330,4325,4325,1070,206402
2019/05/20 13:30,4325,4331,4320,4329,5334,206424
2019/05/20 13:35,4329,4335,4329,4332,2668,206194
2019/05/20 13:40,4332,4333,4331,4333,1022,206350
2019/05/20 13:45,4332,4334,4332,4333,712,206252
2019/05/20 13:50,4332,4332,4325,4327,2208,206452
2019/05/20 13:55,4327,4328,4316,4322,5554,206810
2019/05/20 14:00,4321,4329,4320,4327,1814,206638
2019/05/20 14:05,4327,4329,4320,4323,2440,206262
2019/05/20 14:10,4321,4323,4318,4322,1858,206648
2019/05/20 14:15,4321,4323,4319,4320,1296,206654
2019/05/20 14:20,4320,4320,4310,4314,7926,207118
2019/05/20 14:25,4314,4323,4312,4319,4606,205690
2019/05/20 14:30,4318,4321,4316,4318,2224,205544
2019/05/20 14:35,4319,4319,4314,4316,1856,205034
2019/05/20 14:40,4315,4318,4305,4311,8670,202950
2019/05/20 14:45,4310,4310,4300,4300,9128,201156
2019/05/20 14:50,4300,4305,4290,4304,13750,198530
2019/05/20 14:55,4303,4310,4300,4303,8674,196444
2019/05/21 09:00,4310,4327,4310,4325,15508,197186
2019/05/21 09:05,4325,4340,4321,4334,14512,199724
2019/05/21 09:10,4335,4340,4332,4338,6234,201406
2019/05/21 09:15,4338,4339,4328,4328,5708,201372
2019/05/21 09:20,4328,4333,4328,4329,2732,202028
2019/05/21 09:25,4329,4330,4322,4325,5390,201934
2019/05/21 09:30,4325,4332,4318,4330,6066,202598
2019/05/21 09:35,4330,4334,4326,4330,3464,203182
2019/05/21 09:40,4330,4330,4326,4328,1016,203294
2019/05/21 09:45,4328,4332,4327,4331,1042,203530
2019/05/21 09:50,4332,4332,4328,4330,894,203888
2019/05/21 09:55,4330,4331,4325,4328,1154,204056
2019/05/21 10:00,4327,4327,4311,4314,7736,202940
2019/05/21 10:05,4313,4319,4313,4318,2878,202568
2019/05/21 10:10,4318,4318,4307,4313,4952,202478
2019/05/21 10:30,4313,4319,4313,4318,2306,202536
2019/05/21 10:35,4318,4322,4316,4319,1370,202398
2019/05/21 10:40,4318,4321,4317,4319,1074,202610
2019/05/21 10:45,4319,4322,4318,4321,790,202816
2019/05/21 10:50,4321,4329,4320,4327,3230,202404
2019/05/21 10:55,4328,4330,4324,4325,1784,202330
2019/05/21 11:00,4325,4330,4324,4327,1090,202414
2019/05/21 11:05,4328,4328,4325,4325,652,202456
2019/05/21 11:10,4326,4326,4320,4321,1908,202736
2019/05/21 11:15,4322,4323,4317,4320,2206,202650
2019/05/21 11:20,4320,4327,4318,4326,858,202650
2019/05/21 11:25,4326,4326,4323,4323,1120,202808
2019/05/21 13:30,4326,4328,4323,4324,1250,202882
2019/05/21 13:35,4323,4332,4323,4329,2658,203006
2019/05/21 13:40,4329,4330,4325,4330,1614,203152
2019/05/21 13:45,4330,4335,4330,4334,3358,202826
2019/05/21 13:50,4333,4334,4328,4328,1582,202620
2019/05/21 13:55,4327,4334,4326,4333,1598,202564
2019/05/21 14:00,4333,4338,4331,4334,3596,202210
2019/05/21 14:05,4334,4339,4333,4335,3350,202806
2019/05/21 14:10,4336,4348,4336,4344,9274,204390
2019/05/21 14:15,4345,4356,4341,4352,10026,207702
2019/05/21 14:20,4352,4355,4339,4339,5884,207698
2019/05/21 14:25,4339,4342,4333,4334,5306,207022
2019/05/21 14:30,4335,4337,4332,4337,3086,206364
2019/05/21 14:35,4338,4342,4337,4339,1960,206464
2019/05/21 14:40,4340,4341,4337,4339,884,206570
2019/05/21 14:45,4340,4342,4339,4340,1182,206348
2019/05/21 14:50,4342,4344,4336,4337,2662,206186
2019/05/21 14:55,4338,4348,4336,4348,5156,204590
