//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/05/17 09:00,1376.5,1381.0,1376.0,1377.5,4448,150204
2019/05/17 09:05,1377.5,1378.0,1375.5,1376.5,1862,149418
2019/05/17 09:10,1376.5,1381.0,1376.0,1381.0,2654,149430
2019/05/17 09:15,1381.0,1382.5,1377.5,1377.5,4790,148920
2019/05/17 09:20,1377.0,1378.0,1377.0,1377.5,1104,148676
2019/05/17 09:25,1377.0,1379.0,1377.0,1378.0,704,148684
2019/05/17 09:30,1378.0,1380.0,1378.0,1379.5,954,148934
2019/05/17 09:35,1379.5,1380.5,1379.0,1380.5,848,149212
2019/05/17 09:40,1380.5,1381.0,1379.0,1380.0,1424,149412
2019/05/17 09:45,1380.0,1381.5,1379.5,1381.0,1068,149626
2019/05/17 09:50,1381.0,1383.0,1381.0,1382.0,1828,149884
2019/05/17 09:55,1381.5,1382.0,1376.5,1377.0,3636,151176
2019/05/17 10:00,1377.0,1378.5,1375.5,1376.0,2018,151290
2019/05/17 10:05,1376.5,1378.0,1376.0,1378.0,642,151394
2019/05/17 10:10,1378.0,1378.0,1375.0,1375.5,1698,151100
2019/05/17 10:30,1375.5,1379.5,1375.5,1378.5,1922,151550
2019/05/17 10:35,1379.0,1379.5,1377.0,1377.0,1306,151780
2019/05/17 10:40,1377.5,1379.0,1377.0,1378.0,874,151988
2019/05/17 10:45,1378.5,1379.0,1377.5,1378.0,868,152070
2019/05/17 10:50,1378.0,1378.5,1377.0,1377.5,808,152174
2019/05/17 10:55,1377.5,1377.5,1375.5,1376.0,848,152376
2019/05/17 11:00,1376.0,1377.0,1376.0,1376.0,540,152458
2019/05/17 11:05,1376.5,1376.5,1375.0,1376.5,984,152514
2019/05/17 11:10,1376.5,1377.0,1375.5,1375.5,1268,152596
2019/05/17 11:15,1375.5,1376.5,1375.0,1375.0,870,152804
2019/05/17 11:20,1375.0,1380.0,1374.0,1380.0,3594,153622
2019/05/17 11:25,1379.5,1384.0,1379.0,1383.5,3688,155124
2019/05/17 13:30,1384.0,1384.5,1381.0,1381.0,5420,156366
2019/05/17 13:35,1381.5,1386.0,1380.5,1386.0,7114,159454
2019/05/17 13:40,1386.0,1386.0,1381.0,1382.5,4216,160702
2019/05/17 13:45,1382.5,1382.5,1381.0,1381.0,1240,161168
2019/05/17 13:50,1381.0,1382.5,1380.0,1381.5,1544,161916
2019/05/17 13:55,1381.5,1383.0,1380.0,1382.5,1674,162658
2019/05/17 14:00,1382.5,1385.5,1381.0,1385.0,1942,163600
2019/05/17 14:05,1385.0,1389.0,1384.0,1386.0,6342,166862
2019/05/17 14:10,1386.0,1386.5,1383.5,1384.0,2674,168034
2019/05/17 14:15,1384.5,1386.0,1383.5,1385.5,1750,169086
2019/05/17 14:20,1386.0,1386.5,1385.0,1385.5,1224,169572
2019/05/17 14:25,1385.5,1385.5,1381.5,1383.5,3744,170280
2019/05/17 14:30,1384.0,1386.5,1383.5,1386.0,2654,171686
2019/05/17 14:35,1386.0,1388.0,1384.0,1387.5,3208,173092
2019/05/17 14:40,1387.0,1392.0,1387.0,1392.0,7554,177288
2019/05/17 14:45,1391.5,1395.5,1390.0,1390.5,10936,181616
2019/05/17 14:50,1391.0,1391.0,1388.5,1388.5,3500,181350
2019/05/17 14:55,1388.5,1395.0,1388.5,1390.0,7640,182632
2019/05/17 21:00,1395.0,1395.0,1386.5,1388.0,9042,180050
2019/05/17 21:05,1387.5,1390.0,1387.0,1389.5,3640,179614
2019/05/17 21:10,1390.0,1392.5,1389.5,1392.0,3676,179378
2019/05/17 21:15,1391.5,1392.5,1390.5,1391.0,1364,179286
2019/05/17 21:20,1391.0,1392.5,1390.5,1392.5,1488,178916
2019/05/17 21:25,1392.5,1392.5,1390.5,1391.0,1024,178610
2019/05/17 21:30,1391.0,1391.0,1389.5,1390.5,1090,178266
2019/05/17 21:35,1390.5,1393.0,1390.5,1393.0,2020,178312
2019/05/17 21:40,1393.0,1393.0,1391.5,1392.0,760,178564
2019/05/17 21:45,1391.5,1392.0,1391.5,1392.0,392,178572
2019/05/17 21:50,1391.5,1393.0,1391.5,1391.5,878,178550
2019/05/17 21:55,1392.0,1392.0,1391.0,1391.0,778,178678
2019/05/17 22:00,1391.5,1392.0,1391.0,1392.0,676,178666
2019/05/17 22:05,1392.0,1392.5,1391.5,1392.0,536,178722
2019/05/17 22:10,1392.0,1392.5,1391.0,1392.0,1054,178694
2019/05/17 22:15,1391.5,1392.0,1391.0,1391.5,980,178684
2019/05/17 22:20,1392.0,1392.5,1391.0,1392.0,464,178794
2019/05/17 22:25,1392.5,1393.5,1392.0,1393.0,1304,178772
2019/05/17 22:30,1393.0,1394.5,1393.0,1393.5,1956,178838
2019/05/17 22:35,1394.0,1396.5,1393.0,1394.5,2846,179322
2019/05/17 22:40,1394.5,1396.0,1394.5,1394.5,1244,179436
2019/05/17 22:45,1394.5,1397.0,1394.5,1396.0,2306,180096
2019/05/17 22:50,1396.0,1396.5,1388.0,1389.5,4950,176884
2019/05/17 22:55,1389.5,1390.0,1387.0,1387.5,4130,174618
2019/05/20 09:00,1390.5,1392.0,1386.5,1387.5,5998,172882
2019/05/20 09:05,1388.0,1388.0,1383.0,1385.0,6752,171050
2019/05/20 09:10,1384.5,1386.0,1383.5,1383.5,2016,170898
2019/05/20 09:15,1384.0,1384.5,1382.5,1383.5,2016,170646
2019/05/20 09:20,1383.0,1384.5,1383.0,1384.5,1226,170388
2019/05/20 09:25,1384.5,1387.5,1384.0,1387.0,2720,170668
2019/05/20 09:30,1386.5,1387.0,1385.0,1386.0,976,170704
2019/05/20 09:35,1386.0,1387.0,1385.5,1385.5,808,170532
2019/05/20 09:40,1385.5,1387.0,1385.5,1386.0,950,170540
2019/05/20 09:45,1386.5,1387.5,1385.5,1387.5,620,170650
2019/05/20 09:50,1387.5,1387.5,1385.5,1386.0,1198,170486
2019/05/20 09:55,1387.0,1387.0,1383.5,1384.0,1676,170308
2019/05/20 10:00,1384.0,1386.5,1383.5,1386.0,786,170188
2019/05/20 10:05,1386.0,1386.0,1384.0,1385.0,656,169926
2019/05/20 10:10,1384.5,1385.0,1384.0,1384.0,734,169862
2019/05/20 10:30,1384.0,1388.5,1384.0,1388.0,2040,169600
2019/05/20 10:35,1388.5,1388.5,1386.5,1386.5,1208,169652
2019/05/20 10:40,1387.5,1389.0,1387.0,1387.5,1312,169530
2019/05/20 10:45,1387.5,1389.5,1387.5,1389.5,1180,169462
2019/05/20 10:50,1389.5,1391.0,1389.5,1391.0,1758,170130
2019/05/20 10:55,1390.5,1391.5,1390.0,1391.0,1672,170524
2019/05/20 11:00,1390.5,1391.5,1390.0,1390.0,896,170658
2019/05/20 11:05,1390.5,1390.5,1389.5,1390.5,802,170372
2019/05/20 11:10,1390.0,1390.5,1389.5,1390.0,410,170444
2019/05/20 11:15,1390.0,1391.0,1389.5,1391.0,332,170440
2019/05/20 11:20,1390.5,1391.0,1390.5,1390.5,538,170444
2019/05/20 11:25,1390.5,1395.0,1390.5,1394.0,3368,172210
2019/05/20 13:30,1394.5,1402.0,1393.5,1401.5,15470,177364
2019/05/20 13:35,1401.5,1401.5,1393.0,1394.5,8658,176110
2019/05/20 13:40,1394.5,1394.5,1392.0,1394.5,4542,176038
2019/05/20 13:45,1393.5,1394.5,1391.5,1393.5,1778,175706
2019/05/20 13:50,1393.0,1393.5,1388.0,1389.0,5420,174734
2019/05/20 13:55,1389.0,1390.5,1388.5,1390.5,1820,174844
2019/05/20 14:00,1390.5,1391.5,1389.0,1390.0,1892,175324
2019/05/20 14:05,1390.0,1391.0,1389.5,1390.5,1122,175722
2019/05/20 14:10,1390.5,1391.0,1387.5,1388.0,3042,175958
2019/05/20 14:15,1388.0,1389.5,1387.5,1388.5,1696,176090
2019/05/20 14:20,1389.0,1389.5,1386.5,1388.0,2278,175696
2019/05/20 14:25,1388.0,1388.5,1385.0,1385.5,2386,175998
2019/05/20 14:30,1385.0,1387.5,1384.5,1386.0,2390,176772
2019/05/20 14:35,1386.0,1389.0,1386.0,1388.5,1632,177180
2019/05/20 14:40,1388.5,1389.0,1388.0,1388.0,1180,177674
2019/05/20 14:45,1388.0,1388.5,1387.0,1388.0,1528,178810
2019/05/20 14:50,1388.0,1388.5,1387.0,1387.5,1704,179710
2019/05/20 14:55,1387.5,1388.0,1385.5,1387.0,3918,179712
2019/05/20 21:00,1388.0,1388.0,1384.5,1385.5,5418,177626
2019/05/20 21:05,1385.0,1390.5,1384.5,1389.5,6482,175368
2019/05/20 21:10,1389.0,1389.0,1385.5,1386.0,3102,174082
2019/05/20 21:15,1386.5,1387.0,1384.5,1385.5,3720,173958
2019/05/20 21:20,1385.5,1388.0,1385.0,1387.5,3306,174070
2019/05/20 21:25,1387.0,1389.0,1386.0,1386.0,3182,174478
2019/05/20 21:30,1386.0,1386.5,1381.0,1385.0,10080,174292
2019/05/20 21:35,1385.0,1387.0,1384.5,1385.0,3200,175082
2019/05/20 21:40,1384.5,1385.5,1383.0,1384.0,1358,175422
