//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/05/17 09:00,2738,2744,2737,2737,72650,2329094
2019/05/17 09:05,2738,2739,2734,2735,35200,2330144
2019/05/17 09:10,2735,2737,2732,2733,39182,2331448
2019/05/17 09:15,2732,2734,2721,2724,99754,2336030
2019/05/17 09:20,2724,2727,2722,2724,54180,2337774
2019/05/17 09:25,2725,2727,2722,2726,45128,2336090
2019/05/17 09:30,2726,2726,2719,2726,50882,2340460
2019/05/17 09:35,2726,2730,2725,2730,35176,2343486
2019/05/17 09:40,2730,2730,2727,2728,18942,2346580
2019/05/17 09:45,2728,2731,2727,2730,20834,2344820
2019/05/17 09:50,2729,2732,2729,2731,13120,2345052
2019/05/17 09:55,2731,2731,2729,2729,11594,2350088
2019/05/17 10:00,2730,2731,2727,2730,19072,2346114
2019/05/17 10:05,2730,2731,2728,2729,7928,2344438
2019/05/17 10:10,2729,2730,2728,2729,6914,2345600
2019/05/17 10:30,2729,2731,2726,2727,18328,2345828
2019/05/17 10:35,2728,2728,2724,2726,19590,2343522
2019/05/17 10:40,2726,2727,2724,2726,20770,2343678
2019/05/17 10:45,2726,2729,2726,2728,11382,2343824
2019/05/17 10:50,2729,2729,2726,2727,7000,2344474
2019/05/17 10:55,2728,2730,2727,2730,10624,2343928
2019/05/17 11:00,2730,2736,2729,2733,54246,2341914
2019/05/17 11:05,2734,2734,2728,2730,29072,2339104
2019/05/17 11:10,2729,2730,2727,2727,15682,2339594
2019/05/17 11:15,2727,2729,2727,2729,6026,2337914
2019/05/17 11:20,2728,2730,2726,2727,13370,2338422
2019/05/17 11:25,2727,2727,2724,2726,19714,2338552
2019/05/17 13:30,2726,2730,2723,2729,32518,2339706
2019/05/17 13:35,2730,2730,2728,2729,22300,2341694
2019/05/17 13:40,2730,2732,2727,2727,24466,2345136
2019/05/17 13:45,2727,2730,2724,2724,49842,2344352
2019/05/17 13:50,2724,2727,2724,2726,21886,2342622
2019/05/17 13:55,2726,2726,2723,2724,18670,2343468
2019/05/17 14:00,2723,2725,2715,2719,78560,2337934
2019/05/17 14:05,2719,2721,2717,2720,31264,2334470
2019/05/17 14:10,2720,2726,2720,2724,26166,2334318
2019/05/17 14:15,2723,2724,2721,2722,10164,2332978
2019/05/17 14:20,2723,2723,2720,2721,16120,2329320
2019/05/17 14:25,2722,2722,2718,2722,18020,2327784
2019/05/17 14:30,2721,2722,2721,2722,6478,2329032
2019/05/17 14:35,2721,2722,2719,2721,12914,2329130
2019/05/17 14:40,2722,2722,2719,2719,16686,2327316
2019/05/17 14:45,2719,2722,2718,2720,19194,2328198
2019/05/17 14:50,2721,2721,2718,2721,25214,2324592
2019/05/17 14:55,2721,2721,2719,2719,31394,2316344
2019/05/17 21:00,2723,2726,2712,2720,100124,2316110
2019/05/17 21:05,2719,2729,2719,2729,78884,2323998
2019/05/17 21:10,2729,2732,2725,2731,48518,2330246
2019/05/17 21:15,2730,2735,2727,2733,59168,2335520
2019/05/17 21:20,2733,2735,2731,2731,55310,2343480
2019/05/17 21:25,2731,2733,2730,2731,23028,2346278
2019/05/17 21:30,2731,2732,2723,2727,86132,2339002
2019/05/17 21:35,2727,2730,2727,2730,33600,2336334
2019/05/17 21:40,2729,2730,2726,2728,21084,2336442
2019/05/17 21:45,2728,2729,2725,2726,22534,2339150
2019/05/17 21:50,2726,2727,2724,2726,19026,2337828
2019/05/17 21:55,2726,2727,2721,2724,36794,2336506
2019/05/17 22:00,2724,2725,2720,2721,35706,2332706
2019/05/17 22:05,2721,2723,2720,2723,24278,2333220
2019/05/17 22:10,2722,2724,2721,2723,11972,2332500
2019/05/17 22:15,2722,2725,2721,2723,19914,2331650
2019/05/17 22:20,2724,2726,2723,2726,11808,2332340
2019/05/17 22:25,2726,2728,2725,2727,23798,2333238
2019/05/17 22:30,2726,2727,2725,2727,14766,2331902
2019/05/17 22:35,2726,2728,2725,2727,15772,2324838
2019/05/17 22:40,2728,2729,2726,2726,9954,2324350
2019/05/17 22:45,2727,2728,2726,2727,10572,2322786
2019/05/17 22:50,2726,2727,2722,2724,27160,2322644
2019/05/17 22:55,2724,2727,2723,2726,19332,2315638
2019/05/20 09:00,2726,2734,2726,2734,109100,2324130
2019/05/20 09:05,2734,2738,2731,2733,88994,2337218
2019/05/20 09:10,2733,2743,2731,2740,75846,2346272
2019/05/20 09:15,2740,2745,2738,2744,84610,2354158
2019/05/20 09:20,2743,2744,2738,2741,47816,2360286
2019/05/20 09:25,2741,2741,2737,2740,24632,2365894
2019/05/20 09:30,2740,2742,2734,2736,39472,2371476
2019/05/20 09:35,2736,2739,2734,2739,19392,2373062
2019/05/20 09:40,2739,2739,2736,2736,18332,2373246
2019/05/20 09:45,2737,2737,2735,2737,12206,2373822
2019/05/20 09:50,2736,2738,2735,2737,10594,2373260
2019/05/20 09:55,2736,2739,2736,2739,9302,2374028
2019/05/20 10:00,2738,2739,2737,2738,11246,2375006
2019/05/20 10:05,2738,2738,2734,2734,16178,2373596
2019/05/20 10:10,2734,2737,2734,2736,9980,2370734
2019/05/20 10:30,2736,2740,2736,2738,15374,2369966
2019/05/20 10:35,2739,2739,2736,2737,6250,2370542
2019/05/20 10:40,2737,2741,2737,2740,20454,2373288
2019/05/20 10:45,2740,2741,2739,2739,11106,2375726
2019/05/20 10:50,2739,2742,2739,2741,19922,2381880
2019/05/20 10:55,2741,2741,2735,2737,23658,2382324
2019/05/20 11:00,2737,2738,2737,2737,2508,2382090
2019/05/20 11:05,2737,2740,2737,2739,6654,2381696
2019/05/20 11:10,2739,2740,2738,2739,6140,2383012
2019/05/20 11:15,2738,2740,2738,2739,6070,2382992
2019/05/20 11:20,2740,2741,2738,2739,7480,2383810
2019/05/20 11:25,2739,2741,2738,2739,9994,2384034
2019/05/20 13:30,2740,2742,2737,2741,23450,2381838
2019/05/20 13:35,2741,2744,2739,2739,44236,2386792
2019/05/20 13:40,2739,2739,2735,2737,29738,2385448
2019/05/20 13:45,2738,2738,2736,2738,19876,2384198
2019/05/20 13:50,2737,2739,2735,2737,14428,2384124
2019/05/20 13:55,2737,2739,2735,2737,14964,2384148
2019/05/20 14:00,2738,2740,2737,2739,6926,2383112
2019/05/20 14:05,2739,2739,2736,2737,13712,2383094
2019/05/20 14:10,2738,2739,2737,2738,9366,2381966
2019/05/20 14:15,2739,2740,2737,2738,8932,2380774
2019/05/20 14:20,2737,2738,2737,2738,7588,2379578
2019/05/20 14:25,2738,2739,2734,2734,29988,2378316
2019/05/20 14:30,2734,2738,2734,2736,15932,2376498
2019/05/20 14:35,2737,2739,2736,2739,13210,2371870
2019/05/20 14:40,2739,2739,2736,2737,13134,2370118
2019/05/20 14:45,2737,2740,2737,2737,19910,2370606
2019/05/20 14:50,2738,2739,2737,2737,13934,2367638
2019/05/20 14:55,2737,2742,2736,2742,37980,2358778
2019/05/20 21:00,2751,2761,2743,2748,122716,2366266
2019/05/20 21:05,2748,2749,2742,2743,52150,2372408
