//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2018/10/16 09:00,3415,3421,3412,3416,27294,825990
2018/10/16 09:05,3416,3432,3412,3431,37300,825622
2018/10/16 09:10,3430,3432,3424,3425,21198,827966
2018/10/16 09:15,3425,3429,3412,3412,25258,827836
2018/10/16 09:20,3413,3415,3405,3413,35308,829576
2018/10/16 09:25,3413,3418,3413,3415,11646,831076
2018/10/16 09:30,3415,3419,3412,3419,9986,831998
2018/10/16 09:35,3418,3422,3417,3419,11802,832578
2018/10/16 09:40,3419,3422,3416,3422,6922,833898
2018/10/16 09:45,3422,3427,3421,3424,17436,836286
2018/10/16 09:50,3424,3425,3418,3420,10870,837030
2018/10/16 09:55,3420,3428,3419,3427,10574,838224
2018/10/16 10:00,3427,3428,3423,3425,9766,840266
2018/10/16 10:05,3425,3426,3422,3425,5612,841478
2018/10/16 10:10,3425,3430,3423,3429,13250,842604
2018/10/16 10:30,3429,3435,3428,3430,21168,843486
2018/10/16 10:35,3429,3433,3424,3424,12830,841678
2018/10/16 10:40,3424,3431,3424,3429,11486,841420
2018/10/16 10:45,3428,3430,3423,3425,8890,841764
2018/10/16 10:50,3425,3426,3420,3421,12534,843182
2018/10/16 10:55,3421,3422,3414,3416,19354,841926
2018/10/16 11:00,3415,3419,3414,3415,14054,842040
2018/10/16 11:05,3415,3416,3407,3409,23490,842258
2018/10/16 11:10,3410,3418,3409,3414,14478,842294
2018/10/16 11:15,3414,3416,3413,3413,6746,842404
2018/10/16 11:20,3414,3414,3396,3405,64212,843294
2018/10/16 11:25,3405,3415,3404,3414,28024,843338
2018/10/16 13:30,3414,3415,3405,3407,14910,845772
2018/10/16 13:35,3406,3407,3396,3400,35758,851938
2018/10/16 13:40,3399,3401,3392,3393,31112,855394
2018/10/16 13:45,3392,3395,3379,3381,68060,852964
2018/10/16 13:50,3380,3389,3378,3387,35060,850488
2018/10/16 13:55,3387,3389,3384,3387,14010,851964
2018/10/16 14:00,3386,3392,3382,3382,25516,852828
2018/10/16 14:05,3383,3387,3382,3385,15946,853514
2018/10/16 14:10,3385,3385,3355,3357,94346,870934
2018/10/16 14:15,3357,3365,3350,3350,65740,880532
2018/10/16 14:20,3348,3351,3336,3350,85366,884906
2018/10/16 14:25,3350,3362,3349,3359,47428,885224
2018/10/16 14:30,3360,3366,3355,3364,31360,887784
2018/10/16 14:35,3365,3367,3359,3364,21244,887258
2018/10/16 14:40,3364,3375,3360,3372,31964,887180
2018/10/16 14:45,3372,3372,3360,3362,27418,886500
2018/10/16 14:50,3362,3370,3360,3368,20342,885206
