//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/06/25 00:00,98630,98720,98630,98680,8420,236306
2019/06/25 00:05,98680,98710,98650,98690,3488,236102
2019/06/25 00:10,98700,98760,98680,98730,4334,235538
2019/06/25 00:15,98730,98940,98730,98910,11432,234184
2019/06/25 00:20,98910,98930,98840,98840,6046,233610
2019/06/25 00:25,98850,98880,98810,98850,3376,233462
2019/06/25 00:30,98840,98880,98830,98840,2476,233166
2019/06/25 00:35,98840,98870,98840,98860,1568,233012
2019/06/25 00:40,98870,98870,98830,98840,2082,232570
2019/06/25 00:45,98850,98900,98830,98850,3648,232086
2019/06/25 00:50,98850,98870,98740,98830,10500,230830
2019/06/25 00:55,98840,98980,98830,98920,5150,228996
2019/06/25 09:00,99130,99710,99030,99580,46790,231640
2019/06/25 09:05,99570,99660,99440,99560,20210,231876
2019/06/25 09:10,99560,99650,99510,99590,13874,234210
2019/06/25 09:15,99590,99600,99500,99590,8220,234132
2019/06/25 09:20,99590,99600,99490,99500,6076,234478
2019/06/25 09:25,99490,99530,99370,99450,10630,232878
2019/06/25 09:30,99450,99460,99350,99390,6552,232060
2019/06/25 09:35,99380,99430,99280,99420,8576,231326
2019/06/25 09:40,99420,99470,99310,99310,6974,230846
2019/06/25 09:45,99310,99370,99310,99340,4890,230388
2019/06/25 09:50,99340,99450,99330,99410,4724,229662
2019/06/25 09:55,99410,99410,99250,99290,6848,228698
2019/06/25 10:00,99290,99410,99290,99410,5050,228582
2019/06/25 10:05,99410,99430,99350,99390,4952,228066
2019/06/25 10:10,99390,99450,99380,99410,4558,227294
2019/06/25 10:30,99410,99440,99340,99430,5448,227322
2019/06/25 10:35,99430,99450,99380,99410,3128,227224
2019/06/25 10:40,99400,99400,99320,99350,4914,226780
2019/06/25 10:45,99360,99400,99280,99330,4808,226590
2019/06/25 10:50,99330,99350,99170,99220,10510,225058
2019/06/25 10:55,99220,99240,99160,99190,6158,224248
2019/06/25 11:00,99190,99280,99120,99260,8670,223744
2019/06/25 11:05,99260,99410,99230,99340,6674,223984
2019/06/25 11:10,99340,99430,99320,99410,6394,225156
2019/06/25 11:15,99400,99430,99340,99360,5334,225718
2019/06/25 11:20,99360,99450,99310,99440,5882,226084
