//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/01/18 09:00,3592,3596,3588,3588,77910,2714606
2019/01/18 09:05,3589,3598,3588,3595,63876,2726600
2019/01/18 09:10,3595,3599,3592,3598,34578,2732970
2019/01/18 09:15,3598,3601,3597,3599,73650,2739694
2019/01/18 09:20,3599,3605,3596,3603,53896,2742976
2019/01/18 09:25,3604,3605,3599,3604,41514,2751114
2019/01/18 09:30,3604,3605,3599,3602,37558,2756616
2019/01/18 09:35,3601,3603,3597,3599,26340,2757586
2019/01/18 09:40,3600,3605,3599,3604,37004,2762524
2019/01/18 09:45,3605,3609,3603,3609,54052,2770676
2019/01/18 09:50,3609,3618,3609,3617,105148,2773200
2019/01/18 09:55,3617,3628,3616,3626,153394,2802372
2019/01/18 10:00,3627,3628,3619,3622,90366,2802652
2019/01/18 10:05,3622,3625,3620,3623,36316,2805954
2019/01/18 10:10,3623,3624,3616,3616,50508,2798406
2019/01/18 10:30,3617,3619,3615,3617,44844,2807620
2019/01/18 10:35,3618,3618,3613,3613,43544,2808536
2019/01/18 10:40,3614,3616,3613,3616,26618,2808120
2019/01/18 10:45,3615,3616,3608,3611,53914,2808418
2019/01/18 10:50,3610,3613,3608,3609,33766,2813198
2019/01/18 10:55,3608,3614,3608,3614,38886,2808758
2019/01/18 11:00,3614,3617,3612,3615,39858,2810174
2019/01/18 11:05,3615,3617,3614,3615,20300,2812202
2019/01/18 11:10,3615,3620,3613,3619,35246,2812844
2019/01/18 11:15,3620,3620,3613,3614,24902,2810806
2019/01/18 11:20,3614,3617,3613,3613,16778,2808054
2019/01/18 11:25,3612,3617,3612,3614,33022,2801664
2019/01/18 13:30,3614,3616,3611,3612,25534,2804252
2019/01/18 13:35,3612,3620,3612,3617,34690,2807054
2019/01/18 13:40,3618,3620,3617,3619,23954,2809758
2019/01/18 13:45,3618,3623,3617,3621,30628,2807590
2019/01/18 13:50,3621,3625,3618,3622,49140,2799730
2019/01/18 13:55,3622,3624,3616,3617,36406,2802442
2019/01/18 14:00,3617,3617,3612,3616,48756,2809010
2019/01/18 14:05,3616,3621,3614,3616,23390,2810510
2019/01/18 14:10,3616,3619,3616,3616,14184,2811174
2019/01/18 14:15,3616,3620,3615,3619,24400,2808058
2019/01/18 14:20,3619,3622,3619,3620,23686,2809006
2019/01/18 14:25,3620,3622,3617,3620,27616,2809990
2019/01/18 14:30,3620,3624,3620,3623,32458,2813942
2019/01/18 14:35,3623,3624,3618,3621,24070,2815180
2019/01/18 14:40,3621,3627,3619,3624,57046,2818268
2019/01/18 14:45,3623,3630,3620,3630,91214,2817572
2019/01/18 14:50,3630,3635,3627,3631,85932,2814364
2019/01/18 14:55,3632,3636,3629,3633,98522,2797818
2019/01/18 21:00,3636,3638,3627,3636,141100,2822646
2019/01/18 21:05,3636,3639,3631,3637,57136,2837346
2019/01/18 21:10,3637,3637,3634,3636,40110,2851096
2019/01/18 21:15,3635,3639,3633,3637,33690,2859484
2019/01/18 21:20,3638,3647,3637,3642,94692,2867358
2019/01/18 21:25,3642,3647,3639,3646,40148,2873478
2019/01/18 21:30,3647,3648,3644,3645,53420,2885552
2019/01/18 21:35,3645,3662,3645,3660,149726,2905024
2019/01/18 21:40,3661,3664,3656,3657,76144,2908346
2019/01/18 21:45,3657,3659,3654,3658,47106,2908106
2019/01/18 21:50,3659,3661,3656,3659,36178,2914846
2019/01/18 21:55,3660,3662,3657,3661,31508,2920974
2019/01/18 22:00,3660,3661,3653,3656,52610,2924480
2019/01/18 22:05,3657,3658,3655,3658,15574,2924236
2019/01/18 22:10,3658,3659,3650,3652,45682,2920066
2019/01/18 22:15,3651,3654,3649,3650,27758,2920022
2019/01/18 22:20,3650,3654,3649,3654,18442,2915780
2019/01/18 22:25,3653,3659,3652,3657,39104,2914954
2019/01/18 22:30,3656,3659,3654,3656,20326,2918144
2019/01/18 22:35,3656,3662,3655,3655,36788,2919552
2019/01/18 22:40,3656,3660,3652,3652,36946,2918302
2019/01/18 22:45,3652,3655,3650,3654,53834,2920316
2019/01/18 22:50,3654,3658,3646,3658,71082,2902748
2019/01/18 22:55,3657,3672,3656,3669,130654,2878304
2019/01/21 09:00,3675,3675,3652,3659,155130,2877834
2019/01/21 09:05,3658,3660,3649,3650,86132,2878930
2019/01/21 09:10,3651,3654,3648,3652,55212,2879026
2019/01/21 09:15,3653,3653,3635,3635,102042,2867532
2019/01/21 09:20,3633,3640,3632,3640,82556,2856060
2019/01/21 09:25,3639,3646,3637,3645,44276,2856410
