//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/02/12 09:00,2198,2202,2192,2197,32854,454114
2019/02/12 09:05,2197,2216,2196,2215,50372,462640
2019/02/12 09:10,2215,2217,2210,2212,38454,464172
2019/02/12 09:15,2211,2216,2211,2213,20516,466548
2019/02/12 09:20,2212,2214,2211,2213,12768,467184
2019/02/12 09:25,2212,2213,2210,2212,16118,469874
2019/02/12 09:30,2211,2212,2207,2210,12822,467952
2019/02/12 09:35,2210,2211,2206,2207,10568,468786
2019/02/12 09:40,2206,2208,2203,2203,19354,469478
2019/02/12 09:45,2204,2204,2194,2197,42608,461684
2019/02/12 09:50,2196,2201,2196,2198,16620,460772
2019/02/12 09:55,2198,2200,2198,2198,6562,459892
2019/02/12 10:00,2199,2200,2197,2200,9482,460024
2019/02/12 10:05,2200,2203,2200,2202,10112,459380
2019/02/12 10:10,2202,2203,2201,2202,6186,458850
2019/02/12 10:30,2202,2203,2200,2200,6300,459312
2019/02/12 10:35,2201,2204,2200,2203,6616,458684
2019/02/12 10:40,2203,2204,2201,2203,5092,458552
2019/02/12 10:45,2203,2205,2201,2205,5522,458180
2019/02/12 10:50,2205,2208,2204,2206,9436,457842
2019/02/12 10:55,2206,2207,2204,2205,5510,457364
2019/02/12 11:00,2205,2206,2204,2205,4822,457048
2019/02/12 11:05,2206,2206,2204,2205,2478,456958
2019/02/12 11:10,2205,2205,2201,2202,6602,456476
2019/02/12 11:15,2203,2204,2202,2202,5608,456734
2019/02/12 11:20,2202,2203,2201,2202,2814,456618
2019/02/12 11:25,2203,2206,2203,2205,6622,455854
2019/02/12 13:30,2206,2207,2204,2204,11544,456836
2019/02/12 13:35,2205,2210,2203,2210,11584,458714
2019/02/12 13:40,2210,2211,2207,2207,12688,460444
2019/02/12 13:45,2207,2211,2207,2208,8340,460692
2019/02/12 13:50,2207,2209,2206,2207,4744,461116
2019/02/12 13:55,2207,2210,2206,2210,6796,460756
2019/02/12 14:00,2210,2210,2206,2207,7582,459580
2019/02/12 14:05,2207,2208,2206,2206,4448,460582
2019/02/12 14:10,2206,2206,2203,2205,10130,459802
2019/02/12 14:15,2205,2206,2204,2205,2674,460074
2019/02/12 14:20,2205,2208,2205,2205,4968,459180
2019/02/12 14:25,2205,2209,2205,2209,5260,459018
2019/02/12 14:30,2209,2209,2206,2209,5434,460212
2019/02/12 14:35,2209,2209,2207,2208,7024,460066
2019/02/12 14:40,2209,2213,2208,2210,18022,462268
2019/02/12 14:45,2211,2211,2208,2209,17230,462144
2019/02/12 14:50,2209,2211,2209,2210,11074,462422
2019/02/12 14:55,2210,2211,2208,2208,19464,458596
2019/02/12 21:00,2209,2211,2205,2206,28786,463032
2019/02/12 21:05,2206,2207,2199,2202,32318,462850
2019/02/12 21:10,2202,2202,2198,2199,19672,462188
2019/02/12 21:15,2200,2203,2199,2203,7898,462436
2019/02/12 21:20,2202,2203,2201,2203,4320,462150
2019/02/12 21:25,2203,2205,2202,2204,11278,461104
2019/02/12 21:30,2203,2208,2203,2205,10464,461036
2019/02/12 21:35,2205,2206,2204,2204,5834,462682
2019/02/12 21:40,2205,2205,2203,2205,4910,462194
2019/02/12 21:45,2205,2205,2202,2203,3410,462384
2019/02/12 21:50,2202,2205,2202,2204,5292,462580
2019/02/12 21:55,2204,2205,2200,2200,11328,463402
2019/02/12 22:00,2200,2204,2200,2204,5260,463244
2019/02/12 22:05,2203,2204,2202,2203,2086,463222
2019/02/12 22:10,2203,2204,2202,2202,2326,463154
2019/02/12 22:15,2203,2203,2201,2201,2844,462758
2019/02/12 22:20,2201,2203,2199,2199,8806,463138
2019/02/12 22:25,2199,2201,2198,2200,8352,463398
2019/02/12 22:30,2200,2201,2195,2197,15552,463272
2019/02/12 22:35,2196,2199,2196,2198,7262,463750
2019/02/12 22:40,2198,2201,2197,2200,4750,463106
2019/02/12 22:45,2200,2205,2199,2205,11924,459322
2019/02/12 22:50,2204,2205,2201,2203,6294,459848
2019/02/12 22:55,2203,2203,2200,2202,5268,459596
2019/02/12 23:00,2201,2203,2200,2202,3912,459764
2019/02/12 23:05,2201,2202,2199,2200,2964,459506
2019/02/12 23:10,2199,2202,2199,2201,3152,459784
2019/02/12 23:15,2201,2202,2196,2196,6552,459116
2019/02/12 23:20,2197,2199,2192,2192,22258,457364
2019/02/12 23:25,2193,2193,2187,2190,23914,450536
2019/02/13 09:00,2197,2204,2196,2203,36958,451490
2019/02/13 09:05,2203,2206,2201,2203,24548,452796
2019/02/13 09:10,2202,2203,2200,2201,11244,453232
2019/02/13 09:15,2202,2208,2201,2207,19390,455426
2019/02/13 09:20,2207,2207,2202,2202,14048,456146
2019/02/13 09:25,2202,2204,2202,2203,6016,455372
2019/02/13 09:30,2202,2204,2201,2204,4320,455630
2019/02/13 09:35,2204,2205,2202,2203,5378,455856
2019/02/13 09:40,2203,2204,2201,2201,5342,455508
2019/02/13 09:45,2201,2202,2199,2200,10172,455620
2019/02/13 09:50,2199,2202,2198,2202,11060,456756
2019/02/13 09:55,2202,2203,2200,2202,9794,455908
2019/02/13 10:00,2203,2204,2200,2204,6898,455426
2019/02/13 10:05,2204,2205,2202,2204,10316,456634
2019/02/13 10:10,2203,2206,2203,2204,7254,456628
2019/02/13 10:30,2204,2206,2203,2205,7614,457660
2019/02/13 10:35,2204,2206,2203,2206,9808,457820
2019/02/13 10:40,2206,2208,2203,2207,14752,458706
2019/02/13 10:45,2207,2207,2202,2203,9948,457292
2019/02/13 10:50,2202,2203,2201,2202,9636,458266
2019/02/13 10:55,2201,2202,2200,2201,8702,458348
2019/02/13 11:00,2201,2203,2201,2201,3070,457884
2019/02/13 11:05,2202,2203,2201,2202,7494,458868
2019/02/13 11:10,2201,2203,2201,2202,2636,458004
2019/02/13 11:15,2203,2203,2199,2199,9838,458802
2019/02/13 11:20,2199,2202,2198,2201,5060,458234
2019/02/13 11:25,2201,2201,2199,2201,5172,457308
2019/02/13 13:30,2201,2201,2196,2200,12276,457512
2019/02/13 13:35,2200,2200,2198,2200,5486,457208
2019/02/13 13:40,2200,2200,2198,2199,5028,457690
2019/02/13 13:45,2199,2202,2198,2202,8312,458742
2019/02/13 13:50,2202,2204,2201,2204,9644,458812
2019/02/13 13:55,2203,2203,2201,2201,4514,458976
2019/02/13 14:00,2202,2202,2199,2199,5328,459758
2019/02/13 14:05,2200,2200,2198,2198,8082,460054
2019/02/13 14:10,2198,2200,2197,2198,5342,459356
2019/02/13 14:15,2199,2201,2193,2196,21984,457102
2019/02/13 14:20,2195,2197,2194,2195,7726,457854
2019/02/13 14:25,2196,2197,2195,2195,5348,456738
2019/02/13 14:30,2195,2201,2195,2200,14116,455542
2019/02/13 14:35,2201,2203,2200,2201,12216,455110
2019/02/13 14:40,2202,2204,2200,2204,9758,455182
2019/02/13 14:45,2204,2204,2201,2203,15958,454816
2019/02/13 14:50,2203,2206,2203,2203,10724,454512
2019/02/13 14:55,2204,2205,2202,2204,17976,447780
2019/02/13 21:00,2198,2203,2197,2201,19768,451782
2019/02/13 21:05,2201,2203,2199,2202,17222,454798
2019/02/13 21:10,2202,2202,2199,2199,10254,456778
2019/02/13 21:15,2199,2201,2198,2199,8428,457174
2019/02/13 21:20,2199,2204,2195,2202,21026,458360
2019/02/13 21:25,2202,2208,2201,2204,34272,460526
2019/02/13 21:30,2204,2206,2203,2204,11960,461026
2019/02/13 21:35,2204,2206,2202,2204,10264,460900
2019/02/13 21:40,2204,2209,2203,2209,17226,461040
2019/02/13 21:45,2209,2211,2207,2207,34428,459558
2019/02/13 21:50,2208,2209,2203,2204,20848,456174
2019/02/13 21:55,2204,2204,2201,2201,20880,457660
2019/02/13 22:00,2201,2201,2185,2192,70392,457196
2019/02/13 22:05,2192,2193,2190,2193,8622,457264
2019/02/13 22:10,2193,2195,2191,2195,9868,457260
2019/02/13 22:15,2195,2199,2194,2197,13876,453826
2019/02/13 22:20,2197,2199,2196,2197,8738,453022
2019/02/13 22:25,2197,2198,2196,2197,5060,451714
2019/02/13 22:30,2197,2199,2196,2197,9998,451410
2019/02/13 22:35,2197,2198,2195,2197,9886,450896
2019/02/13 22:40,2198,2198,2194,2195,8442,451470
2019/02/13 22:45,2195,2196,2193,2195,5044,451398
2019/02/13 22:50,2195,2198,2195,2197,6250,451152
2019/02/13 22:55,2196,2199,2195,2196,8512,452260
2019/02/13 23:00,2197,2198,2196,2196,3270,452176
2019/02/13 23:05,2197,2199,2195,2198,4064,452288
2019/02/13 23:10,2198,2199,2196,2197,7708,451174
2019/02/13 23:15,2196,2199,2196,2198,5080,450830
2019/02/13 23:20,2198,2198,2195,2198,6586,452162
2019/02/13 23:25,2197,2198,2196,2198,7440,448646
2019/02/14 09:00,2198,2202,2197,2200,23626,448452
2019/02/14 09:05,2200,2204,2198,2200,13452,450738
2019/02/14 09:10,2200,2200,2196,2199,6040,451206
2019/02/14 09:15,2199,2201,2194,2196,10566,452438
2019/02/14 09:20,2195,2198,2195,2195,8090,452492
2019/02/14 09:25,2196,2197,2194,2196,9856,452622
2019/02/14 09:30,2195,2197,2195,2197,3038,453300
2019/02/14 09:35,2197,2198,2196,2197,2884,452940
2019/02/14 09:40,2197,2199,2197,2199,4412,453074
2019/02/14 09:45,2198,2199,2196,2196,3530,453546
2019/02/14 09:50,2196,2197,2193,2195,11074,454008
2019/02/14 09:55,2195,2196,2194,2194,3878,454438
2019/02/14 10:00,2194,2195,2192,2194,8496,455358
2019/02/14 10:05,2194,2195,2193,2195,5322,454756
2019/02/14 10:10,2195,2195,2193,2194,1988,454650
2019/02/14 10:30,2194,2195,2194,2195,756,454628
2019/02/14 10:35,2195,2196,2194,2195,2880,453674
2019/02/14 10:40,2196,2196,2193,2193,3132,453814
2019/02/14 10:45,2193,2196,2193,2195,2556,453656
2019/02/14 10:50,2195,2195,2189,2189,22124,455130
2019/02/14 10:55,2190,2192,2188,2189,14288,456714
2019/02/14 11:00,2188,2193,2187,2191,22692,456528
2019/02/14 11:05,2191,2193,2191,2191,5768,455946
2019/02/14 11:10,2192,2194,2190,2191,7434,456424
2019/02/14 11:15,2191,2193,2191,2193,4218,456516
2019/02/14 11:20,2192,2193,2191,2193,2676,456190
2019/02/14 11:25,2193,2194,2192,2193,4784,455280
2019/02/14 13:30,2193,2194,2191,2192,12982,457378
2019/02/14 13:35,2192,2194,2191,2193,3672,458242
2019/02/14 13:40,2193,2193,2190,2191,8044,457770
2019/02/14 13:45,2191,2192,2188,2189,7802,457970
2019/02/14 13:50,2190,2190,2183,2188,26936,460018
2019/02/14 13:55,2188,2190,2186,2190,7908,459042
2019/02/14 14:00,2190,2192,2189,2191,11032,459374
2019/02/14 14:05,2192,2192,2188,2190,7626,460222
2019/02/14 14:10,2190,2192,2188,2191,6084,460020
2019/02/14 14:15,2192,2192,2190,2191,3002,459840
2019/02/14 14:20,2191,2192,2190,2191,2808,459670
2019/02/14 14:25,2192,2192,2190,2191,4160,459716
2019/02/14 14:30,2192,2192,2190,2190,1998,459216
