//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/01/18 09:00,11685,11725,11680,11700,18178,362086
2019/01/18 09:05,11700,11730,11695,11710,8942,362452
2019/01/18 09:10,11710,11710,11670,11690,7658,362260
2019/01/18 09:15,11690,11710,11690,11700,2974,362512
2019/01/18 09:20,11700,11705,11690,11700,3516,362830
2019/01/18 09:25,11705,11705,11690,11700,2462,363060
2019/01/18 09:30,11700,11700,11690,11695,1774,363310
2019/01/18 09:35,11695,11700,11680,11690,2328,363028
2019/01/18 09:40,11690,11690,11680,11685,1328,363036
2019/01/18 09:45,11685,11690,11670,11690,3620,363238
2019/01/18 09:50,11690,11695,11675,11680,3112,363066
2019/01/18 09:55,11685,11710,11680,11705,3108,363150
2019/01/18 10:00,11705,11710,11690,11700,2988,363138
2019/01/18 10:05,11700,11710,11700,11710,2496,363386
2019/01/18 10:10,11710,11720,11695,11695,3830,363394
2019/01/18 10:30,11695,11700,11685,11685,2748,363180
2019/01/18 10:35,11685,11695,11680,11680,2332,363182
2019/01/18 10:40,11685,11685,11675,11675,2188,362912
2019/01/18 10:45,11675,11690,11670,11680,3724,362472
2019/01/18 10:50,11680,11685,11675,11675,1148,362460
2019/01/18 10:55,11675,11690,11675,11690,878,362470
2019/01/18 11:00,11690,11690,11685,11685,1584,362350
2019/01/18 11:05,11685,11700,11680,11695,2650,362656
2019/01/18 11:10,11695,11710,11685,11710,2292,362754
2019/01/18 11:15,11705,11710,11695,11700,1372,362994
2019/01/18 11:20,11700,11705,11690,11690,1274,363018
2019/01/18 11:25,11690,11710,11690,11705,1786,362964
2019/01/18 13:30,11700,11705,11690,11690,3078,362930
2019/01/18 13:35,11690,11760,11690,11755,9696,364040
2019/01/18 13:40,11750,11770,11740,11760,13732,363392
2019/01/18 13:45,11765,11770,11735,11740,5128,363472
2019/01/18 13:50,11735,11750,11725,11740,5078,363524
2019/01/18 13:55,11740,11740,11720,11725,3482,363030
2019/01/18 14:00,11725,11725,11660,11675,17958,361678
2019/01/18 14:05,11675,11695,11670,11685,5702,361348
2019/01/18 14:10,11685,11690,11675,11685,4128,361414
2019/01/18 14:15,11685,11695,11665,11675,5706,361742
2019/01/18 14:20,11675,11685,11670,11670,3300,361614
2019/01/18 14:25,11670,11670,11625,11630,14168,359796
2019/01/18 14:30,11630,11650,11630,11650,6218,359746
2019/01/18 14:35,11650,11650,11635,11635,3948,359394
2019/01/18 14:40,11630,11655,11625,11635,7862,359256
2019/01/18 14:45,11640,11655,11635,11645,4072,358742
2019/01/18 14:50,11645,11655,11640,11655,3148,358632
2019/01/18 14:55,11650,11665,11645,11660,6252,357106
2019/01/18 21:00,11675,11710,11665,11710,13762,359646
2019/01/18 21:05,11710,11720,11705,11710,7338,360084
2019/01/18 21:10,11715,11715,11700,11715,3012,359896
2019/01/18 21:15,11715,11720,11705,11710,2212,360058
2019/01/18 21:20,11710,11720,11700,11700,3172,359998
2019/01/18 21:25,11700,11705,11685,11705,4542,360220
2019/01/18 21:30,11705,11710,11690,11695,2892,360372
2019/01/18 21:35,11700,11705,11695,11705,1802,360450
2019/01/18 21:40,11705,11705,11690,11695,1308,360332
2019/01/18 21:45,11695,11705,11680,11705,3430,360302
2019/01/18 21:50,11700,11725,11695,11720,4466,360458
2019/01/18 21:55,11720,11730,11710,11720,4550,361044
2019/01/18 22:00,11725,11725,11700,11710,4482,361304
2019/01/18 22:05,11715,11735,11710,11735,4524,361456
2019/01/18 22:10,11735,11750,11730,11735,4884,362078
2019/01/18 22:15,11740,11740,11720,11720,2082,362086
2019/01/18 22:20,11720,11745,11720,11745,2172,362406
2019/01/18 22:25,11745,11745,11730,11745,2540,362126
2019/01/18 22:30,11745,11745,11710,11720,5450,361418
2019/01/18 22:35,11720,11725,11715,11720,1834,361412
2019/01/18 22:40,11715,11720,11685,11695,6958,360846
2019/01/18 22:45,11690,11705,11685,11685,4400,360544
2019/01/18 22:50,11685,11695,11670,11685,7314,359464
2019/01/18 22:55,11685,11705,11685,11700,4418,358304
2019/01/21 09:00,11795,11850,11765,11800,40410,362432
2019/01/21 09:05,11800,11810,11755,11780,12896,362822
2019/01/21 09:10,11780,11795,11755,11780,7786,362528
2019/01/21 09:15,11780,11810,11770,11780,8018,363508
2019/01/21 09:20,11785,11800,11780,11795,3642,363682
2019/01/21 09:25,11795,11805,11780,11805,4206,363656
2019/01/21 09:30,11800,11805,11780,11785,3806,364120
2019/01/21 09:35,11785,11825,11780,11825,6558,364934
2019/01/21 09:40,11820,11885,11820,11860,22518,368246
2019/01/21 09:45,11865,11895,11850,11870,15088,368474
2019/01/21 09:50,11870,11915,11865,11895,12794,369236
2019/01/21 09:55,11900,11900,11865,11870,7594,369532
2019/01/21 10:00,11875,11875,11850,11850,5844,368628
2019/01/21 10:05,11855,11875,11850,11870,2346,368736
2019/01/21 10:10,11875,11880,11860,11875,2958,368900
2019/01/21 10:30,11875,11895,11870,11875,5890,368984
2019/01/21 10:35,11875,11895,11870,11880,3206,369046
2019/01/21 10:40,11880,11905,11880,11900,5314,370014
2019/01/21 10:45,11905,11945,11890,11900,14464,371138
2019/01/21 10:50,11900,11920,11895,11920,4224,371156
2019/01/21 10:55,11920,11970,11910,11925,18546,373300
2019/01/21 11:00,11925,11945,11915,11930,6480,373928
2019/01/21 11:05,11930,11930,11865,11880,12064,372066
2019/01/21 11:10,11880,11900,11875,11875,3952,372024
2019/01/21 11:15,11880,11895,11840,11850,9066,370906
2019/01/21 11:20,11850,11875,11845,11850,5138,370622
2019/01/21 11:25,11855,11875,11850,11865,3492,370284
2019/01/21 13:30,11875,11885,11870,11885,5796,370532
2019/01/21 13:35,11890,11895,11840,11850,8006,370844
2019/01/21 13:40,11845,11860,11830,11845,7142,370774
2019/01/21 13:45,11845,11870,11840,11865,2906,371016
2019/01/21 13:50,11865,11875,11855,11855,3286,371140
2019/01/21 13:55,11860,11865,11845,11865,2850,370966
2019/01/21 14:00,11860,11875,11855,11870,2082,371182
2019/01/21 14:05,11870,11895,11865,11885,5446,371234
2019/01/21 14:10,11885,11920,11880,11895,7494,371906
2019/01/21 14:15,11895,11905,11890,11900,3654,372176
2019/01/21 14:20,11900,11900,11880,11880,2142,372024
2019/01/21 14:25,11885,11890,11880,11885,1326,371728
2019/01/21 14:30,11885,11900,11885,11900,1812,371804
2019/01/21 14:35,11900,11900,11870,11880,3592,371810
2019/01/21 14:40,11875,11880,11860,11865,2848,371414
2019/01/21 14:45,11870,11875,11860,11865,2966,370568
2019/01/21 14:50,11865,11870,11840,11855,4402,369394
2019/01/21 14:55,11850,11855,11815,11845,13176,365832
2019/01/21 21:00,11840,11865,11820,11830,11888,367188
2019/01/21 21:05,11835,11885,11820,11870,9172,367734
2019/01/21 21:10,11870,11870,11840,11850,6134,367538
2019/01/21 21:15,11850,11860,11845,11855,3216,367730
2019/01/21 21:20,11855,11860,11840,11855,2908,367812
2019/01/21 21:25,11860,11860,11845,11845,1476,367868
2019/01/21 21:30,11850,11850,11830,11840,3506,367636
2019/01/21 21:35,11845,11850,11835,11840,2304,367814
2019/01/21 21:40,11840,11855,11835,11845,1670,367842
2019/01/21 21:45,11845,11850,11840,11840,1520,367784
2019/01/21 21:50,11845,11850,11840,11850,982,367736
2019/01/21 21:55,11850,11850,11820,11835,3944,368240
2019/01/21 22:00,11835,11835,11825,11835,1904,368368
2019/01/21 22:05,11830,11835,11825,11830,1088,368286
2019/01/21 22:10,11835,11855,11830,11840,4916,367922
2019/01/21 22:15,11835,11840,11820,11830,3186,367900
2019/01/21 22:20,11825,11830,11805,11825,5218,366670
2019/01/21 22:25,11830,11835,11825,11830,1404,366812
2019/01/21 22:30,11835,11840,11825,11830,2406,367060
2019/01/21 22:35,11830,11840,11825,11835,1018,367066
2019/01/21 22:40,11835,11845,11830,11840,2210,366928
2019/01/21 22:45,11840,11875,11840,11865,5830,367272
2019/01/21 22:50,11865,11885,11860,11860,6734,367068
2019/01/21 22:55,11860,11870,11840,11850,5322,365656
2019/01/22 09:00,11845,11860,11830,11850,7524,366366
2019/01/22 09:05,11850,11870,11845,11865,3756,366642
2019/01/22 09:10,11865,11870,11830,11835,4116,367292
2019/01/22 09:15,11835,11840,11820,11830,4270,367286
2019/01/22 09:20,11830,11845,11830,11845,2674,367430
2019/01/22 09:25,11840,11845,11835,11840,862,367390
2019/01/22 09:30,11835,11855,11830,11855,3168,367296
2019/01/22 09:35,11855,11855,11840,11850,2472,367404
2019/01/22 09:40,11845,11850,11840,11850,1350,367386
2019/01/22 09:45,11845,11865,11835,11840,3212,367558
2019/01/22 09:50,11840,11845,11825,11825,5896,367332
2019/01/22 09:55,11820,11830,11750,11770,20872,365704
2019/01/22 10:00,11770,11785,11700,11700,22092,365192
2019/01/22 10:05,11700,11705,11635,11680,29430,363046
2019/01/22 10:10,11680,11695,11650,11655,8664,362984
2019/01/22 10:30,11660,11680,11635,11640,10950,363510
2019/01/22 10:35,11640,11640,11560,11605,29972,363136
2019/01/22 10:40,11605,11620,11590,11595,8764,363112
2019/01/22 10:45,11590,11630,11580,11630,9712,363250
2019/01/22 10:50,11630,11650,11620,11640,6866,362588
2019/01/22 10:55,11640,11645,11620,11630,6070,363242
2019/01/22 11:00,11630,11655,11625,11645,5156,362694
2019/01/22 11:05,11645,11645,11625,11640,3748,362372
2019/01/22 11:10,11635,11665,11630,11650,5782,361460
2019/01/22 11:15,11650,11655,11630,11645,3482,361522
2019/01/22 11:20,11645,11650,11615,11620,3998,361738
2019/01/22 11:25,11615,11640,11610,11625,5822,361490
2019/01/22 13:30,11610,11615,11600,11605,6582,361442
2019/01/22 13:35,11605,11620,11595,11620,5100,361384
2019/01/22 13:40,11615,11620,11605,11610,2418,361828
2019/01/22 13:45,11610,11615,11595,11600,3552,362242
2019/01/22 13:50,11600,11625,11590,11610,5324,362134
2019/01/22 13:55,11615,11620,11600,11600,2540,362076
2019/01/22 14:00,11600,11605,11585,11585,4182,362246
2019/01/22 14:05,11585,11605,11585,11595,3730,362382
2019/01/22 14:10,11595,11595,11580,11590,3708,362552
2019/01/22 14:15,11585,11610,11585,11605,3518,362642
2019/01/22 14:20,11605,11605,11590,11595,2348,362998
2019/01/22 14:25,11595,11605,11590,11590,2052,363162
2019/01/22 14:30,11590,11605,11585,11595,3090,362434
2019/01/22 14:35,11595,11600,11590,11595,1472,362512
2019/01/22 14:40,11595,11600,11585,11595,2184,362412
2019/01/22 14:45,11595,11600,11580,11590,4330,361972
2019/01/22 14:50,11585,11590,11555,11565,10380,361700
2019/01/22 14:55,11560,11585,11550,11580,12038,358574
2019/01/22 21:00,11580,11610,11570,11605,11632,359732
2019/01/22 21:05,11605,11620,11600,11620,4600,359970
2019/01/22 21:10,11615,11620,11610,11615,2584,359960
2019/01/22 21:15,11620,11620,11605,11610,2396,359900
2019/01/22 21:20,11615,11620,11610,11610,2204,360158
2019/01/22 21:25,11615,11620,11590,11600,4986,360388
2019/01/22 21:30,11600,11610,11595,11600,2088,360480
2019/01/22 21:35,11605,11605,11590,11595,1524,360466
2019/01/22 21:40,11600,11610,11595,11600,1944,360502
2019/01/22 21:45,11600,11610,11595,11605,1468,360590
2019/01/22 21:50,11600,11615,11595,11615,1454,360660
2019/01/22 21:55,11610,11615,11595,11595,1520,360962
2019/01/22 22:00,11600,11610,11600,11605,1962,360934
2019/01/22 22:05,11605,11610,11600,11600,1066,360840
2019/01/22 22:10,11600,11615,11600,11605,1144,360746
2019/01/22 22:15,11610,11615,11600,11605,1714,360992
2019/01/22 22:20,11605,11605,11580,11590,4474,361504
2019/01/22 22:25,11590,11600,11585,11585,2496,361676
2019/01/22 22:30,11590,11600,11580,11590,2134,361468
2019/01/22 22:35,11595,11605,11590,11590,1972,361238
2019/01/22 22:40,11590,11600,11585,11595,1466,361148
2019/01/22 22:45,11595,11595,11580,11585,2864,361286
2019/01/22 22:50,11590,11595,11580,11585,1644,361266
2019/01/22 22:55,11590,11595,11585,11585,2626,360416
