//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/03/22 09:00,5067,5068,5060,5061,3916,392576
2019/03/22 09:05,5061,5062,5058,5058,2862,393316
2019/03/22 09:10,5058,5058,5047,5049,7692,395474
2019/03/22 09:15,5049,5052,5046,5052,4284,396926
2019/03/22 09:20,5052,5054,5049,5054,2018,396946
2019/03/22 09:25,5052,5054,5050,5051,1204,396804
2019/03/22 09:30,5050,5055,5050,5054,978,397112
2019/03/22 09:35,5053,5055,5053,5054,1334,397130
2019/03/22 09:40,5053,5060,5052,5060,1572,397112
2019/03/22 09:45,5060,5061,5055,5056,1028,397188
2019/03/22 09:50,5056,5056,5054,5054,500,397142
2019/03/22 09:55,5054,5055,5053,5054,604,397202
2019/03/22 10:00,5053,5054,5052,5053,512,397324
2019/03/22 10:05,5052,5057,5051,5056,882,397422
2019/03/22 10:10,5057,5057,5054,5056,596,397374
2019/03/22 10:30,5056,5056,5050,5051,1286,397464
2019/03/22 10:35,5051,5054,5051,5053,690,397600
2019/03/22 10:40,5053,5054,5052,5052,374,397630
2019/03/22 10:45,5053,5053,5048,5049,2062,397600
2019/03/22 10:50,5050,5053,5049,5053,702,397680
2019/03/22 10:55,5054,5055,5051,5051,662,397596
2019/03/22 11:00,5051,5051,5048,5050,1484,398116
2019/03/22 11:05,5050,5053,5050,5053,878,398284
2019/03/22 11:10,5053,5055,5051,5054,864,398550
2019/03/22 11:15,5054,5055,5051,5053,2174,399482
2019/03/22 11:20,5053,5054,5052,5054,486,399514
2019/03/22 11:25,5054,5057,5051,5051,2608,399624
2019/03/22 13:30,5053,5056,5051,5055,2168,400264
2019/03/22 13:35,5056,5060,5056,5058,2284,400352
2019/03/22 13:40,5059,5060,5057,5059,1242,400362
2019/03/22 13:45,5059,5062,5058,5061,1488,400548
2019/03/22 13:50,5060,5066,5060,5064,3360,401016
2019/03/22 13:55,5064,5066,5062,5063,1962,400896
2019/03/22 14:00,5063,5064,5062,5063,1366,400846
2019/03/22 14:05,5062,5064,5059,5060,1514,401100
2019/03/22 14:10,5060,5065,5059,5063,1598,400586
2019/03/22 14:15,5065,5066,5063,5063,1704,400322
2019/03/22 14:20,5065,5066,5064,5066,786,400194
2019/03/22 14:25,5066,5066,5063,5064,1042,400300
2019/03/22 14:30,5063,5065,5063,5064,1102,400564
2019/03/22 14:35,5064,5068,5063,5064,1674,400264
2019/03/22 14:40,5065,5067,5064,5064,2100,399884
2019/03/22 14:45,5064,5065,5062,5063,810,399798
2019/03/22 14:50,5064,5064,5058,5059,2936,399242
2019/03/22 14:55,5059,5065,5058,5059,4558,398938
2019/03/22 21:00,5060,5069,5060,5063,7472,400212
2019/03/22 21:05,5064,5068,5060,5065,5330,400816
2019/03/22 21:10,5065,5069,5064,5066,3694,401464
2019/03/22 21:15,5067,5069,5063,5064,1694,401310
2019/03/22 21:20,5064,5066,5063,5063,1152,401228
2019/03/22 21:25,5063,5065,5063,5064,762,401300
2019/03/22 21:30,5063,5066,5063,5065,828,401360
2019/03/22 21:35,5066,5068,5064,5067,1288,401340
2019/03/22 21:40,5067,5067,5065,5066,748,401510
2019/03/22 21:45,5066,5066,5064,5065,1054,401688
2019/03/22 21:50,5065,5066,5064,5066,1150,401942
2019/03/22 21:55,5065,5066,5064,5065,762,402144
2019/03/22 22:00,5065,5070,5065,5067,4734,402854
2019/03/22 22:05,5066,5070,5066,5067,1524,402992
2019/03/22 22:10,5067,5071,5065,5068,1984,402918
2019/03/22 22:15,5068,5069,5066,5067,976,402746
2019/03/22 22:20,5066,5067,5065,5067,748,402568
2019/03/22 22:25,5067,5067,5065,5067,450,402546
2019/03/22 22:30,5067,5067,5065,5067,360,402524
2019/03/22 22:35,5067,5068,5066,5066,648,402618
2019/03/22 22:40,5067,5068,5066,5067,456,402662
2019/03/22 22:45,5068,5068,5065,5066,530,402678
2019/03/22 22:50,5065,5066,5065,5066,332,402718
2019/03/22 22:55,5065,5067,5063,5065,1484,402710
2019/03/22 23:00,5064,5065,5063,5064,572,402582
2019/03/22 23:05,5064,5065,5057,5060,2826,402758
2019/03/22 23:10,5059,5064,5049,5052,5598,403700
2019/03/22 23:15,5053,5061,5051,5058,3302,404090
2019/03/22 23:20,5060,5060,5055,5057,1022,404204
2019/03/22 23:25,5058,5061,5054,5060,1860,403650
2019/03/25 09:00,5050,5050,5025,5030,26412,408014
2019/03/25 09:05,5030,5036,5029,5036,6226,409052
2019/03/25 09:10,5035,5035,5029,5029,3540,409470
2019/03/25 09:15,5030,5030,5024,5025,4568,410094
2019/03/25 09:20,5025,5025,5015,5018,12942,410800
