//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/01/18 09:00,5574,5584,5564,5576,44246,707536
2019/01/18 09:05,5576,5586,5570,5574,15452,706630
2019/01/18 09:10,5572,5574,5566,5568,10056,705890
2019/01/18 09:15,5568,5576,5568,5576,6458,704988
2019/01/18 09:20,5576,5584,5572,5578,7288,705440
2019/01/18 09:25,5578,5580,5576,5578,4366,706086
2019/01/18 09:30,5576,5578,5572,5572,2880,706378
2019/01/18 09:35,5574,5578,5572,5578,3784,705736
2019/01/18 09:40,5578,5580,5574,5578,5250,706108
2019/01/18 09:45,5578,5586,5578,5582,4768,706618
2019/01/18 09:50,5582,5584,5578,5580,2570,706784
2019/01/18 09:55,5582,5588,5580,5586,4968,707194
2019/01/18 10:00,5586,5588,5582,5586,4928,705862
2019/01/18 10:05,5586,5592,5578,5584,7504,705178
2019/01/18 10:10,5584,5596,5582,5596,5722,704958
2019/01/18 10:30,5594,5598,5586,5588,4278,705388
2019/01/18 10:35,5588,5592,5584,5586,3800,704926
2019/01/18 10:40,5584,5586,5580,5582,4934,703960
2019/01/18 10:45,5584,5586,5580,5582,3154,704354
2019/01/18 10:50,5582,5584,5580,5582,992,704304
2019/01/18 10:55,5582,5588,5580,5586,1836,704408
2019/01/18 11:00,5588,5590,5584,5584,2906,704350
2019/01/18 11:05,5584,5588,5582,5584,4690,704408
2019/01/18 11:10,5582,5588,5582,5584,2828,703792
2019/01/18 11:15,5584,5584,5578,5578,5712,702500
2019/01/18 11:20,5580,5580,5578,5578,2000,701850
2019/01/18 11:25,5578,5580,5576,5576,2986,701134
2019/01/18 13:30,5576,5578,5572,5574,3566,702176
2019/01/18 13:35,5574,5578,5572,5578,2132,701736
2019/01/18 13:40,5580,5580,5572,5574,3066,701744
2019/01/18 13:45,5574,5576,5572,5574,1644,701858
2019/01/18 13:50,5574,5576,5574,5574,764,701752
2019/01/18 13:55,5574,5580,5574,5578,4202,701582
2019/01/18 14:00,5578,5578,5570,5570,3654,701520
2019/01/18 14:05,5570,5578,5570,5576,3336,701570
2019/01/18 14:10,5576,5580,5570,5574,4350,701220
2019/01/18 14:15,5574,5574,5572,5574,1384,701294
2019/01/18 14:20,5574,5576,5570,5572,3090,701388
2019/01/18 14:25,5570,5572,5568,5572,2284,701198
2019/01/18 14:30,5572,5580,5570,5580,3950,702222
2019/01/18 14:35,5580,5582,5578,5578,3692,702520
2019/01/18 14:40,5580,5580,5574,5576,2732,702676
2019/01/18 14:45,5578,5578,5574,5576,2278,702366
2019/01/18 14:50,5576,5582,5576,5582,4606,702426
2019/01/18 14:55,5582,5582,5576,5580,6318,701816
2019/01/18 21:00,5592,5616,5592,5610,21084,703416
2019/01/18 21:05,5610,5610,5600,5600,7228,702808
2019/01/18 21:10,5602,5606,5600,5604,4924,703144
2019/01/18 21:15,5606,5610,5602,5606,6662,702674
2019/01/18 21:20,5606,5608,5600,5602,4776,702298
2019/01/18 21:25,5602,5602,5588,5592,11870,703002
2019/01/18 21:30,5594,5600,5594,5598,4298,703430
2019/01/18 21:35,5598,5598,5592,5592,3188,703830
2019/01/18 21:40,5594,5594,5582,5586,7788,703624
2019/01/18 21:45,5584,5592,5584,5590,3852,703918
2019/01/18 21:50,5592,5592,5590,5592,1406,703664
2019/01/18 21:55,5592,5592,5590,5590,2518,703552
2019/01/18 22:00,5590,5590,5574,5584,12154,703696
2019/01/18 22:05,5584,5590,5580,5590,3514,704276
2019/01/18 22:10,5588,5590,5586,5588,1396,704082
2019/01/18 22:15,5588,5588,5584,5586,816,703866
2019/01/18 22:20,5584,5588,5584,5588,400,703794
2019/01/18 22:25,5588,5594,5586,5592,1738,703762
2019/01/18 22:30,5592,5592,5584,5586,2394,704032
2019/01/18 22:35,5586,5592,5584,5584,2678,702998
2019/01/18 22:40,5584,5586,5582,5584,2790,702620
2019/01/18 22:45,5584,5584,5580,5580,2328,702202
2019/01/18 22:50,5582,5582,5576,5582,2746,702556
2019/01/18 22:55,5582,5584,5580,5582,1682,703198
2019/01/18 23:00,5582,5586,5582,5584,1868,703234
2019/01/18 23:05,5582,5584,5578,5584,3388,704210
2019/01/18 23:10,5584,5590,5582,5590,2282,704706
2019/01/18 23:15,5588,5592,5586,5592,2586,704588
2019/01/18 23:20,5592,5598,5588,5594,5064,704466
2019/01/18 23:25,5596,5600,5594,5598,5654,703486
2019/01/21 09:00,5598,5606,5582,5586,22962,702048
2019/01/21 09:05,5586,5586,5576,5580,13448,701772
2019/01/21 09:10,5582,5594,5580,5590,10550,700830
2019/01/21 09:15,5590,5594,5588,5590,5674,700982
2019/01/21 09:20,5588,5594,5584,5584,5330,698840
2019/01/21 09:25,5586,5592,5582,5592,3060,698268
2019/01/21 09:30,5592,5598,5592,5596,4548,698166
2019/01/21 09:35,5594,5616,5594,5612,16614,697708
2019/01/21 09:40,5614,5634,5610,5628,27336,697976
2019/01/21 09:45,5626,5628,5620,5628,7772,696518
2019/01/21 09:50,5628,5630,5624,5624,5192,695676
2019/01/21 09:55,5626,5628,5618,5620,11514,693040
2019/01/21 10:00,5622,5628,5620,5628,4054,693036
2019/01/21 10:05,5628,5630,5626,5628,5242,692710
2019/01/21 10:10,5628,5640,5624,5636,8152,693108
2019/01/21 10:30,5634,5684,5634,5666,39636,697464
2019/01/21 10:35,5666,5690,5666,5690,19852,699056
2019/01/21 10:40,5690,5694,5678,5678,17838,696518
2019/01/21 10:45,5680,5682,5678,5678,6820,695672
2019/01/21 10:50,5678,5680,5674,5678,5824,695336
2019/01/21 10:55,5678,5684,5676,5680,7870,695324
2019/01/21 11:00,5682,5684,5678,5680,3920,694928
2019/01/21 11:05,5682,5684,5678,5684,2820,694848
2019/01/21 11:10,5682,5692,5682,5688,7588,694834
2019/01/21 11:15,5688,5690,5682,5684,6338,695292
2019/01/21 11:20,5682,5686,5682,5684,3214,695268
2019/01/21 11:25,5684,5686,5674,5676,6780,694354
2019/01/21 13:30,5678,5682,5676,5680,4312,694326
2019/01/21 13:35,5680,5680,5664,5666,7384,692602
2019/01/21 13:40,5666,5674,5658,5660,6538,692804
2019/01/21 13:45,5660,5668,5660,5668,3784,692598
2019/01/21 13:50,5668,5676,5666,5674,5696,691642
2019/01/21 13:55,5672,5674,5666,5670,4232,691404
2019/01/21 14:00,5668,5672,5668,5672,1524,691480
2019/01/21 14:05,5672,5678,5668,5674,4140,692158
2019/01/21 14:10,5674,5676,5670,5670,3558,692546
2019/01/21 14:15,5670,5674,5668,5674,2014,692292
2019/01/21 14:20,5674,5678,5674,5676,2716,692826
2019/01/21 14:25,5676,5680,5674,5678,2640,692430
2019/01/21 14:30,5678,5680,5674,5676,2346,692550
2019/01/21 14:35,5676,5678,5668,5670,2732,691584
2019/01/21 14:40,5670,5674,5666,5672,2788,691998
2019/01/21 14:45,5670,5670,5664,5668,5304,691880
2019/01/21 14:50,5668,5672,5664,5668,4480,691102
2019/01/21 14:55,5670,5678,5668,5678,8676,691352
2019/01/21 21:00,5680,5682,5668,5668,10938,691460
2019/01/21 21:05,5668,5676,5668,5670,5366,690080
2019/01/21 21:10,5670,5670,5664,5668,8606,691502
2019/01/21 21:15,5668,5670,5666,5666,7522,690648
2019/01/21 21:20,5668,5676,5666,5676,2294,690800
2019/01/21 21:25,5676,5680,5672,5680,5990,692118
2019/01/21 21:30,5680,5680,5674,5674,4180,691424
2019/01/21 21:35,5676,5682,5676,5682,3468,691234
2019/01/21 21:40,5682,5694,5682,5686,9740,693158
2019/01/21 21:45,5686,5688,5682,5684,2696,692882
2019/01/21 21:50,5684,5686,5682,5682,1442,692390
2019/01/21 21:55,5682,5686,5678,5684,5102,691776
2019/01/21 22:00,5684,5684,5680,5680,1520,691834
2019/01/21 22:05,5682,5684,5678,5680,2010,692190
2019/01/21 22:10,5680,5688,5680,5684,4800,692298
2019/01/21 22:15,5686,5688,5680,5682,5348,691438
2019/01/21 22:20,5682,5684,5676,5682,3138,691624
2019/01/21 22:25,5684,5686,5678,5684,5056,691930
2019/01/21 22:30,5686,5696,5684,5694,7254,693690
2019/01/21 22:35,5694,5704,5692,5698,10906,695180
2019/01/21 22:40,5700,5700,5686,5690,3396,694646
2019/01/21 22:45,5688,5694,5688,5694,1556,694564
2019/01/21 22:50,5692,5694,5686,5686,1242,694712
2019/01/21 22:55,5686,5698,5686,5698,3576,694716
2019/01/21 23:00,5698,5698,5692,5694,1850,694350
2019/01/21 23:05,5694,5694,5688,5690,2324,694060
2019/01/21 23:10,5690,5690,5688,5688,642,694068
2019/01/21 23:15,5688,5690,5684,5686,1202,693852
2019/01/21 23:20,5684,5686,5682,5686,2428,693138
2019/01/21 23:25,5686,5690,5684,5684,2708,692560
2019/01/22 09:00,5684,5688,5680,5684,8826,692844
2019/01/22 09:05,5684,5692,5682,5684,6312,694310
2019/01/22 09:10,5686,5686,5672,5672,6592,694368
2019/01/22 09:15,5672,5680,5672,5674,4784,694644
2019/01/22 09:20,5674,5678,5670,5672,4494,694220
2019/01/22 09:25,5674,5678,5668,5676,4710,693444
2019/01/22 09:30,5676,5680,5672,5680,3858,694578
2019/01/22 09:35,5680,5680,5676,5676,1922,694738
2019/01/22 09:40,5676,5678,5670,5674,3438,694312
2019/01/22 09:45,5674,5678,5672,5672,1476,694194
2019/01/22 09:50,5672,5678,5672,5676,2670,694300
2019/01/22 09:55,5676,5676,5662,5668,7812,694380
2019/01/22 10:00,5668,5672,5662,5664,3388,693884
2019/01/22 10:05,5662,5670,5658,5666,7714,692524
2019/01/22 10:10,5666,5670,5662,5668,2778,692328
2019/01/22 10:30,5666,5674,5666,5666,3726,692042
2019/01/22 10:35,5668,5668,5654,5654,6646,690840
2019/01/22 10:40,5654,5660,5650,5658,10330,689848
2019/01/22 10:45,5658,5666,5656,5666,5982,688952
2019/01/22 10:50,5668,5674,5666,5670,3214,688438
2019/01/22 10:55,5670,5674,5670,5674,2918,687928
2019/01/22 11:00,5674,5678,5672,5676,4208,687780
2019/01/22 11:05,5676,5678,5672,5674,1342,687444
2019/01/22 11:10,5676,5686,5674,5686,4532,687116
2019/01/22 11:15,5686,5686,5678,5680,5254,686742
2019/01/22 11:20,5682,5684,5678,5678,2936,686492
2019/01/22 11:25,5678,5682,5672,5674,4176,686120
2019/01/22 13:30,5674,5676,5662,5662,11330,686510
2019/01/22 13:35,5664,5664,5658,5658,17138,685768
2019/01/22 13:40,5660,5662,5656,5662,8470,686006
2019/01/22 13:45,5662,5662,5660,5662,6638,685672
2019/01/22 13:50,5662,5662,5654,5656,7210,685608
2019/01/22 13:55,5656,5660,5654,5660,6120,685284
2019/01/22 14:00,5660,5662,5658,5662,4304,685356
2019/01/22 14:05,5660,5664,5658,5662,2828,684760
2019/01/22 14:10,5662,5674,5662,5672,5002,684644
2019/01/22 14:15,5672,5680,5670,5676,8384,685588
2019/01/22 14:20,5678,5678,5666,5666,6880,685120
2019/01/22 14:25,5666,5670,5664,5666,5962,685754
2019/01/22 14:30,5666,5670,5666,5666,1542,685470
2019/01/22 14:35,5668,5672,5664,5672,2548,685814
2019/01/22 14:40,5672,5676,5670,5676,4302,686268
2019/01/22 14:45,5674,5678,5668,5670,6474,687282
2019/01/22 14:50,5672,5676,5670,5672,4460,687270
2019/01/22 14:55,5674,5678,5670,5676,7424,686048
2019/01/22 21:00,5680,5694,5676,5688,14494,688094
2019/01/22 21:05,5688,5698,5682,5696,9582,689714
2019/01/22 21:10,5694,5708,5692,5706,17044,691660
2019/01/22 21:15,5704,5714,5702,5708,12460,695586
2019/01/22 21:20,5706,5708,5702,5708,10738,696090
2019/01/22 21:25,5706,5708,5694,5702,11082,694158
2019/01/22 21:30,5702,5702,5696,5698,4646,695004
2019/01/22 21:35,5698,5698,5684,5686,10114,695454
2019/01/22 21:40,5684,5688,5680,5682,9598,695386
2019/01/22 21:45,5684,5686,5680,5684,7540,697028
2019/01/22 21:50,5684,5688,5682,5682,5634,697826
2019/01/22 21:55,5682,5682,5672,5676,12852,696418
2019/01/22 22:00,5678,5680,5676,5678,3910,695598
2019/01/22 22:05,5678,5684,5678,5682,8652,699058
2019/01/22 22:10,5680,5682,5676,5678,4288,701342
2019/01/22 22:15,5678,5680,5676,5678,994,701388
2019/01/22 22:20,5678,5680,5676,5676,2052,701886
2019/01/22 22:25,5678,5678,5672,5674,3420,701888
2019/01/22 22:30,5674,5674,5666,5666,8626,702832
2019/01/22 22:35,5666,5676,5664,5674,6500,703292
2019/01/22 22:40,5674,5680,5672,5678,3196,703716
2019/01/22 22:45,5678,5680,5672,5674,2738,703786
2019/01/22 22:50,5674,5676,5670,5674,1830,703738
2019/01/22 22:55,5674,5680,5674,5676,1750,703942
2019/01/22 23:00,5676,5678,5674,5676,914,703952
2019/01/22 23:05,5676,5676,5672,5674,1282,703834
2019/01/22 23:10,5674,5674,5664,5666,4592,703106
2019/01/22 23:15,5668,5668,5656,5658,5946,702130
2019/01/22 23:20,5660,5660,5654,5658,4484,701808
2019/01/22 23:25,5656,5658,5636,5644,13614,697560
