//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/03/22 09:00,596.2,596.4,595.8,596.4,2276,338480
2019/03/22 09:05,596.2,597.8,596.2,597.4,4854,338230
2019/03/22 09:10,597.4,597.8,597.2,597.2,2564,338328
2019/03/22 09:15,597.4,597.8,596.6,597.0,3696,339232
2019/03/22 09:20,597.0,597.4,596.6,597.4,1760,339318
2019/03/22 09:25,597.4,597.6,597.2,597.4,1196,339444
2019/03/22 09:30,597.2,597.8,597.0,597.6,1350,339544
2019/03/22 09:35,597.6,597.8,597.2,597.4,1610,339514
2019/03/22 09:40,597.4,597.6,597.2,597.2,608,339554
2019/03/22 09:45,597.2,597.6,597.2,597.4,802,339664
2019/03/22 09:50,597.6,597.8,597.4,597.4,1258,339752
2019/03/22 09:55,597.4,597.8,597.2,597.4,2012,339562
2019/03/22 10:00,597.4,597.6,596.8,596.8,1892,339404
2019/03/22 10:05,597.0,597.2,596.8,597.0,556,339424
2019/03/22 10:10,597.0,597.2,596.6,596.8,858,339586
2019/03/22 10:30,596.8,597.6,596.8,597.4,694,339504
2019/03/22 10:35,597.4,597.4,597.0,597.0,492,339254
2019/03/22 10:40,597.2,597.4,597.0,597.4,366,339242
2019/03/22 10:45,597.4,597.6,597.0,597.4,1012,339474
2019/03/22 10:50,597.6,597.6,597.2,597.4,446,339650
2019/03/22 10:55,597.4,597.4,597.0,597.2,626,339784
2019/03/22 11:00,597.4,597.4,597.0,597.2,896,339838
2019/03/22 11:05,597.2,597.2,596.8,597.2,546,339774
2019/03/22 11:10,597.2,597.4,596.8,597.2,378,339750
2019/03/22 11:15,597.4,597.6,597.2,597.4,710,339688
2019/03/22 11:20,597.4,597.8,597.2,597.8,1734,339760
2019/03/22 11:25,597.8,598.0,597.4,598.0,2658,339462
2019/03/22 13:30,598.0,598.6,597.2,597.4,3826,340240
2019/03/22 13:35,597.6,598.0,597.4,597.4,1440,339960
2019/03/22 13:40,597.4,597.8,596.8,597.2,2066,339396
2019/03/22 13:45,597.4,597.4,597.0,597.2,478,339414
2019/03/22 13:50,597.4,597.6,597.2,597.6,518,339286
2019/03/22 13:55,597.6,598.0,597.4,597.8,700,339218
2019/03/22 14:00,597.8,598.0,597.6,597.8,806,339316
2019/03/22 14:05,597.8,598.0,597.6,597.8,1516,339598
2019/03/22 14:10,597.8,597.8,597.6,597.6,392,339536
2019/03/22 14:15,597.8,598.0,597.6,597.8,702,339444
2019/03/22 14:20,598.0,598.0,597.6,598.0,1100,339110
2019/03/22 14:25,598.0,598.2,597.8,598.0,1336,339396
2019/03/22 14:30,598.2,598.4,597.8,598.0,2242,339386
2019/03/22 14:35,598.0,598.4,597.4,597.8,1864,338780
2019/03/22 14:40,597.8,598.2,597.6,597.8,994,338224
2019/03/22 14:45,598.0,598.0,597.4,597.6,1016,337860
2019/03/22 14:50,597.4,597.8,596.8,597.6,4514,336666
2019/03/22 14:55,597.8,598.0,596.8,597.6,3542,335590
2019/03/22 21:00,597.6,598.4,595.4,596.8,9556,334700
2019/03/22 21:05,596.8,597.8,595.8,597.4,7706,332790
2019/03/22 21:10,597.4,597.8,596.8,597.6,5026,331734
2019/03/22 21:15,597.8,597.8,597.0,597.4,2462,331978
2019/03/22 21:20,597.2,597.6,596.6,597.2,5058,330554
2019/03/22 21:25,597.4,597.6,597.0,597.2,626,330656
2019/03/22 21:30,597.2,597.8,597.0,597.6,1492,330524
2019/03/22 21:35,597.6,597.8,597.4,597.6,592,330648
2019/03/22 21:40,597.8,597.8,597.4,597.4,342,330600
2019/03/22 21:45,597.4,597.6,597.2,597.4,568,330570
2019/03/22 21:50,597.4,597.6,596.8,596.8,990,330342
2019/03/22 21:55,596.8,597.0,596.6,596.6,964,330084
2019/03/22 22:00,596.8,597.0,596.2,596.2,1454,329708
2019/03/22 22:05,596.4,597.0,596.2,596.6,896,329482
2019/03/22 22:10,596.6,596.6,596.0,596.4,2170,329576
2019/03/22 22:15,596.4,596.8,596.2,596.8,856,329524
2019/03/22 22:20,596.6,596.6,596.4,596.4,210,329456
2019/03/22 22:25,596.4,596.8,596.4,596.6,472,329346
2019/03/22 22:30,596.8,596.8,596.6,596.6,158,329240
2019/03/22 22:35,596.4,596.8,596.4,596.6,336,329390
2019/03/22 22:40,596.4,596.6,596.4,596.4,360,329350
2019/03/22 22:45,596.4,596.4,596.0,596.2,700,329194
2019/03/22 22:50,596.2,596.4,596.0,596.4,824,329392
2019/03/22 22:55,596.2,596.4,596.0,596.2,1280,329088
2019/03/22 23:00,596.0,596.4,596.0,596.2,616,329034
2019/03/22 23:05,596.2,596.6,596.0,596.4,598,329004
2019/03/22 23:10,596.6,596.6,596.2,596.4,290,328846
2019/03/22 23:15,596.2,596.6,596.2,596.4,428,328732
2019/03/22 23:20,596.4,596.8,596.2,596.4,896,328718
2019/03/22 23:25,596.4,596.8,596.2,596.8,2166,328776
2019/03/25 09:00,597.0,597.0,595.4,595.8,5880,327878
2019/03/25 09:05,595.8,596.6,595.6,596.4,2986,327266
2019/03/25 09:10,596.4,596.6,594.2,595.6,9994,326312
2019/03/25 09:15,595.6,595.6,594.4,595.0,4346,325692
2019/03/25 09:20,595.0,595.2,594.6,594.8,1922,325744
2019/03/25 09:25,594.8,594.8,592.6,593.4,12002,323344
2019/03/25 09:30,593.4,594.4,593.0,594.2,4088,323630
2019/03/25 09:35,594.2,594.2,593.6,594.0,1818,323562
2019/03/25 09:40,594.0,594.6,593.6,594.4,2442,323298
2019/03/25 09:45,594.2,594.8,593.8,594.4,1638,323042
2019/03/25 09:50,594.4,595.4,594.0,594.2,3282,322676
2019/03/25 09:55,594.2,594.6,593.8,594.0,2050,322432
2019/03/25 10:00,594.0,594.2,593.4,593.8,2638,322080
2019/03/25 10:05,593.8,594.6,593.8,594.0,2024,321448
2019/03/25 10:10,594.2,594.6,593.8,594.2,1394,321818
2019/03/25 10:30,594.4,594.6,594.0,594.4,650,321880
2019/03/25 10:35,594.2,594.4,594.0,594.2,500,321828
2019/03/25 10:40,594.4,594.4,594.0,594.2,644,322002
2019/03/25 10:45,594.2,594.2,593.6,594.0,1574,321838
2019/03/25 10:50,594.0,594.0,593.6,593.8,400,321888
2019/03/25 10:55,593.8,594.0,593.6,593.8,800,321926
2019/03/25 11:00,593.8,594.0,593.6,593.6,1232,321510
2019/03/25 11:05,593.6,594.0,593.4,593.8,960,321296
2019/03/25 11:10,593.6,594.0,593.6,593.6,656,321024
2019/03/25 11:15,593.6,593.8,593.6,593.8,502,320936
2019/03/25 11:20,593.6,594.0,593.6,593.8,892,320674
2019/03/25 11:25,593.8,594.0,593.6,593.8,1428,320448
2019/03/25 13:30,594.0,595.0,593.6,594.4,2280,320102
2019/03/25 13:35,594.6,594.8,594.2,594.2,672,319954
2019/03/25 13:40,594.2,594.8,594.0,594.8,668,319756
2019/03/25 13:45,594.6,594.8,594.0,594.6,1120,319748
2019/03/25 13:50,594.6,594.6,594.2,594.2,400,319610
2019/03/25 13:55,594.4,594.4,593.8,594.0,728,319668
2019/03/25 14:00,593.8,594.8,593.8,594.8,1718,319148
2019/03/25 14:05,594.8,595.0,594.4,594.8,1164,319100
2019/03/25 14:10,594.6,595.0,594.6,594.8,524,319218
2019/03/25 14:15,595.0,595.0,594.4,594.8,996,319612
2019/03/25 14:20,594.8,595.2,594.8,595.0,1204,319446
2019/03/25 14:25,595.0,595.2,594.8,594.8,554,319274
2019/03/25 14:30,595.0,595.0,594.6,594.6,546,319296
2019/03/25 14:35,594.6,594.8,594.6,594.6,350,319258
2019/03/25 14:40,594.6,594.8,594.4,594.4,800,319064
2019/03/25 14:45,594.4,594.8,594.4,594.6,932,318994
2019/03/25 14:50,594.4,594.6,594.2,594.4,2536,318268
2019/03/25 14:55,594.2,594.8,594.2,594.6,3932,316742
2019/03/25 21:00,594.6,594.6,593.2,594.0,6110,317056
2019/03/25 21:05,593.6,595.0,593.6,594.6,3590,316998
2019/03/25 21:10,594.6,594.6,594.2,594.4,1062,316988
2019/03/25 21:15,594.4,594.8,594.2,594.4,962,317108
2019/03/25 21:20,594.6,594.6,594.2,594.6,506,317192
2019/03/25 21:25,594.6,595.0,594.0,594.2,1798,317064
2019/03/25 21:30,594.2,594.2,593.8,594.0,1376,316882
2019/03/25 21:35,594.0,594.2,593.8,594.0,906,316870
2019/03/25 21:40,594.0,594.2,593.8,594.2,676,316974
2019/03/25 21:45,594.2,594.4,594.0,594.2,336,316934
2019/03/25 21:50,594.2,594.6,594.2,594.4,430,316932
2019/03/25 21:55,594.4,594.6,594.2,594.2,342,316878
2019/03/25 22:00,594.2,594.4,594.0,594.4,650,317046
2019/03/25 22:05,594.4,594.6,594.0,594.0,602,316902
2019/03/25 22:10,594.0,594.4,594.0,594.2,978,316654
2019/03/25 22:15,594.2,594.4,594.0,594.4,278,316714
2019/03/25 22:20,594.2,594.4,594.0,594.0,162,316680
2019/03/25 22:25,594.0,594.4,594.0,594.2,418,316618
