//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2019/01/18 00:00,21185,21230,21185,21225,10462,253098
2019/01/18 00:05,21220,21295,21195,21265,16098,254096
2019/01/18 00:10,21260,21290,21245,21265,9048,254850
2019/01/18 00:15,21270,21320,21255,21260,13248,254622
2019/01/18 00:20,21260,21300,21255,21300,7676,255530
2019/01/18 00:25,21305,21305,21275,21280,6000,255842
2019/01/18 00:30,21275,21340,21265,21320,10866,255306
2019/01/18 00:35,21325,21355,21315,21335,11978,256242
2019/01/18 00:40,21335,21355,21325,21325,5266,256494
2019/01/18 00:45,21325,21335,21295,21325,7064,256154
2019/01/18 00:50,21325,21380,21315,21350,9768,255328
2019/01/18 00:55,21350,21360,21320,21330,8514,252744
2019/01/18 09:00,21330,21350,21265,21300,17070,251694
2019/01/18 09:05,21300,21315,21265,21280,8692,251306
2019/01/18 09:10,21280,21290,21255,21290,7436,251324
2019/01/18 09:15,21285,21330,21285,21295,7412,251366
2019/01/18 09:20,21295,21320,21290,21315,5860,251126
2019/01/18 09:25,21315,21315,21270,21300,5832,250484
2019/01/18 09:30,21300,21300,21270,21285,5042,250876
2019/01/18 09:35,21285,21300,21270,21300,6368,251130
2019/01/18 09:40,21300,21310,21290,21295,7334,250610
2019/01/18 09:45,21300,21305,21280,21300,5276,250568
2019/01/18 09:50,21295,21320,21285,21320,3806,250564
2019/01/18 09:55,21320,21325,21295,21305,5398,250700
2019/01/18 10:00,21305,21325,21285,21310,6378,250550
2019/01/18 10:05,21310,21345,21300,21340,8720,250918
2019/01/18 10:10,21335,21340,21240,21245,12072,251140
2019/01/18 10:30,21245,21265,21215,21240,15918,250028
2019/01/18 10:35,21240,21245,21230,21230,6126,249118
2019/01/18 10:40,21235,21265,21230,21260,5346,249320
2019/01/18 10:45,21265,21265,21220,21235,5400,249008
2019/01/18 10:50,21235,21280,21235,21265,6474,248644
2019/01/18 10:55,21265,21285,21260,21275,3492,248312
2019/01/18 11:00,21270,21280,21260,21260,5182,248412
2019/01/18 11:05,21265,21285,21260,21260,7150,248464
2019/01/18 11:10,21255,21305,21245,21300,8138,248154
2019/01/18 11:15,21300,21305,21285,21290,5210,248276
2019/01/18 11:20,21290,21300,21285,21290,2688,248132
2019/01/18 11:25,21290,21300,21280,21285,3726,248042
2019/01/18 13:30,21295,21330,21290,21315,7450,248856
2019/01/18 13:35,21315,21345,21315,21340,4208,249098
2019/01/18 13:40,21340,21415,21340,21395,16318,251596
2019/01/18 13:45,21395,21400,21370,21385,7396,251578
2019/01/18 13:50,21385,21395,21370,21385,6548,251994
2019/01/18 13:55,21385,21420,21375,21380,8962,252722
2019/01/18 14:00,21380,21385,21335,21365,10492,252086
2019/01/18 14:05,21365,21370,21335,21340,6104,252600
2019/01/18 14:10,21345,21360,21320,21350,8716,253442
2019/01/18 14:15,21350,21375,21350,21370,4584,253204
2019/01/18 14:20,21365,21390,21345,21350,5610,252790
2019/01/18 14:25,21345,21360,21340,21360,4346,252578
2019/01/18 14:30,21360,21385,21355,21380,2822,252578
2019/01/18 14:35,21380,21395,21365,21380,4076,251876
2019/01/18 14:40,21385,21430,21380,21385,11504,251806
2019/01/18 14:45,21390,21410,21375,21405,5174,251416
2019/01/18 14:50,21405,21435,21395,21410,6352,250696
2019/01/18 14:55,21415,21495,21400,21480,17570,251098
